Contiguous U.S., Cooling Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,6,-2
189601,4,-4
189701,3,-5
189801,9,1
189901,7,-1
190001,5,-3
190101,6,-2
190201,3,-5
190301,6,-2
190401,4,-4
190501,3,-5
190601,6,-2
190701,16,8
190801,6,-2
190901,12,4
191001,5,-3
191101,12,4
191201,5,-3
191301,14,6
191401,6,-2
191501,5,-3
191601,14,6
191701,10,2
191801,2,-6
191901,4,-4
192001,7,-1
192101,10,2
192201,5,-3
192301,12,4
192401,6,-2
192501,9,1
192601,4,-4
192701,7,-1
192801,4,-4
192901,9,1
193001,8,0
193101,3,-5
193201,15,7
193301,13,5
193401,8,0
193501,8,0
193601,6,-2
193701,21,13
193801,6,-2
193901,9,1
194001,1,-7
194101,6,-2
194201,4,-4
194301,8,0
194401,5,-3
194501,5,-3
194601,7,-1
194701,13,5
194801,4,-4
194901,13,5
195001,23,15
195101,6,-2
195201,14,6
195301,9,1
195401,9,1
195501,5,-3
195601,3,-5
195701,11,3
195801,2,-6
195901,5,-3
196001,6,-2
196101,3,-5
196201,6,-2
196301,4,-4
196401,5,-3
196501,7,-1
196601,4,-4
196701,8,0
196801,5,-3
196901,6,-2
197001,2,-6
197101,7,-1
197201,14,6
197301,6,-2
197401,20,12
197501,12,4
197601,4,-4
197701,1,-7
197801,2,-6
197901,4,-4
198001,7,-1
198101,2,-6
198201,6,-2
198301,5,-3
198401,4,-4
198501,2,-6
198601,7,-1
198701,5,-3
198801,5,-3
198901,15,7
199001,15,7
199101,11,3
199201,6,-2
199301,13,5
199401,7,-1
199501,6,-2
199601,6,-2
199701,7,-1
199801,12,4
199901,12,4
200001,9,1
200101,3,-5
200201,9,1
200301,4,-4
200401,7,-1
200501,11,3
200601,14,6
200701,10,2
200801,7,-1
200901,7,-1
201001,3,-5
201101,5,-3
201201,11,3
201301,14,6
201401,6,-2
201501,8,0
201601,6,-2
