Contiguous U.S., Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,225,17
189606,220,12
189706,205,-3
189806,235,27
189906,235,27
190006,220,12
190106,227,19
190206,205,-3
190306,136,-72
190406,189,-19
190506,206,-2
190606,208,0
190706,153,-55
190806,193,-15
190906,215,7
191006,170,-38
191106,245,37
191206,164,-44
191306,195,-13
191406,240,32
191506,176,-32
191606,163,-45
191706,187,-21
191806,229,21
191906,222,14
192006,184,-24
192106,242,34
192206,231,23
192306,215,7
192406,210,2
192506,263,55
192606,181,-27
192706,170,-38
192806,165,-43
192906,187,-21
193006,205,-3
193106,232,24
193206,219,11
193306,251,43
193406,270,62
193506,186,-22
193606,227,19
193706,222,14
193806,190,-18
193906,234,26
194006,210,2
194106,202,-6
194206,215,7
194306,264,56
194406,237,29
194506,187,-21
194606,191,-17
194706,184,-24
194806,210,2
194906,242,34
195006,197,-11
195106,194,-14
195206,270,62
195306,254,46
195406,232,24
195506,155,-53
195606,225,17
195706,233,25
195806,187,-21
195906,221,13
196006,212,4
196106,190,-18
196206,198,-10
196306,207,-1
196406,209,1
196506,174,-34
196606,193,-15
196706,200,-8
196806,200,-8
196906,196,-12
197006,195,-13
197106,235,27
197206,173,-35
197306,228,20
197406,172,-36
197506,200,-8
197606,201,-7
197706,213,5
197806,216,8
197906,184,-24
198006,199,-9
198106,253,45
198206,166,-42
198306,188,-20
198406,229,21
198506,197,-11
198606,230,22
198706,240,32
198806,215,7
198906,207,-1
199006,233,25
199106,230,22
199206,171,-37
199306,205,-3
199406,260,52
199506,198,-10
199606,226,18
199706,187,-21
199806,231,23
199906,217,9
200006,224,16
200106,223,15
200206,239,31
200306,185,-23
200406,205,-3
200506,245,37
200606,235,27
200706,232,24
200806,262,54
200906,222,14
201006,283,75
201106,259,51
201206,232,24
201306,243,35
201406,240,32
201506,252,44
