Contiguous U.S., Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,282,-1
189608,299,16
189708,262,-21
189808,298,15
189908,296,13
190008,331,48
190108,302,19
190208,258,-25
190308,250,-33
190408,243,-40
190508,273,-10
190608,300,17
190708,252,-31
190808,255,-28
190908,284,1
191008,262,-21
191108,269,-14
191208,240,-43
191308,300,17
191408,276,-7
191508,235,-48
191608,290,7
191708,265,-18
191808,322,39
191908,262,-21
192008,251,-32
192108,266,-17
192208,270,-13
192308,262,-21
192408,287,4
192508,267,-16
192608,297,14
192708,214,-69
192808,300,17
192908,270,-13
193008,286,3
193108,283,0
193208,294,11
193308,277,-6
193408,293,10
193508,305,22
193608,343,60
193708,342,59
193808,332,49
193908,300,17
194008,263,-20
194108,279,-4
194208,264,-19
194308,310,27
194408,297,14
194508,271,-12
194608,240,-43
194708,342,59
194808,279,-4
194908,280,-3
195008,238,-45
195108,287,4
195208,294,11
195308,279,-4
195408,288,5
195508,337,54
195608,279,-4
195708,266,-17
195808,296,13
195908,328,45
196008,291,8
196108,277,-6
196208,284,1
196308,264,-19
196408,252,-31
196508,268,-15
196608,266,-17
196708,250,-33
196808,282,-1
196908,295,12
197008,305,22
197108,262,-21
197208,269,-14
197308,293,10
197408,260,-23
197508,289,6
197608,239,-44
197708,293,10
197808,295,12
197908,261,-22
198008,338,55
198108,272,-11
198208,262,-21
198308,353,70
198408,307,24
198508,268,-15
198608,261,-22
198708,299,16
198808,343,60
198908,264,-19
199008,289,6
199108,300,17
199208,231,-52
199308,312,29
199408,264,-19
199508,358,75
199608,288,5
199708,270,-13
199808,339,56
199908,307,24
200008,306,23
200108,334,51
200208,325,42
200308,338,55
200408,250,-33
200508,346,63
200608,331,48
200708,363,80
200808,282,-1
200908,303,20
201008,351,68
201108,349,66
201208,327,44
201308,286,3
201408,289,6
201508,311,28
