Contiguous U.S., Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,88,-10
189605,161,63
189705,82,-16
189805,106,8
189905,125,27
190005,102,4
190105,89,-9
190205,130,32
190305,90,-8
190405,90,-8
190505,113,15
190605,92,-6
190705,63,-35
190805,98,0
190905,80,-18
191005,78,-20
191105,119,21
191205,108,10
191305,89,-9
191405,100,2
191505,92,-6
191605,106,8
191705,46,-52
191805,119,21
191905,82,-16
192005,85,-13
192105,85,-13
192205,115,17
192305,82,-16
192405,69,-29
192505,77,-21
192605,91,-7
192705,109,11
192805,86,-12
192905,87,-11
193005,98,0
193105,76,-22
193205,90,-8
193305,126,28
193405,123,25
193505,79,-19
193605,120,22
193705,104,6
193805,97,-1
193905,111,13
194005,82,-16
194105,113,15
194205,96,-2
194305,111,13
194405,121,23
194505,71,-27
194605,86,-12
194705,92,-6
194805,97,-1
194905,110,12
195005,106,8
195105,95,-3
195205,96,-2
195305,118,20
195405,68,-30
195505,119,21
195605,115,17
195705,96,-2
195805,102,4
195905,127,29
196005,76,-22
196105,75,-23
196205,142,44
196305,98,0
196405,113,15
196505,123,25
196605,85,-13
196705,75,-23
196805,78,-20
196905,95,-3
197005,103,5
197105,71,-27
197205,88,-10
197305,79,-19
197405,106,8
197505,117,19
197605,68,-30
197705,119,21
197805,96,-2
197905,83,-15
198005,96,-2
198105,77,-21
198205,114,16
198305,75,-23
198405,96,-2
198505,111,13
198605,107,9
198705,128,30
198805,91,-7
198905,93,-5
199005,91,-7
199105,147,49
199205,80,-18
199305,92,-6
199405,81,-17
199505,97,-1
199605,124,26
199705,87,-11
199805,139,41
199905,98,0
200005,139,41
200105,121,23
200205,92,-6
200305,110,12
200405,136,38
200505,83,-15
200605,109,11
200705,117,19
200805,93,-5
200905,118,20
201005,127,29
201105,105,7
201205,154,56
201305,98,0
201405,111,13
201505,123,25
