Contiguous U.S., Cooling Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,190,34
189609,136,-20
189709,161,5
189809,176,20
189909,141,-15
190009,188,32
190109,134,-22
190209,127,-29
190309,127,-29
190409,158,2
190509,167,11
190609,187,31
190709,153,-3
190809,151,-5
190909,133,-23
191009,172,16
191109,192,36
191209,162,6
191309,130,-26
191409,132,-24
191509,164,8
191609,126,-30
191709,125,-31
191809,102,-54
191909,154,-2
192009,163,7
192109,219,63
192209,184,28
192309,156,0
192409,117,-39
192509,213,57
192609,171,15
192709,163,7
192809,122,-34
192909,147,-9
193009,183,27
193109,219,63
193209,150,-6
193309,207,51
193409,157,1
193509,137,-19
193609,186,30
193709,144,-12
193809,160,4
193909,199,43
194009,125,-31
194109,173,17
194209,134,-22
194309,131,-25
194409,160,4
194509,181,25
194609,150,-6
194709,178,22
194809,152,-4
194909,132,-24
195009,125,-31
195109,155,-1
195209,152,-4
195309,161,5
195409,189,33
195509,175,19
195609,148,-8
195709,149,-7
195809,161,5
195909,169,13
196009,173,17
196109,174,18
196209,137,-19
196309,152,-4
196409,141,-15
196509,149,-7
196609,130,-26
196709,116,-40
196809,138,-18
196909,148,-8
197009,179,23
197109,173,17
197209,166,10
197309,163,7
197409,120,-36
197509,122,-34
197609,125,-31
197709,179,23
197809,176,20
197909,156,0
198009,190,34
198109,137,-19
198209,138,-18
198309,167,11
198409,142,-14
198509,141,-15
198609,159,3
198709,155,-1
198809,151,-5
198909,138,-18
199009,171,15
199109,151,-5
199209,152,-4
199309,148,-8
199409,140,-16
199509,152,-4
199609,138,-18
199709,172,16
199809,213,57
199909,154,-2
200009,159,3
200109,141,-15
200209,198,42
200309,154,-2
200409,172,16
200509,211,55
200609,135,-21
200709,187,31
200809,170,14
200909,168,12
201009,194,38
201109,174,18
201209,172,16
201309,175,19
201409,179,23
201509,220,64
