Contiguous U.S., Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,256,-59
189607,319,4
189707,333,18
189807,321,6
189907,302,-13
190007,317,2
190107,392,77
190207,297,-18
190307,284,-31
190407,260,-55
190507,286,-29
190607,287,-28
190707,299,-16
190807,315,0
190907,274,-41
191007,317,2
191107,312,-3
191207,293,-22
191307,320,5
191407,309,-6
191507,272,-43
191607,334,19
191707,319,4
191807,272,-43
191907,321,6
192007,272,-43
192107,363,48
192207,298,-17
192307,291,-24
192407,264,-51
192507,318,3
192607,299,-16
192707,293,-22
192807,311,-4
192907,296,-19
193007,346,31
193107,386,71
193207,325,10
193307,329,14
193407,384,69
193507,346,31
193607,371,56
193707,321,6
193807,314,-1
193907,320,5
194007,303,-12
194107,322,7
194207,327,12
194307,324,9
194407,306,-9
194507,291,-24
194607,303,-12
194707,270,-45
194807,314,-1
194907,354,39
195007,263,-52
195107,314,-1
195207,355,40
195307,330,15
195407,349,34
195507,362,47
195607,292,-23
195707,328,13
195807,308,-7
195907,319,4
196007,298,-17
196107,300,-15
196207,275,-40
196307,302,-13
196407,322,7
196507,278,-37
196607,344,29
196707,277,-38
196807,300,-15
196907,330,15
197007,317,2
197107,285,-30
197207,295,-20
197307,313,-2
197407,311,-4
197507,295,-20
197607,281,-34
197707,347,32
197807,311,-4
197907,293,-22
198007,373,58
198107,330,15
198207,313,-2
198307,345,30
198407,292,-23
198507,312,-3
198607,338,23
198707,329,14
198807,356,41
198907,314,-1
199007,315,0
199107,333,18
199207,288,-27
199307,342,27
199407,325,10
199507,345,30
199607,306,-9
199707,314,-1
199807,353,38
199907,367,52
200007,290,-25
200107,306,-9
200207,365,50
200307,335,20
200407,297,-18
200507,367,52
200607,383,68
200707,308,-7
200807,331,16
200907,286,-29
201007,375,60
201107,405,90
201207,402,87
201307,338,23
201407,298,-17
201507,334,19
