Kentucky, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,4.41,0.35
189612,1.53,-2.53
189712,3.78,-0.28
189812,2.85,-1.21
189912,4.13,0.07
190012,2.67,-1.39
190112,5.23,1.17
190212,7.44,3.38
190312,2.87,-1.19
190412,4.31,0.25
190512,4.28,0.22
190612,5.77,1.71
190712,3.38,-0.68
190812,2.68,-1.38
190912,3.21,-0.85
191012,3.43,-0.63
191112,6.28,2.22
191212,3.9,-0.16
191312,2.65,-1.41
191412,5.28,1.22
191512,7.36,3.30
191612,4.15,0.09
191712,1.99,-2.07
191812,4.5,0.44
191912,4.89,0.83
192012,3.13,-0.93
192112,4.33,0.27
192212,6.04,1.98
192312,6.64,2.58
192412,6.04,1.98
192512,.96,-3.10
192612,6.44,2.38
192712,3.6,-0.46
192812,2.23,-1.83
192912,2.95,-1.11
193012,2.26,-1.80
193112,5.91,1.85
193212,4.51,0.45
193312,5.18,1.12
193412,2.3,-1.76
193512,2.48,-1.58
193612,4.79,0.73
193712,3.16,-0.90
193812,1.95,-2.11
193912,2.45,-1.61
194012,3.19,-0.87
194112,2.86,-1.20
194212,5.61,1.55
194312,2.41,-1.65
194412,3.82,-0.24
194512,2.57,-1.49
194612,3.28,-0.78
194712,1.81,-2.25
194812,4.49,0.43
194912,5.72,1.66
195012,2.37,-1.69
195112,7.46,3.40
195212,3.76,-0.30
195312,2.75,-1.31
195412,4.98,0.92
195512,1.58,-2.48
195612,4.98,0.92
195712,5.6,1.54
195812,1.15,-2.91
195912,3.95,-0.11
196012,2.81,-1.25
196112,5.13,1.07
196212,2.69,-1.37
196312,1.42,-2.64
196412,5.55,1.49
196512,.66,-3.40
196612,4.92,0.86
196712,4.71,0.65
196812,3.43,-0.63
196912,5.33,1.27
197012,4.39,0.33
197112,3.52,-0.54
197212,6.72,2.66
197312,3.69,-0.37
197412,4,-0.06
197512,4.2,0.14
197612,1.51,-2.55
197712,3.8,-0.26
197812,10.46,6.40
197912,3.72,-0.34
198012,1.54,-2.52
198112,3.28,-0.78
198212,5.57,1.51
198312,4.36,0.30
198412,5.4,1.34
198512,1.49,-2.57
198612,3.74,-0.32
198712,6.17,2.11
198812,3.82,-0.24
198912,2.07,-1.99
199012,10.67,6.61
199112,7.14,3.08
199212,2.91,-1.15
199312,4.12,0.06
199412,3.33,-0.73
199512,2.35,-1.71
199612,4.76,0.70
199712,3.05,-1.01
199812,4.81,0.75
199912,3.44,-0.62
200012,3.85,-0.21
200112,4.47,0.41
200212,4.87,0.81
200312,3.33,-0.73
200412,4.64,0.58
200512,2.4,-1.66
200612,2.96,-1.10
200712,6.67,2.61
200812,6.07,2.01
200912,4.18,0.12
201012,3.01,-1.05
201112,4.95,0.89
201212,5.55,1.49
201312,6.13,2.07
201412,3.36,-0.70
201512,6.51,2.45
