Arizona, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,.08,-0.49
189604,.26,-0.31
189704,.13,-0.44
189804,.58,0.01
189904,.22,-0.35
190004,1.74,1.17
190104,.14,-0.43
190204,.07,-0.50
190304,.4,-0.17
190404,.03,-0.54
190504,2.07,1.50
190604,.8,0.23
190704,.59,0.02
190804,.69,0.12
190904,.19,-0.38
191004,.4,-0.17
191104,.27,-0.30
191204,1.07,0.50
191304,.34,-0.23
191404,.34,-0.23
191504,1.58,1.01
191604,.44,-0.13
191704,1.44,0.87
191804,.15,-0.42
191904,.61,0.04
192004,.29,-0.28
192104,.33,-0.24
192204,.61,0.04
192304,.56,-0.01
192404,.67,0.10
192504,.85,0.28
192604,2.35,1.78
192704,.54,-0.03
192804,.29,-0.28
192904,.64,0.07
193004,.49,-0.08
193104,1.21,0.64
193204,.45,-0.12
193304,.75,0.18
193404,.67,0.10
193504,.47,-0.10
193604,.15,-0.42
193704,.14,-0.43
193804,.2,-0.37
193904,.6,0.03
194004,.78,0.21
194104,2.09,1.52
194204,1.12,0.55
194304,.42,-0.15
194404,.78,0.21
194504,.18,-0.39
194604,.71,0.14
194704,.05,-0.52
194804,.11,-0.46
194904,.4,-0.17
195004,.03,-0.54
195104,1.42,0.85
195204,1.69,1.12
195304,.54,-0.03
195404,.05,-0.52
195504,.15,-0.42
195604,.36,-0.21
195704,.5,-0.07
195804,1,0.43
195904,.39,-0.18
196004,.24,-0.33
196104,.19,-0.38
196204,.04,-0.53
196304,.44,-0.13
196404,.72,0.15
196504,1.58,1.01
196604,.15,-0.42
196704,.41,-0.16
196804,.51,-0.06
196904,.11,-0.46
197004,.41,-0.16
197104,.32,-0.25
197204,.11,-0.46
197304,.34,-0.23
197404,.16,-0.41
197504,.82,0.25
197604,1.04,0.47
197704,.39,-0.18
197804,.56,-0.01
197904,.18,-0.39
198004,.61,0.04
198104,.48,-0.09
198204,.25,-0.32
198304,.6,0.03
198404,.6,0.03
198504,1.03,0.46
198604,.36,-0.21
198704,.37,-0.20
198804,2.04,1.47
198904,.01,-0.56
199004,.69,0.12
199104,.01,-0.56
199204,.36,-0.21
199304,.05,-0.52
199404,.61,0.04
199504,.63,0.06
199604,.06,-0.51
199704,.76,0.19
199804,.63,0.06
199904,1.37,0.80
200004,.11,-0.46
200104,.97,0.40
200204,.18,-0.39
200304,.29,-0.28
200404,1.32,0.75
200504,.7,0.13
200604,.24,-0.33
200704,.24,-0.33
200804,.02,-0.55
200904,.29,-0.28
201004,.27,-0.30
201104,.41,-0.16
201204,.32,-0.25
201304,.2,-0.37
201404,.24,-0.33
201504,.42,-0.15
