Connecticut, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.47,-0.53
189612,2.25,-1.75
189712,5.61,1.61
189812,2.49,-1.51
189912,2.21,-1.79
190012,2.62,-1.38
190112,9.81,5.81
190212,6.84,2.84
190312,3.99,-0.01
190412,3.18,-0.82
190512,4.33,0.33
190612,3.45,-0.55
190712,5.37,1.37
190812,3.74,-0.26
190912,3.81,-0.19
191012,2.52,-1.48
191112,3.36,-0.64
191212,5.27,1.27
191312,3.47,-0.53
191412,3.72,-0.28
191512,5.03,1.03
191612,3.27,-0.73
191712,2.83,-1.17
191812,3.95,-0.05
191912,2.82,-1.18
192012,6.08,2.08
192112,2.73,-1.27
192212,3.42,-0.58
192312,5.19,1.19
192412,2.33,-1.67
192512,3.18,-0.82
192612,3.62,-0.38
192712,5.86,1.86
192812,2.56,-1.44
192912,4.12,0.12
193012,3.02,-0.98
193112,3.08,-0.92
193212,1.99,-2.01
193312,3.49,-0.51
193412,4.02,0.02
193512,1.13,-2.87
193612,7.43,3.43
193712,2.4,-1.60
193812,3.72,-0.28
193912,3.32,-0.68
194012,2.7,-1.30
194112,4.04,0.04
194212,6.27,2.27
194312,1.15,-2.85
194412,3.36,-0.64
194512,5.63,1.63
194612,2.81,-1.19
194712,2.86,-1.14
194812,5.79,1.79
194912,3.43,-0.57
195012,4.52,0.52
195112,5.34,1.34
195212,3.96,-0.04
195312,5.54,1.54
195412,5.32,1.32
195512,.77,-3.23
195612,4.87,0.87
195712,7.12,3.12
195812,1.45,-2.55
195912,4.8,0.80
196012,3.14,-0.86
196112,3.17,-0.83
196212,2.79,-1.21
196312,2.52,-1.48
196412,4.69,0.69
196512,1.96,-2.04
196612,3.21,-0.79
196712,5.98,1.98
196812,5.91,1.91
196912,7.35,3.35
197012,3.28,-0.72
197112,2.98,-1.02
197212,7.15,3.15
197312,8.98,4.98
197412,5.28,1.28
197512,4.46,0.46
197612,3.17,-0.83
197712,5.69,1.69
197812,4.36,0.36
197912,2.54,-1.46
198012,.92,-3.08
198112,5.25,1.25
198212,1.75,-2.25
198312,6.79,2.79
198412,2.95,-1.05
198512,1.61,-2.39
198612,6,2.00
198712,2.24,-1.76
198812,1.56,-2.44
198912,1.25,-2.75
199012,5.69,1.69
199112,3.46,-0.54
199212,5.62,1.62
199312,5.44,1.44
199412,4.66,0.66
199512,2.3,-1.70
199612,7.45,3.45
199712,3.25,-0.75
199812,1.27,-2.73
199912,2.77,-1.23
200012,4.22,0.22
200112,2.45,-1.55
200212,4.69,0.69
200312,5.18,1.18
200412,4.37,0.37
200512,4.23,0.23
200612,2.13,-1.87
200712,4.97,0.97
200812,6.92,2.92
200912,5.49,1.49
201012,4.56,0.56
201112,4.53,0.53
201212,4.7,0.70
201312,3.65,-0.35
201412,4.88,0.88
201512,4.04,0.04
