Pennsylvania, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.26,0.15
189612,1.15,-1.96
189712,3.72,0.61
189812,2.94,-0.17
189912,3.11,0.00
190012,2.2,-0.91
190112,5.82,2.71
190212,5.35,2.24
190312,2.52,-0.59
190412,2.53,-0.58
190512,3.64,0.53
190612,3.99,0.88
190712,4.34,1.23
190812,2.79,-0.32
190912,3.16,0.05
191012,2.64,-0.47
191112,3.44,0.33
191212,3.23,0.12
191312,2.77,-0.34
191412,4.5,1.39
191512,4.16,1.05
191612,2.91,-0.20
191712,1.78,-1.33
191812,3.32,0.21
191912,2.58,-0.53
192012,3.22,0.11
192112,2.49,-0.62
192212,2.89,-0.22
192312,4.88,1.77
192412,2.13,-0.98
192512,1.83,-1.28
192612,2.54,-0.57
192712,4.38,1.27
192812,1.13,-1.98
192912,2.84,-0.27
193012,2.37,-0.74
193112,3.09,-0.02
193212,2.12,-0.99
193312,2.94,-0.17
193412,2.54,-0.57
193512,2.75,-0.36
193612,4.02,0.91
193712,2.52,-0.59
193812,2.58,-0.53
193912,2.36,-0.75
194012,3.04,-0.07
194112,3.02,-0.09
194212,5.12,2.01
194312,1.1,-2.01
194412,3.79,0.68
194512,2.64,-0.47
194612,2.34,-0.77
194712,1.53,-1.58
194812,4.28,1.17
194912,3.35,0.24
195012,3.58,0.47
195112,4.7,1.59
195212,3.25,0.14
195312,3.09,-0.02
195412,3.61,0.50
195512,.61,-2.50
195612,4.05,0.94
195712,4.98,1.87
195812,1.07,-2.04
195912,3.44,0.33
196012,1.76,-1.35
196112,2.5,-0.61
196212,2.6,-0.51
196312,2.11,-1.00
196412,3.74,0.63
196512,1.26,-1.85
196612,2.59,-0.52
196712,3.21,0.10
196812,3.19,0.08
196912,5.1,1.99
197012,3.35,0.24
197112,3.17,0.06
197212,4.86,1.75
197312,5.21,2.10
197412,4.06,0.95
197512,3.19,0.08
197612,2.01,-1.10
197712,4.59,1.48
197812,4.19,1.08
197912,2.15,-0.96
198012,1.31,-1.80
198112,2.61,-0.50
198212,2.21,-0.90
198312,5.58,2.47
198412,3.28,0.17
198512,2.1,-1.01
198612,3.57,0.46
198712,2.2,-0.91
198812,1.52,-1.59
198912,1.29,-1.82
199012,6.3,3.19
199112,3.61,0.50
199212,3.83,0.72
199312,3.18,0.07
199412,2.62,-0.49
199512,2.23,-0.88
199612,5.17,2.06
199712,2.65,-0.46
199812,1.46,-1.65
199912,2.44,-0.67
200012,2.94,-0.17
200112,2.66,-0.45
200212,3.81,0.70
200312,4.17,1.06
200412,3.49,0.38
200512,2.4,-0.71
200612,2.31,-0.80
200712,4.96,1.85
200812,5.57,2.46
200912,4.39,1.28
201012,3.44,0.33
201112,3.78,0.67
201212,5.24,2.13
201312,3.99,0.88
201412,2.96,-0.15
201512,4.1,0.99
