Wyoming, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.16,-0.61
189604,1.46,-0.31
189704,.95,-0.82
189804,1.01,-0.76
189904,1.06,-0.71
190004,4.1,2.33
190104,1.82,0.05
190204,1.6,-0.17
190304,1.87,0.10
190404,2.05,0.28
190504,2.27,0.50
190604,1.85,0.08
190704,1.32,-0.45
190804,1.05,-0.72
190904,.99,-0.78
191004,.98,-0.79
191104,1.43,-0.34
191204,1.71,-0.06
191304,.84,-0.93
191404,2.92,1.15
191504,1.94,0.17
191604,.83,-0.94
191704,2.27,0.50
191804,2.44,0.67
191904,1.78,0.01
192004,2.91,1.14
192104,1.48,-0.29
192204,2.39,0.62
192304,1.85,0.08
192404,1.04,-0.73
192504,1.88,0.11
192604,1.3,-0.47
192704,2.42,0.65
192804,1.08,-0.69
192904,2.46,0.69
193004,1.23,-0.54
193104,1.24,-0.53
193204,2.2,0.43
193304,2.51,0.74
193404,1.55,-0.22
193504,2.32,0.55
193604,1.32,-0.45
193704,1.82,0.05
193804,1.75,-0.02
193904,1.04,-0.73
194004,3.05,1.28
194104,3.92,2.15
194204,2.6,0.83
194304,1.67,-0.10
194404,2.63,0.86
194504,2.13,0.36
194604,.99,-0.78
194704,1.88,0.11
194804,1.91,0.14
194904,1.07,-0.70
195004,2.01,0.24
195104,1.44,-0.33
195204,1.14,-0.63
195304,1.81,0.04
195404,.8,-0.97
195504,1.19,-0.58
195604,1.62,-0.15
195704,2.66,0.89
195804,1.85,0.08
195904,1.13,-0.64
196004,1.13,-0.64
196104,.94,-0.83
196204,1.19,-0.58
196304,3.1,1.33
196404,2.48,0.71
196504,1.4,-0.37
196604,1.55,-0.22
196704,1.86,0.09
196804,1.78,0.01
196904,1.66,-0.11
197004,1.96,0.19
197104,2.92,1.15
197204,1.64,-0.13
197304,2.8,1.03
197404,2.13,0.36
197504,1.7,-0.07
197604,2.24,0.47
197704,1.29,-0.48
197804,1.95,0.18
197904,1.01,-0.76
198004,.92,-0.85
198104,1.15,-0.62
198204,1.4,-0.37
198304,1.8,0.03
198404,2.47,0.70
198504,1.03,-0.74
198604,2.42,0.65
198704,.5,-1.27
198804,1.29,-0.48
198904,1.19,-0.58
199004,2.05,0.28
199104,2.31,0.54
199204,1.14,-0.63
199304,2.3,0.53
199404,1.43,-0.34
199504,2.09,0.32
199604,1.65,-0.12
199704,1.94,0.17
199804,1.36,-0.41
199904,3.31,1.54
200004,1.75,-0.02
200104,1.74,-0.03
200204,1.34,-0.43
200304,1.52,-0.25
200404,1.52,-0.25
200504,1.84,0.07
200604,1.2,-0.57
200704,1.2,-0.57
200804,.94,-0.83
200904,2.5,0.73
201004,2.32,0.55
201104,2.49,0.72
201204,1.19,-0.58
201304,1.87,0.10
201404,1.38,-0.39
201504,1.7,-0.07
