Tennessee, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,5.49,0.04
189603,6.47,1.02
189703,11.63,6.18
189803,4.98,-0.47
189903,8.55,3.10
190003,3.7,-1.75
190103,4.26,-1.19
190203,7.3,1.85
190303,5.74,0.29
190403,6.38,0.93
190503,4.26,-1.19
190603,5.32,-0.13
190703,4.59,-0.86
190803,4.59,-0.86
190903,5.73,0.28
191003,.94,-4.51
191103,3.19,-2.26
191203,7.58,2.13
191303,7.35,1.90
191403,4.48,-0.97
191503,2.85,-2.60
191603,3.1,-2.35
191703,10,4.55
191803,1.7,-3.75
191903,7.47,2.02
192003,5.59,0.14
192103,5.41,-0.04
192203,9.48,4.03
192303,7.77,2.32
192403,3.19,-2.26
192503,2.51,-2.94
192603,3.98,-1.47
192703,7.72,2.27
192803,4.56,-0.89
192903,7.82,2.37
193003,4.67,-0.78
193103,3.92,-1.53
193203,4.84,-0.61
193303,5.77,0.32
193403,7.93,2.48
193503,7.78,2.33
193603,6.62,1.17
193703,2.15,-3.30
193803,5.84,0.39
193903,4.95,-0.50
194003,5.67,0.22
194103,2.79,-2.66
194203,4.95,-0.50
194303,6.94,1.49
194403,7.01,1.56
194503,4.4,-1.05
194603,5.38,-0.07
194703,3.2,-2.25
194803,7.04,1.59
194903,5.68,0.23
195003,5.84,0.39
195103,6.02,0.57
195203,6.99,1.54
195303,5.86,0.41
195403,3.92,-1.53
195503,8.37,2.92
195603,4.16,-1.29
195703,2.79,-2.66
195803,4.12,-1.33
195903,4.12,-1.33
196003,4.83,-0.62
196103,6.79,1.34
196203,5.48,0.03
196303,9.13,3.68
196403,7.71,2.26
196503,8.07,2.62
196603,2.1,-3.35
196703,4.02,-1.43
196803,5.85,0.40
196903,2.73,-2.72
197003,4.36,-1.09
197103,3.78,-1.67
197203,5.24,-0.21
197303,10.49,5.04
197403,4.76,-0.69
197503,13.12,7.67
197603,6.49,1.04
197703,6.13,0.68
197803,4.53,-0.92
197903,5.18,-0.27
198003,9.97,4.52
198103,4.11,-1.34
198203,3.73,-1.72
198303,3.29,-2.16
198403,5.74,0.29
198503,2.84,-2.61
198603,2.79,-2.66
198703,2.81,-2.64
198803,3.22,-2.23
198903,6.17,0.72
199003,5.29,-0.16
199103,6.42,0.97
199203,5.22,-0.23
199303,5.35,-0.10
199403,9.58,4.13
199503,4.11,-1.34
199603,5.89,0.44
199703,9.22,3.77
199803,4.58,-0.87
199903,4.59,-0.86
200003,4.47,-0.98
200103,3.33,-2.12
200203,9.14,3.69
200303,2.54,-2.91
200403,4.8,-0.65
200503,3.35,-2.10
200603,3.19,-2.26
200703,2.21,-3.24
200803,6.52,1.07
200903,4.52,-0.93
201003,3.88,-1.57
201103,6.96,1.51
201203,4.86,-0.59
201303,4.97,-0.48
201403,3.93,-1.52
201503,5.41,-0.04
