Montana, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.66,0.37
189612,.69,-0.60
189712,1.47,0.18
189812,.66,-0.63
189912,1.79,0.50
190012,.81,-0.48
190112,2.23,0.94
190212,1.75,0.46
190312,1.15,-0.14
190412,1.1,-0.19
190512,.31,-0.98
190612,2.34,1.05
190712,.68,-0.61
190812,.59,-0.70
190912,1.38,0.09
191012,.64,-0.65
191112,.93,-0.36
191212,.74,-0.55
191312,.31,-0.98
191412,.6,-0.69
191512,1.41,0.12
191612,1.71,0.42
191712,3.67,2.38
191812,.68,-0.61
191912,1.52,0.23
192012,.83,-0.46
192112,1.55,0.26
192212,1.66,0.37
192312,1.29,0.00
192412,1.59,0.30
192512,1.27,-0.02
192612,1.15,-0.14
192712,1.82,0.53
192812,1.2,-0.09
192912,2.92,1.63
193012,.27,-1.02
193112,.96,-0.33
193212,1.19,-0.10
193312,2.94,1.65
193412,1.36,0.07
193512,.51,-0.78
193612,1.39,0.10
193712,1.71,0.42
193812,.77,-0.52
193912,1.3,0.01
194012,.6,-0.69
194112,1.72,0.43
194212,1.09,-0.20
194312,.52,-0.77
194412,.77,-0.52
194512,1.62,0.33
194612,1.85,0.56
194712,.89,-0.40
194812,1.47,0.18
194912,1.32,0.03
195012,1.24,-0.05
195112,2.17,0.88
195212,.62,-0.67
195312,1.29,0.00
195412,.52,-0.77
195512,2.55,1.26
195612,1.22,-0.07
195712,.94,-0.35
195812,1.65,0.36
195912,.47,-0.82
196012,.76,-0.53
196112,1.13,-0.16
196212,.83,-0.46
196312,1.29,0.00
196412,2.92,1.63
196512,.76,-0.53
196612,1.2,-0.09
196712,1.87,0.58
196812,1.6,0.31
196912,.97,-0.32
197012,1.2,-0.09
197112,1.8,0.51
197212,1.5,0.21
197312,1.63,0.34
197412,.98,-0.31
197512,1.53,0.24
197612,.59,-0.70
197712,2.74,1.45
197812,1.53,0.24
197912,1.04,-0.25
198012,1.54,0.25
198112,1.31,0.02
198212,1.67,0.38
198312,1.26,-0.03
198412,1.43,0.14
198512,.59,-0.70
198612,.42,-0.87
198712,1.01,-0.28
198812,1.07,-0.22
198912,1.66,0.37
199012,1.2,-0.09
199112,.85,-0.44
199212,1.31,0.02
199312,.8,-0.49
199412,.94,-0.35
199512,1.23,-0.06
199612,2.78,1.49
199712,.58,-0.71
199812,1.66,0.37
199912,1.03,-0.26
200012,.87,-0.42
200112,.79,-0.50
200212,.78,-0.51
200312,1.4,0.11
200412,.93,-0.36
200512,1.23,-0.06
200612,.87,-0.42
200712,1.19,-0.10
200812,1.81,0.52
200912,1.05,-0.24
201012,1.61,0.32
201112,.81,-0.48
201212,1.32,0.03
201312,1.46,0.17
201412,1.3,0.01
201512,1.62,0.33
