New Hampshire, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,5.22,1.66
189604,1.35,-2.21
189704,2.81,-0.75
189804,3.88,0.32
189904,1.51,-2.05
190004,1.63,-1.93
190104,5.67,2.11
190204,4.57,1.01
190304,1.99,-1.57
190404,6.05,2.49
190504,1.91,-1.65
190604,2.16,-1.40
190704,3.18,-0.38
190804,2.32,-1.24
190904,3.75,0.19
191004,3.36,-0.20
191104,1.31,-2.25
191204,3.24,-0.32
191304,2.36,-1.20
191404,5.4,1.84
191504,2.42,-1.14
191604,3.61,0.05
191704,2.43,-1.13
191804,2.33,-1.23
191904,2.57,-0.99
192004,5.99,2.43
192104,4.32,0.76
192204,3.43,-0.13
192304,5.25,1.69
192404,5.37,1.81
192504,2.2,-1.36
192604,3.09,-0.47
192704,1.38,-2.18
192804,3.98,0.42
192904,5.22,1.66
193004,1.65,-1.91
193104,2.75,-0.81
193204,2.96,-0.60
193304,6.81,3.25
193404,5.21,1.65
193504,2.95,-0.61
193604,4.48,0.92
193704,4.02,0.46
193804,2.9,-0.66
193904,5.01,1.45
194004,5.02,1.46
194104,.64,-2.92
194204,2.58,-0.98
194304,3.59,0.03
194404,3.31,-0.25
194504,4.74,1.18
194604,2.94,-0.62
194704,2.77,-0.79
194804,3.21,-0.35
194904,3.35,-0.21
195004,2.94,-0.62
195104,4.64,1.08
195204,4.03,0.47
195304,4.67,1.11
195404,4.76,1.20
195504,2.74,-0.82
195604,3.4,-0.16
195704,2.24,-1.32
195804,4.18,0.62
195904,2.57,-0.99
196004,4.47,0.91
196104,4.72,1.16
196204,3.93,0.37
196304,2.25,-1.31
196404,3.03,-0.53
196504,2.39,-1.17
196604,1.25,-2.31
196704,4.18,0.62
196804,3.37,-0.19
196904,3.96,0.40
197004,3.72,0.16
197104,2.04,-1.52
197204,2.91,-0.65
197304,5.42,1.86
197404,3.87,0.31
197504,3.04,-0.52
197604,2.99,-0.57
197704,4.21,0.65
197804,2.82,-0.74
197904,3.91,0.35
198004,4.27,0.71
198104,3.51,-0.05
198204,3.78,0.22
198304,5.92,2.36
198404,3.95,0.39
198504,1.89,-1.67
198604,1.95,-1.61
198704,6.45,2.89
198804,4.42,0.86
198904,3.54,-0.02
199004,3.7,0.14
199104,3.45,-0.11
199204,2.52,-1.04
199304,4.19,0.63
199404,3.42,-0.14
199504,2.01,-1.55
199604,7.03,3.47
199704,4.3,0.74
199804,2.57,-0.99
199904,.78,-2.78
200004,6.4,2.84
200104,1.09,-2.47
200204,4.53,0.97
200304,2.98,-0.58
200404,5.6,2.04
200504,5.61,2.05
200604,2.98,-0.58
200704,7.32,3.76
200804,3.92,0.36
200904,3.5,-0.06
201004,2.82,-0.74
201104,5.42,1.86
201204,3.24,-0.32
201304,2.44,-1.12
201404,3.03,-0.53
201504,2.8,-0.76
