Connecticut, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.35,-1.58
189605,3.22,-0.71
189705,4.97,1.04
189805,6.75,2.82
189905,2.05,-1.88
190005,4.75,0.82
190105,7.38,3.45
190205,1.88,-2.05
190305,.71,-3.22
190405,3.13,-0.80
190505,1.31,-2.62
190605,5.5,1.57
190705,4.35,0.42
190805,6.08,2.15
190905,3.25,-0.68
191005,2.97,-0.96
191105,1.4,-2.53
191205,5.47,1.54
191305,3.39,-0.54
191405,2.79,-1.14
191505,2.71,-1.22
191605,4.01,0.08
191705,3.73,-0.20
191805,3.64,-0.29
191905,5.56,1.63
192005,3.86,-0.07
192105,3.38,-0.55
192205,5.53,1.60
192305,2.17,-1.76
192405,5.08,1.15
192505,3.51,-0.42
192605,2.26,-1.67
192705,5.23,1.30
192805,2.15,-1.78
192905,4.58,0.65
193005,4.03,0.10
193105,5.86,1.93
193205,2.53,-1.40
193305,2.58,-1.35
193405,5.51,1.58
193505,1.87,-2.06
193605,2.86,-1.07
193705,3.98,0.05
193805,4.03,0.10
193905,1.31,-2.62
194005,6.33,2.40
194105,3.16,-0.77
194205,3.71,-0.22
194305,4.99,1.06
194405,1.61,-2.32
194505,6.12,2.19
194605,6.11,2.18
194705,4.4,0.47
194805,6.89,2.96
194905,5.23,1.30
195005,4.23,0.30
195105,4.1,0.17
195205,4.63,0.70
195305,4.38,0.45
195405,4.21,0.28
195505,1.62,-2.31
195605,2.36,-1.57
195705,2.48,-1.45
195805,3.99,0.06
195905,1.39,-2.54
196005,3.6,-0.33
196105,5.06,1.13
196205,1.57,-2.36
196305,3.4,-0.53
196405,1.26,-2.67
196505,1.86,-2.07
196605,3.72,-0.21
196705,5.57,1.64
196805,5.37,1.44
196905,3.67,-0.26
197005,3.81,-0.12
197105,4.2,0.27
197205,5.58,1.65
197305,5.56,1.63
197405,3.58,-0.35
197505,3.5,-0.43
197605,4.61,0.68
197705,3.16,-0.77
197805,5.95,2.02
197905,5.48,1.55
198005,2.07,-1.86
198105,3.37,-0.56
198205,2.83,-1.10
198305,5.35,1.42
198405,10.23,6.30
198505,4.5,0.57
198605,1.43,-2.50
198705,2.15,-1.78
198805,3.61,-0.32
198905,9.51,5.58
199005,7.51,3.58
199105,4.88,0.95
199205,1.75,-2.18
199305,.97,-2.96
199405,3.6,-0.33
199505,3.21,-0.72
199605,3.57,-0.36
199705,3.38,-0.55
199805,5.86,1.93
199905,4.33,0.40
200005,4.49,0.56
200105,4.11,0.18
200205,5.21,1.28
200305,4.72,0.79
200405,3.59,-0.34
200505,2.59,-1.34
200605,7.17,3.24
200705,1.88,-2.05
200805,2.66,-1.27
200905,3.91,-0.02
201005,2.94,-0.99
201105,4.87,0.94
201205,3.94,0.01
201305,4.47,0.54
201405,4.79,0.86
201505,1.21,-2.72
