Massachusetts, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.95,-2.27
189602,5.02,1.80
189702,2.53,-0.69
189802,4.51,1.29
189902,4.31,1.09
190002,7.32,4.10
190102,.85,-2.37
190202,4.31,1.09
190302,4.26,1.04
190402,2.69,-0.53
190502,1.6,-1.62
190602,2.95,-0.27
190702,2.31,-0.91
190802,4.11,0.89
190902,5.67,2.45
191002,4.59,1.37
191102,2.42,-0.80
191202,2.62,-0.60
191302,2.85,-0.37
191402,3,-0.22
191502,4.48,1.26
191602,4.74,1.52
191702,2.57,-0.65
191802,2.93,-0.29
191902,2.93,-0.29
192002,5.73,2.51
192102,2.94,-0.28
192202,3.03,-0.19
192302,1.93,-1.29
192402,2.57,-0.65
192502,2.58,-0.64
192602,5,1.78
192702,3.3,0.08
192802,3.44,0.22
192902,3.74,0.52
193002,2.15,-1.07
193102,2.4,-0.82
193202,2.29,-0.93
193302,3.68,0.46
193402,3.14,-0.08
193502,2.89,-0.33
193602,2.78,-0.44
193702,2.16,-1.06
193802,2.26,-0.96
193902,3.73,0.51
194002,4.06,0.84
194102,2.12,-1.10
194202,2.72,-0.50
194302,1.58,-1.64
194402,2.19,-1.03
194502,3.97,0.75
194602,3.19,-0.03
194702,2.02,-1.20
194802,2.41,-0.81
194902,3.25,0.03
195002,3.72,0.50
195102,4.61,1.39
195202,3.66,0.44
195302,3.55,0.33
195402,2.7,-0.52
195502,3.86,0.64
195602,4.25,1.03
195702,1.37,-1.85
195802,3.13,-0.09
195902,3,-0.22
196002,4.75,1.53
196102,3.31,0.09
196202,4.21,0.99
196302,3.15,-0.07
196402,3.38,0.16
196502,3.08,-0.14
196602,3.19,-0.03
196702,3.23,0.01
196802,1,-2.22
196902,4.93,1.71
197002,4.79,1.57
197102,4.52,1.30
197202,4.84,1.62
197302,2.86,-0.36
197402,2.68,-0.54
197502,3.48,0.26
197602,2.88,-0.34
197702,2.58,-0.64
197802,1.79,-1.43
197902,3.28,0.06
198002,.99,-2.23
198102,7.68,4.46
198202,3.41,0.19
198302,4.35,1.13
198402,6.14,2.92
198502,2.18,-1.04
198602,3.14,-0.08
198702,.53,-2.69
198802,4.19,0.97
198902,2.65,-0.57
199002,3.86,0.64
199102,1.99,-1.23
199202,2.14,-1.08
199302,3.54,0.32
199402,2.51,-0.71
199502,2.74,-0.48
199602,3.06,-0.16
199702,2.08,-1.14
199802,4.49,1.27
199902,3.59,0.37
200002,3.37,0.15
200102,2.78,-0.44
200202,2.24,-0.98
200302,4.05,0.83
200402,1.77,-1.45
200502,2.74,-0.48
200602,2.41,-0.81
200702,2.15,-1.07
200802,8.5,5.28
200902,1.79,-1.43
201002,4.45,1.23
201102,4.18,0.96
201202,1.08,-2.14
201302,4.25,1.03
201402,4.18,0.96
201502,2.99,-0.23
