Utah, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,.75,-0.36
189612,.41,-0.70
189712,1.43,0.32
189812,.59,-0.52
189912,1.23,0.12
190012,.13,-0.98
190112,.95,-0.16
190212,1.01,-0.10
190312,.34,-0.77
190412,.73,-0.38
190512,.61,-0.50
190612,1.96,0.85
190712,1.53,0.42
190812,1.37,0.26
190912,2.16,1.05
191012,1.44,0.33
191112,.85,-0.26
191212,.41,-0.70
191312,1.11,0.00
191412,.61,-0.50
191512,1.3,0.19
191612,1.48,0.37
191712,.26,-0.85
191812,1,-0.11
191912,.68,-0.43
192012,1.01,-0.10
192112,2.51,1.40
192212,1.64,0.53
192312,.99,-0.12
192412,1.87,0.76
192512,.52,-0.59
192612,1.47,0.36
192712,1.08,-0.03
192812,.66,-0.45
192912,.29,-0.82
193012,.14,-0.97
193112,1.49,0.38
193212,1.3,0.19
193312,1.14,0.03
193412,1.04,-0.07
193512,.96,-0.15
193612,2.01,0.90
193712,1.49,0.38
193812,.88,-0.23
193912,.26,-0.85
194012,1.68,0.57
194112,1.68,0.57
194212,.8,-0.31
194312,1.08,-0.03
194412,.63,-0.48
194512,1.29,0.18
194612,1.29,0.18
194712,1.73,0.62
194812,1.89,0.78
194912,1.67,0.56
195012,.82,-0.29
195112,2.51,1.40
195212,1.11,0.00
195312,.65,-0.46
195412,.86,-0.25
195512,1.26,0.15
195612,.81,-0.30
195712,.93,-0.18
195812,.31,-0.80
195912,1.47,0.36
196012,.41,-0.70
196112,.94,-0.17
196212,.42,-0.69
196312,.37,-0.74
196412,2.33,1.22
196512,2.09,0.98
196612,2.65,1.54
196712,1.9,0.79
196812,1.12,0.01
196912,.81,-0.30
197012,1.2,0.09
197112,1.92,0.81
197212,1.65,0.54
197312,.97,-0.14
197412,.71,-0.40
197512,.67,-0.44
197612,.03,-1.08
197712,1.13,0.02
197812,1.73,0.62
197912,.62,-0.49
198012,.41,-0.70
198112,1.21,0.10
198212,1.42,0.31
198312,2.58,1.47
198412,1.61,0.50
198512,.81,-0.30
198612,.37,-0.74
198712,1.06,-0.05
198812,1.09,-0.02
198912,.15,-0.96
199012,.89,-0.22
199112,.7,-0.41
199212,1.52,0.41
199312,.49,-0.62
199412,.9,-0.21
199512,.91,-0.20
199612,1.71,0.60
199712,.65,-0.46
199812,.6,-0.51
199912,.55,-0.56
200012,.64,-0.47
200112,1.12,0.01
200212,.71,-0.40
200312,1.76,0.65
200412,1.29,0.18
200512,1.08,-0.03
200612,.81,-0.30
200712,2.2,1.09
200812,1.69,0.58
200912,1.56,0.45
201012,3.38,2.27
201112,.51,-0.60
201212,1.76,0.65
201312,1.01,-0.10
201412,1.26,0.15
201512,1.38,0.27
