Massachusetts, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,3.49,-0.41
189608,2.99,-0.91
189708,4.12,0.22
189808,6.87,2.97
189908,2.05,-1.85
190008,2.93,-0.97
190108,4.65,0.75
190208,3.6,-0.30
190308,4.49,0.59
190408,4.13,0.23
190508,4.21,0.31
190608,2.76,-1.14
190708,1.45,-2.45
190808,5.59,1.69
190908,3.36,-0.54
191008,3.06,-0.84
191108,5.74,1.84
191208,3.68,-0.22
191308,3.35,-0.55
191408,3.73,-0.17
191508,6.78,2.88
191608,2.56,-1.34
191708,5.23,1.33
191808,2.45,-1.45
191908,4.83,0.93
192008,3.6,-0.30
192108,2.51,-1.39
192208,5.68,1.78
192308,2.47,-1.43
192408,5.08,1.18
192508,2.15,-1.75
192608,3.88,-0.02
192708,7.76,3.86
192808,5.25,1.35
192908,2.49,-1.41
193008,2.34,-1.56
193108,4.97,1.07
193208,4.64,0.74
193308,5.34,1.44
193408,2.68,-1.22
193508,1.69,-2.21
193608,5.38,1.48
193708,5.11,1.21
193808,3.22,-0.68
193908,4.25,0.35
194008,1.73,-2.17
194108,3.06,-0.84
194208,3.18,-0.72
194308,2.71,-1.19
194408,1.73,-2.17
194508,3.3,-0.60
194608,7.38,3.48
194708,2.14,-1.76
194808,2.14,-1.76
194908,2.55,-1.35
195008,4.22,0.32
195108,3.97,0.07
195208,6.18,2.28
195308,2.55,-1.35
195408,5.15,1.25
195508,13.47,9.57
195608,1.78,-2.12
195708,2.2,-1.70
195808,4.27,0.37
195908,3.74,-0.16
196008,2.68,-1.22
196108,3.4,-0.50
196208,3.83,-0.07
196308,2.73,-1.17
196408,2.18,-1.72
196508,3,-0.90
196608,1.97,-1.93
196708,3.83,-0.07
196808,1.82,-2.08
196908,3.37,-0.53
197008,4.57,0.67
197108,4.38,0.48
197208,2.46,-1.44
197308,3.77,-0.13
197408,3.3,-0.60
197508,5.53,1.63
197608,6.9,3.00
197708,3.98,0.08
197808,5.3,1.40
197908,6.08,2.18
198008,2.07,-1.83
198108,1.77,-2.13
198208,2.6,-1.30
198308,4.17,0.27
198408,1.31,-2.59
198508,6.81,2.91
198608,4.02,0.12
198708,3.61,-0.29
198808,3.07,-0.83
198908,5.63,1.73
199008,7.37,3.47
199108,7.33,3.43
199208,5.65,1.75
199308,2.04,-1.86
199408,5.55,1.65
199508,2.12,-1.78
199608,2.48,-1.42
199708,4.63,0.73
199808,2.82,-1.08
199908,2.9,-1.00
200008,3.63,-0.27
200108,3.36,-0.54
200208,2.85,-1.05
200308,5.75,1.85
200408,5.6,1.70
200508,3.21,-0.69
200608,4.34,0.44
200708,1.43,-2.47
200808,3.76,-0.14
200908,4.72,0.82
201008,3.86,-0.04
201108,9.48,5.58
201208,4.8,0.90
201308,3.62,-0.28
201408,3.07,-0.83
201508,2.95,-0.95
