Massachusetts, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.35,-0.49
189612,1.93,-1.91
189712,5.4,1.56
189812,2.63,-1.21
189912,1.85,-1.99
190012,2.72,-1.12
190112,8.57,4.73
190212,6.05,2.21
190312,3.41,-0.43
190412,2.89,-0.95
190512,3.82,-0.02
190612,4.04,0.20
190712,4.61,0.77
190812,3.16,-0.68
190912,3.37,-0.47
191012,2.33,-1.51
191112,3.43,-0.41
191212,4.82,0.98
191312,3.19,-0.65
191412,3.59,-0.25
191512,5.3,1.46
191612,3.18,-0.66
191712,2.61,-1.23
191812,3.75,-0.09
191912,2.1,-1.74
192012,5.37,1.53
192112,2.39,-1.45
192212,3.28,-0.56
192312,4.77,0.93
192412,2.08,-1.76
192512,3.96,0.12
192612,3.29,-0.55
192712,5.36,1.52
192812,2.25,-1.59
192912,3.94,0.10
193012,2.26,-1.58
193112,3.6,-0.24
193212,1.91,-1.93
193312,3.54,-0.30
193412,3.23,-0.61
193512,1.21,-2.63
193612,7.47,3.63
193712,3.36,-0.48
193812,3.44,-0.40
193912,2.94,-0.90
194012,2.95,-0.89
194112,3.55,-0.29
194212,5.11,1.27
194312,.9,-2.94
194412,3.28,-0.56
194512,5.51,1.67
194612,3.63,-0.21
194712,3.19,-0.65
194812,3.4,-0.44
194912,2.69,-1.15
195012,3.99,0.15
195112,4.74,0.90
195212,3.94,0.10
195312,4.87,1.03
195412,4.93,1.09
195512,.97,-2.87
195612,5.13,1.29
195712,6.15,2.31
195812,1.64,-2.20
195912,4.37,0.53
196012,3.44,-0.40
196112,3.39,-0.45
196212,3.64,-0.20
196312,2.64,-1.20
196412,4.56,0.72
196512,1.99,-1.85
196612,2.83,-1.01
196712,5.69,1.85
196812,5.85,2.01
196912,8.16,4.32
197012,4.35,0.51
197112,3.16,-0.68
197212,6.79,2.95
197312,8.6,4.76
197412,4.12,0.28
197512,4.9,1.06
197612,3.02,-0.82
197712,6.07,2.23
197812,4,0.16
197912,2.02,-1.82
198012,1.33,-2.51
198112,5.65,1.81
198212,1.87,-1.97
198312,5.9,2.06
198412,3.12,-0.72
198512,1.56,-2.28
198612,6.24,2.40
198712,2.66,-1.18
198812,1.29,-2.55
198912,1.1,-2.74
199012,4.88,1.04
199112,3.29,-0.55
199212,6.03,2.19
199312,5.56,1.72
199412,5.08,1.24
199512,2.48,-1.36
199612,6.96,3.12
199712,3.17,-0.67
199812,1.58,-2.26
199912,2.28,-1.56
200012,4.3,0.46
200112,3.04,-0.80
200212,5.26,1.42
200312,5.72,1.88
200412,4.48,0.64
200512,3.9,0.06
200612,2.33,-1.51
200712,5.07,1.23
200812,7.07,3.23
200912,4.87,1.03
201012,4.06,0.22
201112,4.45,0.61
201212,5.45,1.61
201312,4.07,0.23
201412,5.61,1.77
201512,4.82,0.98
