Indiana, Precipitation, October
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189510,.72,-2.13
189610,1.14,-1.71
189710,1.11,-1.74
189810,4.67,1.82
189910,2.99,0.14
190010,2.42,-0.43
190110,3.47,0.62
190210,2.61,-0.24
190310,2.84,-0.01
190410,1.07,-1.78
190510,4.7,1.85
190610,1.95,-0.90
190710,2.64,-0.21
190810,.31,-2.54
190910,3.56,0.71
191010,5.16,2.31
191110,4.14,1.29
191210,1.99,-0.86
191310,3.44,0.59
191410,2.46,-0.39
191510,1.46,-1.39
191610,2.17,-0.68
191710,4.6,1.75
191810,2.87,0.02
191910,8.17,5.32
192010,2.16,-0.69
192110,2.85,0.00
192210,2.87,0.02
192310,3.15,0.30
192410,.4,-2.45
192510,3.73,0.88
192610,4.31,1.46
192710,2.58,-0.27
192810,3.41,0.56
192910,3.8,0.95
193010,1.53,-1.32
193110,3.56,0.71
193210,3.93,1.08
193310,2.74,-0.11
193410,.54,-2.31
193510,1.86,-0.99
193610,4.46,1.61
193710,4.72,1.87
193810,.86,-1.99
193910,2.77,-0.08
194010,2.34,-0.51
194110,6.69,3.84
194210,1.77,-1.08
194310,1.56,-1.29
194410,1.17,-1.68
194510,2.49,-0.36
194610,2.79,-0.06
194710,2.34,-0.51
194810,2.16,-0.69
194910,5.01,2.16
195010,1.48,-1.37
195110,2.78,-0.07
195210,1.11,-1.74
195310,1.26,-1.59
195410,6.15,3.30
195510,4.65,1.80
195610,1.05,-1.80
195710,3.43,0.58
195810,1.46,-1.39
195910,3.93,1.08
196010,1.95,-0.90
196110,2.37,-0.48
196210,3.03,0.18
196310,.45,-2.40
196410,.47,-2.38
196510,2.62,-0.23
196610,1.55,-1.30
196710,4.54,1.69
196810,1.46,-1.39
196910,3.83,0.98
197010,3.92,1.07
197110,2.11,-0.74
197210,2.54,-0.31
197310,2.71,-0.14
197410,1.59,-1.26
197510,2.83,-0.02
197610,3.08,0.23
197710,3.63,0.78
197810,2.78,-0.07
197910,2.68,-0.17
198010,2.3,-0.55
198110,2.54,-0.31
198210,1.61,-1.24
198310,5.86,3.01
198410,3.98,1.13
198510,3.91,1.06
198610,4.4,1.55
198710,1.71,-1.14
198810,3.35,0.50
198910,1.92,-0.93
199010,5.14,2.29
199110,5.14,2.29
199210,1.67,-1.18
199310,3.32,0.47
199410,1.4,-1.45
199510,2.99,0.14
199610,2.22,-0.63
199710,1.61,-1.24
199810,3.55,0.70
199910,2.02,-0.83
200010,2.33,-0.52
200110,7.75,4.90
200210,2.87,0.02
200310,2.4,-0.45
200410,4.14,1.29
200510,1.24,-1.61
200610,5.01,2.16
200710,3.81,0.96
200810,2.23,-0.62
200910,6.69,3.84
201010,1.17,-1.68
201110,3.29,0.44
201210,3.95,1.10
201310,4.12,1.27
201410,4.13,1.28
201510,2.42,-0.43
