Connecticut, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.79,1.06
189601,1.5,-2.23
189701,4.23,0.50
189801,4.43,0.70
189901,4.08,0.35
190001,3.88,0.15
190101,1.78,-1.95
190201,2.43,-1.30
190301,3.74,0.01
190401,3.85,0.12
190501,3.97,0.24
190601,3.18,-0.55
190701,3.76,0.03
190801,3.77,0.04
190901,3.69,-0.04
191001,6.45,2.72
191101,3.22,-0.51
191201,2.33,-1.40
191301,3.45,-0.28
191401,3.44,-0.29
191501,7.14,3.41
191601,1.51,-2.22
191701,3.18,-0.55
191801,3.64,-0.09
191901,3.72,-0.01
192001,3.18,-0.55
192101,2.98,-0.75
192201,1.97,-1.76
192301,6.87,3.14
192401,4.32,0.59
192501,3.47,-0.26
192601,2.66,-1.07
192701,2.93,-0.80
192801,2.56,-1.17
192901,4.3,0.57
193001,2.53,-1.20
193101,3.14,-0.59
193201,4.87,1.14
193301,2.08,-1.65
193401,3.84,0.11
193501,5.15,1.42
193601,7.01,3.28
193701,5.76,2.03
193801,5.21,1.48
193901,3.34,-0.39
194001,3.05,-0.68
194101,2.56,-1.17
194201,3.73,0.00
194301,3.26,-0.47
194401,2.05,-1.68
194501,3.24,-0.49
194601,2.66,-1.07
194701,2.81,-0.92
194801,4.11,0.38
194901,5.88,2.15
195001,3.76,0.03
195101,3.6,-0.13
195201,5.29,1.56
195301,6.54,2.81
195401,2.22,-1.51
195501,.78,-2.95
195601,3.21,-0.52
195701,2.25,-1.48
195801,6.48,2.75
195901,2.94,-0.79
196001,3.17,-0.56
196101,2.69,-1.04
196201,3.81,0.08
196301,2.82,-0.91
196401,4.69,0.96
196501,2.87,-0.86
196601,2.74,-0.99
196701,1.47,-2.26
196801,2.57,-1.16
196901,1.54,-2.19
197001,.58,-3.15
197101,2.33,-1.40
197201,2.19,-1.54
197301,4.35,0.62
197401,4.45,0.72
197501,5.11,1.38
197601,6.34,2.61
197701,2.45,-1.28
197801,9.19,5.46
197901,11.97,8.24
198001,1.36,-2.37
198101,.68,-3.05
198201,5.15,1.42
198301,4.8,1.07
198401,2.01,-1.72
198501,1.05,-2.68
198601,4.96,1.23
198701,5.37,1.64
198801,3.09,-0.64
198901,1.7,-2.03
199001,4.9,1.17
199101,2.85,-0.88
199201,2.69,-1.04
199301,2.73,-1.00
199401,5.67,1.94
199501,3.97,0.24
199601,6.73,3.00
199701,3.91,0.18
199801,4.67,0.94
199901,7.3,3.57
200001,3.45,-0.28
200101,2.45,-1.28
200201,1.94,-1.79
200301,2.65,-1.08
200401,1.89,-1.84
200501,4.85,1.12
200601,5.91,2.18
200701,3.43,-0.30
200801,2.45,-1.28
200901,3,-0.73
201001,2.94,-0.79
201101,3.36,-0.37
201201,2.86,-0.87
201301,1.72,-2.01
201401,2.8,-0.93
201501,3.47,-0.26
