Arizona, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,2.18,0.08
189608,2.19,0.09
189708,1.61,-0.49
189808,2.1,0.00
189908,1.49,-0.61
190008,1.05,-1.05
190108,1.69,-0.41
190208,1.77,-0.33
190308,1.46,-0.64
190408,3.5,1.40
190508,1.41,-0.69
190608,3.06,0.96
190708,2.69,0.59
190808,2.48,0.38
190908,4.03,1.93
191008,1.77,-0.33
191108,1.37,-0.73
191208,1.93,-0.17
191308,1.72,-0.38
191408,1.74,-0.36
191508,1.19,-0.91
191608,2.14,0.04
191708,1.28,-0.82
191808,2.13,0.03
191908,1.78,-0.32
192008,1.86,-0.24
192108,3.38,1.28
192208,2.48,0.38
192308,2.82,0.72
192408,.65,-1.45
192508,2.03,-0.07
192608,1.09,-1.01
192708,2.45,0.35
192808,1.64,-0.46
192908,2.57,0.47
193008,2.02,-0.08
193108,3.41,1.31
193208,1.76,-0.34
193308,1.48,-0.62
193408,2.85,0.75
193508,3.37,1.27
193608,2.04,-0.06
193708,1.49,-0.61
193808,1.97,-0.13
193908,1.91,-0.19
194008,2.02,-0.08
194108,2.14,0.04
194208,1.75,-0.35
194308,2.71,0.61
194408,1.23,-0.87
194508,2.32,0.22
194608,2.62,0.52
194708,2.91,0.81
194808,1.88,-0.22
194908,1.22,-0.88
195008,.82,-1.28
195108,4.22,2.12
195208,1.75,-0.35
195308,1.74,-0.36
195408,1.84,-0.26
195508,3.49,1.39
195608,1.02,-1.08
195708,2.63,0.53
195808,2.17,0.07
195908,3.12,1.02
196008,1.31,-0.79
196108,2.87,0.77
196208,.62,-1.48
196308,3.88,1.78
196408,2.41,0.31
196508,1.34,-0.76
196608,2.02,-0.08
196708,2.37,0.27
196808,1.96,-0.14
196908,2,-0.10
197008,2.24,0.14
197108,3.57,1.47
197208,1.71,-0.39
197308,1.06,-1.04
197408,1.26,-0.84
197508,.63,-1.47
197608,.71,-1.39
197708,1.97,-0.13
197808,1.31,-0.79
197908,1.91,-0.19
198008,1.51,-0.59
198108,1.76,-0.34
198208,2.93,0.83
198308,3,0.90
198408,3.14,1.04
198508,.97,-1.13
198608,2.48,0.38
198708,2.05,-0.05
198808,3.61,1.51
198908,1.61,-0.49
199008,2.3,0.20
199108,1.62,-0.48
199208,3.25,1.15
199308,2.88,0.78
199408,1.62,-0.48
199508,1.98,-0.12
199608,1.39,-0.71
199708,2.26,0.16
199808,1.6,-0.50
199908,2.55,0.45
200008,2.45,0.35
200108,2.04,-0.06
200208,.87,-1.23
200308,1.8,-0.30
200408,1.48,-0.62
200508,2.43,0.33
200608,2.02,-0.08
200708,1.87,-0.23
200808,2.31,0.21
200908,.66,-1.44
201008,1.84,-0.26
201108,1.28,-0.82
201208,2.22,0.12
201308,2.39,0.29
201408,3.13,1.03
201508,2.1,0.00
