Michigan, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.83,-0.67
189602,1.03,-0.47
189702,1.41,-0.09
189802,2.21,0.71
189902,1.38,-0.12
190002,2.72,1.22
190102,1.3,-0.20
190202,1.07,-0.43
190302,2.12,0.62
190402,1.97,0.47
190502,1.44,-0.06
190602,1.51,0.01
190702,.8,-0.70
190802,3.43,1.93
190902,2.58,1.08
191002,1.56,0.06
191102,1.89,0.39
191202,1.31,-0.19
191302,1.49,-0.01
191402,.92,-0.58
191502,1.84,0.34
191602,1.02,-0.48
191702,.56,-0.94
191802,1.92,0.42
191902,1.64,0.14
192002,.79,-0.71
192102,.99,-0.51
192202,2.32,0.82
192302,1.06,-0.44
192402,1.63,0.13
192502,1.39,-0.11
192602,1.95,0.45
192702,1.22,-0.28
192802,1.55,0.05
192902,.95,-0.55
193002,1.78,0.28
193102,.84,-0.66
193202,1.69,0.19
193302,1.82,0.32
193402,.63,-0.87
193502,1.38,-0.12
193602,1.74,0.24
193702,1.82,0.32
193802,3.17,1.67
193902,2.7,1.20
194002,1.19,-0.31
194102,1.11,-0.39
194202,.98,-0.52
194302,1.57,0.07
194402,1.48,-0.02
194502,1.77,0.27
194602,1.65,0.15
194702,1.26,-0.24
194802,1.64,0.14
194902,2.03,0.53
195002,2.38,0.88
195102,2.05,0.55
195202,.95,-0.55
195302,2.14,0.64
195402,2.41,0.91
195502,1.37,-0.13
195602,1.41,-0.09
195702,1.25,-0.25
195802,.83,-0.67
195902,1.78,0.28
196002,1.95,0.45
196102,1.54,0.04
196202,2.14,0.64
196302,.72,-0.78
196402,.66,-0.84
196502,1.98,0.48
196602,1.16,-0.34
196702,1.51,0.01
196802,1.87,0.37
196902,.4,-1.10
197002,.67,-0.83
197102,2.73,1.23
197202,1.21,-0.29
197302,1.21,-0.29
197402,1.7,0.20
197502,1.8,0.30
197602,2.26,0.76
197702,1.42,-0.08
197802,.62,-0.88
197902,1.08,-0.42
198002,.9,-0.60
198102,2.22,0.72
198202,.76,-0.74
198302,.96,-0.54
198402,1.11,-0.39
198502,2.66,1.16
198602,1.86,0.36
198702,.42,-1.08
198802,1.27,-0.23
198902,.88,-0.62
199002,2.02,0.52
199102,.79,-0.71
199202,1.41,-0.09
199302,.79,-0.71
199402,1.22,-0.28
199502,.93,-0.57
199602,1.56,0.06
199702,2.67,1.17
199802,1.32,-0.18
199902,1.45,-0.05
200002,1.42,-0.08
200102,2.63,1.13
200202,2.13,0.63
200302,1.06,-0.44
200402,1.2,-0.30
200502,1.78,0.28
200602,1.8,0.30
200702,.96,-0.54
200802,2.56,1.06
200902,2.4,0.90
201002,1.04,-0.46
201102,1.53,0.03
201202,1.31,-0.19
201302,2.28,0.78
201402,1.58,0.08
201502,.97,-0.53
