Minnesota, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,.62,-0.17
189601,.74,-0.05
189701,1.75,0.96
189801,.24,-0.55
189901,.68,-0.11
190001,.57,-0.22
190101,.42,-0.37
190201,.41,-0.38
190301,.52,-0.27
190401,.36,-0.43
190501,.61,-0.18
190601,1.19,0.40
190701,1.34,0.55
190801,.3,-0.49
190901,1.25,0.46
191001,.76,-0.03
191101,.8,0.01
191201,.38,-0.41
191301,.35,-0.44
191401,.84,0.05
191501,.69,-0.10
191601,2.08,1.29
191701,1.02,0.23
191801,.65,-0.14
191901,.38,-0.41
192001,.97,0.18
192101,.49,-0.30
192201,.62,-0.17
192301,1.03,0.24
192401,.43,-0.36
192501,.51,-0.28
192601,.78,-0.01
192701,.56,-0.23
192801,.39,-0.40
192901,1.33,0.54
193001,.61,-0.18
193101,.21,-0.58
193201,1.13,0.34
193301,.88,0.09
193401,.55,-0.24
193501,1.27,0.48
193601,.81,0.02
193701,1.37,0.58
193801,.64,-0.15
193901,1.11,0.32
194001,.29,-0.50
194101,.94,0.15
194201,.24,-0.55
194301,.96,0.17
194401,.52,-0.27
194501,.68,-0.11
194601,.66,-0.13
194701,.53,-0.26
194801,.48,-0.31
194901,1.56,0.77
195001,1.52,0.73
195101,.5,-0.29
195201,1.06,0.27
195301,.98,0.19
195401,.85,0.06
195501,.56,-0.23
195601,.82,0.03
195701,.3,-0.49
195801,.44,-0.35
195901,.3,-0.49
196001,.65,-0.14
196101,.22,-0.57
196201,.67,-0.12
196301,.31,-0.48
196401,.45,-0.34
196501,.35,-0.44
196601,.69,-0.10
196701,1.76,0.97
196801,.68,-0.11
196901,2.6,1.81
197001,.51,-0.28
197101,.87,0.08
197201,.95,0.16
197301,.48,-0.31
197401,.45,-0.34
197501,2.4,1.61
197601,.96,0.17
197701,.63,-0.16
197801,.41,-0.38
197901,1,0.21
198001,1.04,0.25
198101,.19,-0.60
198201,1.41,0.62
198301,.79,0.00
198401,.54,-0.25
198501,.41,-0.38
198601,.66,-0.13
198701,.49,-0.30
198801,.97,0.18
198901,1.08,0.29
199001,.39,-0.40
199101,.47,-0.32
199201,.65,-0.14
199301,.96,0.17
199401,.96,0.17
199501,.65,-0.14
199601,1.65,0.86
199701,1.59,0.80
199801,.93,0.14
199901,1.15,0.36
200001,.58,-0.21
200101,.83,0.04
200201,.23,-0.56
200301,.23,-0.56
200401,.76,-0.03
200501,1.39,0.60
200601,.5,-0.29
200701,.44,-0.35
200801,.21,-0.58
200901,.6,-0.19
201001,.89,0.10
201101,1.05,0.26
201201,.56,-0.23
201301,1.01,0.22
201401,.8,0.01
201501,.49,-0.30
