Idaho, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.2,0.30
189612,2.71,-0.19
189712,3.19,0.29
189812,.99,-1.91
189912,2.52,-0.38
190012,2.07,-0.83
190112,3.23,0.33
190212,3.38,0.48
190312,1.95,-0.95
190412,2.83,-0.07
190512,1.6,-1.30
190612,4.23,1.33
190712,3.7,0.80
190812,1.85,-1.05
190912,2.73,-0.17
191012,2.1,-0.80
191112,1.95,-0.95
191212,2.03,-0.87
191312,1.9,-1.00
191412,1.02,-1.88
191512,2.93,0.03
191612,3.33,0.43
191712,4.92,2.02
191812,1.27,-1.63
191912,2.43,-0.47
192012,3.43,0.53
192112,2.99,0.09
192212,4.24,1.34
192312,2.66,-0.24
192412,3.08,0.18
192512,2.82,-0.08
192612,2.54,-0.36
192712,2.54,-0.36
192812,2.32,-0.58
192912,4.32,1.42
193012,.89,-2.01
193112,3.66,0.76
193212,2.6,-0.30
193312,5.29,2.39
193412,2.69,-0.21
193512,1.68,-1.22
193612,2.09,-0.81
193712,4.29,1.39
193812,1.63,-1.27
193912,2.88,-0.02
194012,2.31,-0.59
194112,4.58,1.68
194212,4.22,1.32
194312,1.31,-1.59
194412,1.73,-1.17
194512,3.6,0.70
194612,3.12,0.22
194712,1.88,-1.02
194812,3.92,1.02
194912,2.3,-0.60
195012,3.07,0.17
195112,4.53,1.63
195212,2.7,-0.20
195312,2.54,-0.36
195412,1.91,-0.99
195512,6.21,3.31
195612,2.59,-0.31
195712,3.47,0.57
195812,2.95,0.05
195912,1.49,-1.41
196012,1.22,-1.68
196112,2.86,-0.04
196212,1.66,-1.24
196312,1.97,-0.93
196412,8.52,5.62
196512,1.56,-1.34
196612,3.16,0.26
196712,2.62,-0.28
196812,3.55,0.65
196912,2.94,0.04
197012,3.62,0.72
197112,4.13,1.23
197212,3.45,0.55
197312,4.05,1.15
197412,3.07,0.17
197512,3.25,0.35
197612,.69,-2.21
197712,5.55,2.65
197812,2.58,-0.32
197912,2.08,-0.82
198012,3.72,0.82
198112,4.47,1.57
198212,3.8,0.90
198312,4.34,1.44
198412,2.64,-0.26
198512,1.33,-1.57
198612,.62,-2.28
198712,2.82,-0.08
198812,1.89,-1.01
198912,1,-1.90
199012,2.02,-0.88
199112,1.73,-1.17
199212,3.34,0.44
199312,1.83,-1.07
199412,2.67,-0.23
199512,3.93,1.03
199612,7.74,4.84
199712,1.49,-1.41
199812,3.31,0.41
199912,2.69,-0.21
200012,1.68,-1.22
200112,3.5,0.60
200212,3.08,0.18
200312,3.62,0.72
200412,2.54,-0.36
200512,4.38,1.48
200612,2.72,-0.18
200712,3.62,0.72
200812,3.74,0.84
200912,1.84,-1.06
201012,4.22,1.32
201112,1.53,-1.37
201212,4.12,1.22
201312,1.76,-1.14
201412,3.3,0.40
201512,4.56,1.66
