Wisconsin, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.08,-1.09
189606,3.62,-0.55
189706,5.58,1.41
189806,3.71,-0.46
189906,5.49,1.32
190006,2.03,-2.14
190106,4.11,-0.06
190206,3.69,-0.48
190306,1.67,-2.50
190406,3.94,-0.23
190506,6.47,2.30
190606,4.62,0.45
190706,3.21,-0.96
190806,4.17,0.00
190906,3.41,-0.76
191006,.9,-3.27
191106,3.42,-0.75
191206,1.41,-2.76
191306,3.12,-1.05
191406,7.16,2.99
191506,4.05,-0.12
191606,6.18,2.01
191706,5.09,0.92
191806,2.29,-1.88
191906,5.09,0.92
192006,6.44,2.27
192106,2.44,-1.73
192206,4.42,0.25
192306,4.95,0.78
192406,4.18,0.01
192506,6.43,2.26
192606,4.09,-0.08
192706,2.83,-1.34
192806,4.23,0.06
192906,3.84,-0.33
193006,5.5,1.33
193106,4.86,0.69
193206,3.01,-1.16
193306,2.59,-1.58
193406,3.88,-0.29
193506,5.2,1.03
193606,2.25,-1.92
193706,2.79,-1.38
193806,5.19,1.02
193906,5.51,1.34
194006,6.36,2.19
194106,2.75,-1.42
194206,4.59,0.42
194306,6.04,1.87
194406,6.25,2.08
194506,4.68,0.51
194606,6.52,2.35
194706,4.53,0.36
194806,3.01,-1.16
194906,4.93,0.76
195006,4.03,-0.14
195106,4.88,0.71
195206,4.78,0.61
195306,4.86,0.69
195406,6.13,1.96
195506,3.55,-0.62
195606,4.08,-0.09
195706,4.11,-0.06
195806,3.32,-0.85
195906,2.92,-1.25
196006,3.96,-0.21
196106,3.03,-1.14
196206,3.16,-1.01
196306,3.09,-1.08
196406,2.1,-2.07
196506,2.78,-1.39
196606,3.06,-1.11
196706,7.23,3.06
196806,7.84,3.67
196906,6.06,1.89
197006,2.63,-1.54
197106,3.58,-0.59
197206,3.11,-1.06
197306,3.07,-1.10
197406,4.35,0.18
197506,4.77,0.60
197606,2.15,-2.02
197706,4.04,-0.13
197806,4.47,0.30
197906,4.35,0.18
198006,5,0.83
198106,5.09,0.92
198206,2.71,-1.46
198306,2.31,-1.86
198406,5.34,1.17
198506,2.98,-1.19
198606,4.41,0.24
198706,2.34,-1.83
198806,1.54,-2.63
198906,2.63,-1.54
199006,6.63,2.46
199106,3.66,-0.51
199206,2.15,-2.02
199306,7.12,2.95
199406,3.67,-0.50
199506,2.25,-1.92
199606,6.4,2.23
199706,4.11,-0.06
199806,6.22,2.05
199906,4.18,0.01
200006,6.68,2.51
200106,4.73,0.56
200206,5.64,1.47
200306,3.35,-0.82
200406,4.57,0.40
200506,3.81,-0.36
200606,2.22,-1.95
200706,2.99,-1.18
200806,6.19,2.02
200906,3.29,-0.88
201006,7.12,2.95
201106,4.22,0.05
201206,3.34,-0.83
201306,6.21,2.04
201406,6.71,2.54
201506,4.44,0.27
