Indiana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.15,-1.66
189604,1.81,-2.00
189704,4.16,0.35
189804,2.13,-1.68
189904,1.51,-2.30
190004,1.58,-2.23
190104,2.5,-1.31
190204,2.05,-1.76
190304,4.59,0.78
190404,3.27,-0.54
190504,3.74,-0.07
190604,2.04,-1.77
190704,2.69,-1.12
190804,4.34,0.53
190904,5.27,1.46
191004,3.53,-0.28
191104,5.16,1.35
191204,4.85,1.04
191304,3.22,-0.59
191404,3.03,-0.78
191504,1.53,-2.28
191604,2.26,-1.55
191704,4.17,0.36
191804,4.29,0.48
191904,2.98,-0.83
192004,5.71,1.90
192104,4.15,0.34
192204,5.9,2.09
192304,2.41,-1.40
192404,3.23,-0.58
192504,2.22,-1.59
192604,3.67,-0.14
192704,5.87,2.06
192804,2.9,-0.91
192904,4.97,1.16
193004,2.7,-1.11
193104,3.03,-0.78
193204,2.68,-1.13
193304,4.35,0.54
193404,1.61,-2.20
193504,2.37,-1.44
193604,3.05,-0.76
193704,5,1.19
193804,2.56,-1.25
193904,5.66,1.85
194004,5.4,1.59
194104,2.65,-1.16
194204,2.87,-0.94
194304,3.1,-0.71
194404,6.03,2.22
194504,4.22,0.41
194604,1.67,-2.14
194704,6.72,2.91
194804,3.93,0.12
194904,2,-1.81
195004,5,1.19
195104,3.53,-0.28
195204,3.87,0.06
195304,3.28,-0.53
195404,3.64,-0.17
195504,3.7,-0.11
195604,3.9,0.09
195704,6.77,2.96
195804,2.83,-0.98
195904,4.04,0.23
196004,2.29,-1.52
196104,4.92,1.11
196204,1.33,-2.48
196304,3.2,-0.61
196404,6.22,2.41
196504,4.79,0.98
196604,4.65,0.84
196704,4.13,0.32
196804,3.5,-0.31
196904,4.31,0.50
197004,6.09,2.28
197104,1.3,-2.51
197204,6.57,2.76
197304,4.48,0.67
197404,3.47,-0.34
197504,4.23,0.42
197604,1.69,-2.12
197704,3.16,-0.65
197804,3.83,0.02
197904,4.49,0.68
198004,2.71,-1.10
198104,5.69,1.88
198204,2.51,-1.30
198304,5.66,1.85
198404,4.81,1.00
198504,2.13,-1.68
198604,2.39,-1.42
198704,2.71,-1.10
198804,2.99,-0.82
198904,4.29,0.48
199004,2.89,-0.92
199104,3.63,-0.18
199204,3.42,-0.39
199304,4.74,0.93
199404,5.7,1.89
199504,4.51,0.70
199604,6.64,2.83
199704,2.07,-1.74
199804,6.07,2.26
199904,4.9,1.09
200004,3.23,-0.58
200104,2.75,-1.06
200204,5.59,1.78
200304,3,-0.81
200404,1.83,-1.98
200504,3.04,-0.77
200604,4.27,0.46
200704,4.15,0.34
200804,3.37,-0.44
200904,5.74,1.93
201004,3.16,-0.65
201104,9.61,5.80
201204,2.22,-1.59
201304,6.38,2.57
201404,5.73,1.92
201504,4.78,0.97
