New Mexico, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,.76,-0.91
189609,2.2,0.53
189709,2.87,1.20
189809,.7,-0.97
189909,1.85,0.18
190009,3.56,1.89
190109,1.22,-0.45
190209,1.41,-0.26
190309,1.43,-0.24
190409,3.83,2.16
190509,1.96,0.29
190609,1.72,0.05
190709,.97,-0.70
190809,.62,-1.05
190909,1.6,-0.07
191009,.75,-0.92
191109,1.96,0.29
191209,1.27,-0.40
191309,2.16,0.49
191409,.75,-0.92
191509,2.38,0.71
191609,.97,-0.70
191709,1.45,-0.22
191809,.81,-0.86
191909,3.27,1.60
192009,1.13,-0.54
192109,.83,-0.84
192209,.8,-0.87
192309,1.95,0.28
192409,.47,-1.20
192509,1.84,0.17
192609,2.47,0.80
192709,2.72,1.05
192809,.52,-1.15
192909,2.09,0.42
193009,.88,-0.79
193109,2.26,0.59
193209,2.5,0.83
193309,1.54,-0.13
193409,.85,-0.82
193509,2.4,0.73
193609,2.98,1.31
193709,2.1,0.43
193809,3.03,1.36
193909,1.79,0.12
194009,1.44,-0.23
194109,5.48,3.81
194209,2.17,0.50
194309,1.02,-0.65
194409,1.9,0.23
194509,.92,-0.75
194609,1.91,0.24
194709,.55,-1.12
194809,.71,-0.96
194909,2.43,0.76
195009,2.2,0.53
195109,.26,-1.41
195209,.98,-0.69
195309,.15,-1.52
195409,1.35,-0.32
195509,1,-0.67
195609,.07,-1.60
195709,.27,-1.40
195809,3.21,1.54
195909,.22,-1.45
196009,.93,-0.74
196109,1.8,0.13
196209,2.62,0.95
196309,1.53,-0.14
196409,2.24,0.57
196509,2.09,0.42
196609,1.25,-0.42
196709,1.7,0.03
196809,.32,-1.35
196909,2.21,0.54
197009,1.5,-0.17
197109,2.01,0.34
197209,2.69,1.02
197309,.94,-0.73
197409,2.76,1.09
197509,3.06,1.39
197609,2.08,0.41
197709,1.23,-0.44
197809,1.86,0.19
197909,1.06,-0.61
198009,2.94,1.27
198109,1.79,0.12
198209,2.24,0.57
198309,1.75,0.08
198409,1.25,-0.42
198509,2.58,0.91
198609,2.04,0.37
198709,1,-0.67
198809,2.26,0.59
198909,1.21,-0.46
199009,2.69,1.02
199109,2.9,1.23
199209,.84,-0.83
199309,.74,-0.93
199409,1.39,-0.28
199509,2.43,0.76
199609,2.24,0.57
199709,2.67,1.00
199809,.82,-0.85
199909,1.57,-0.10
200009,.22,-1.45
200109,.92,-0.75
200209,2.61,0.94
200309,.94,-0.73
200409,2.22,0.55
200509,1.83,0.16
200609,2.36,0.69
200709,1.8,0.13
200809,1.27,-0.40
200909,1.75,0.08
201009,1.43,-0.24
201109,1.66,-0.01
201209,1.31,-0.36
201309,4.19,2.52
201409,3.15,1.48
201509,1.1,-0.57
