Indiana, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.34,-2.17
189603,2.91,-0.60
189703,6.06,2.55
189803,7.78,4.27
189903,4.24,0.73
190003,2.04,-1.47
190103,3.47,-0.04
190203,3.07,-0.44
190303,2.72,-0.79
190403,7.79,4.28
190503,2.44,-1.07
190603,4.92,1.41
190703,4.7,1.19
190803,4.29,0.78
190903,2.85,-0.66
191003,.21,-3.30
191103,2.16,-1.35
191203,4.25,0.74
191303,8.74,5.23
191403,2.44,-1.07
191503,1.17,-2.34
191603,2.56,-0.95
191703,3.87,0.36
191803,1.85,-1.66
191903,4.9,1.39
192003,3.86,0.35
192103,5.61,2.10
192203,6.96,3.45
192303,3.88,0.37
192403,3.48,-0.03
192503,3.44,-0.07
192603,3,-0.51
192703,4.54,1.03
192803,1.72,-1.79
192903,3.1,-0.41
193003,1.82,-1.69
193103,3.07,-0.44
193203,2.85,-0.66
193303,5.38,1.87
193403,2.95,-0.56
193503,4.98,1.47
193603,2.64,-0.87
193703,1.45,-2.06
193803,6.39,2.88
193903,3.96,0.45
194003,1.93,-1.58
194103,.92,-2.59
194203,3.89,0.38
194303,4.55,1.04
194403,4.17,0.66
194503,7.83,4.32
194603,3.12,-0.39
194703,2.13,-1.38
194803,4.84,1.33
194903,3.79,0.28
195003,3.41,-0.10
195103,3.56,0.05
195203,4.56,1.05
195303,4.4,0.89
195403,2.59,-0.92
195503,3.95,0.44
195603,2.49,-1.02
195703,1.71,-1.80
195803,1.55,-1.96
195903,2.7,-0.81
196003,1.41,-2.10
196103,5.1,1.59
196203,2.94,-0.57
196303,6.65,3.14
196403,7.26,3.75
196503,2.6,-0.91
196603,1.71,-1.80
196703,3.44,-0.07
196803,2.74,-0.77
196903,1.78,-1.73
197003,3.15,-0.36
197103,1.67,-1.84
197203,3.03,-0.48
197303,5.81,2.30
197403,4.07,0.56
197503,4.18,0.67
197603,3.73,0.22
197703,4.93,1.42
197803,3.13,-0.38
197903,3.27,-0.24
198003,4.23,0.72
198103,1.26,-2.25
198203,4.49,0.98
198303,2.57,-0.94
198403,3.64,0.13
198503,5.32,1.81
198603,2.7,-0.81
198703,2.25,-1.26
198803,3.07,-0.44
198903,4.35,0.84
199003,2.85,-0.66
199103,4.46,0.95
199203,3.15,-0.36
199303,2.8,-0.71
199403,1.38,-2.13
199503,2.57,-0.94
199603,2.58,-0.93
199703,4.81,1.30
199803,4.24,0.73
199903,2,-1.51
200003,2.2,-1.31
200103,.97,-2.54
200203,4.39,0.88
200303,2.16,-1.35
200403,3.46,-0.05
200503,2.12,-1.39
200603,5.14,1.63
200703,3.54,0.03
200803,6.48,2.97
200903,3.23,-0.28
201003,3.1,-0.41
201103,3.46,-0.05
201203,2.73,-0.78
201303,2.3,-1.21
201403,1.85,-1.66
201503,3.54,0.03
