Colorado, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.18,0.10
189612,.77,-0.31
189712,1.51,0.43
189812,1.19,0.11
189912,1.46,0.38
190012,.36,-0.72
190112,1.21,0.13
190212,1.49,0.41
190312,.37,-0.71
190412,.84,-0.24
190512,.29,-0.79
190612,.91,-0.17
190712,1.31,0.23
190812,1.66,0.58
190912,1.74,0.66
191012,1.02,-0.06
191112,.91,-0.17
191212,.61,-0.47
191312,2.53,1.45
191412,.88,-0.20
191512,1.38,0.30
191612,1.33,0.25
191712,.48,-0.60
191812,1.71,0.63
191912,.95,-0.13
192012,1.06,-0.02
192112,1.85,0.77
192212,1.44,0.36
192312,1.25,0.17
192412,2,0.92
192512,1.02,-0.06
192612,1.32,0.24
192712,1.05,-0.03
192812,.56,-0.52
192912,.29,-0.79
193012,.33,-0.75
193112,.73,-0.35
193212,1.14,0.06
193312,1.4,0.32
193412,.76,-0.32
193512,.48,-0.60
193612,1.19,0.11
193712,1.44,0.36
193812,1.19,0.11
193912,.62,-0.46
194012,1.31,0.23
194112,1.05,-0.03
194212,1.09,0.01
194312,1.01,-0.07
194412,.87,-0.21
194512,.89,-0.19
194612,.5,-0.58
194712,1.2,0.12
194812,1.57,0.49
194912,.72,-0.36
195012,.91,-0.17
195112,2.78,1.70
195212,.8,-0.28
195312,.9,-0.18
195412,.79,-0.29
195512,.87,-0.21
195612,1,-0.08
195712,.69,-0.39
195812,.81,-0.27
195912,.84,-0.24
196012,1.24,0.16
196112,.92,-0.16
196212,.66,-0.42
196312,.64,-0.44
196412,1.76,0.68
196512,1.52,0.44
196612,1.86,0.78
196712,2.14,1.06
196812,.96,-0.12
196912,1.02,-0.06
197012,.69,-0.39
197112,1.4,0.32
197212,1.67,0.59
197312,1.61,0.53
197412,1,-0.08
197512,.59,-0.49
197612,.18,-0.90
197712,.97,-0.11
197812,2.17,1.09
197912,.95,-0.13
198012,.4,-0.68
198112,1.33,0.25
198212,1.18,0.10
198312,2.45,1.37
198412,1.41,0.33
198512,.89,-0.19
198612,.59,-0.49
198712,1.36,0.28
198812,1.14,0.06
198912,.71,-0.37
199012,.95,-0.13
199112,.82,-0.26
199212,1.09,0.01
199312,.6,-0.48
199412,.69,-0.39
199512,.65,-0.43
199612,1.21,0.13
199712,.86,-0.22
199812,.63,-0.45
199912,.73,-0.35
200012,.82,-0.26
200112,.65,-0.43
200212,.64,-0.44
200312,.91,-0.17
200412,.77,-0.31
200512,1.01,-0.07
200612,1.51,0.43
200712,2.58,1.50
200812,1.83,0.75
200912,1.3,0.22
201012,1.65,0.57
201112,.91,-0.17
201212,1.31,0.23
201312,.82,-0.26
201412,1.31,0.23
201512,1.47,0.39
