Mississippi, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.5,-1.93
189609,1.71,-1.72
189709,.52,-2.91
189809,6.19,2.76
189909,.86,-2.57
190009,2.79,-0.64
190109,3.68,0.25
190209,4.94,1.51
190309,.54,-2.89
190409,1.68,-1.75
190509,2.94,-0.49
190609,9.05,5.62
190709,3.6,0.17
190809,2.91,-0.52
190909,4.15,0.72
191009,1.81,-1.62
191109,2.08,-1.35
191209,3.27,-0.16
191309,8.08,4.65
191409,4.42,0.99
191509,4.34,0.91
191609,1.79,-1.64
191709,2.77,-0.66
191809,3.49,0.06
191909,1.21,-2.22
192009,3.04,-0.39
192109,3.07,-0.36
192209,1.32,-2.11
192309,2.24,-1.19
192409,1.96,-1.47
192509,2.85,-0.58
192609,1.52,-1.91
192709,1.89,-1.54
192809,1.87,-1.56
192909,4.09,0.66
193009,4.78,1.35
193109,.78,-2.65
193209,6.53,3.10
193309,1.94,-1.49
193409,3.77,0.34
193509,2.78,-0.65
193609,2.06,-1.37
193709,2.79,-0.64
193809,1.56,-1.87
193909,3.06,-0.37
194009,2.35,-1.08
194109,2.68,-0.75
194209,3.6,0.17
194309,5.45,2.02
194409,3.34,-0.09
194509,3.51,0.08
194609,2.97,-0.46
194709,3.9,0.47
194809,4.99,1.56
194909,3.65,0.22
195009,3.87,0.44
195109,4.34,0.91
195209,2.23,-1.20
195309,.88,-2.55
195409,2.14,-1.29
195509,1.4,-2.03
195609,1.91,-1.52
195709,8.99,5.56
195809,8.25,4.82
195909,3.94,0.51
196009,2.85,-0.58
196109,3.15,-0.28
196209,2.72,-0.71
196309,1.69,-1.74
196409,3.86,0.43
196509,5.05,1.62
196609,3.94,0.51
196709,2.45,-0.98
196809,4.68,1.25
196909,2.44,-0.99
197009,2.34,-1.09
197109,5.56,2.13
197209,4.09,0.66
197309,4.67,1.24
197409,5.41,1.98
197509,4.14,0.71
197609,3.51,0.08
197709,6.83,3.40
197809,2.18,-1.25
197909,6.88,3.45
198009,4.06,0.63
198109,3.16,-0.27
198209,2.18,-1.25
198309,3.69,0.26
198409,.84,-2.59
198509,4.52,1.09
198609,2.56,-0.87
198709,2.09,-1.34
198809,6.48,3.05
198909,5.24,1.81
199009,2.41,-1.02
199109,4.03,0.60
199209,3.2,-0.23
199309,3.27,-0.16
199409,2.95,-0.48
199509,1.76,-1.67
199609,4.48,1.05
199709,2.58,-0.85
199809,4.77,1.34
199909,2.6,-0.83
200009,2.67,-0.76
200109,5.06,1.63
200209,9.69,6.26
200309,3.97,0.54
200409,1.6,-1.83
200509,3.28,-0.15
200609,3.85,0.42
200709,3.86,0.43
200809,5.95,2.52
200909,7.86,4.43
201009,.84,-2.59
201109,7.98,4.55
201209,4.18,0.75
201309,5.29,1.86
201409,2.54,-0.89
201509,1.57,-1.86
