New Hampshire, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.86,-0.94
189609,6.12,2.32
189709,2,-1.80
189809,3.98,0.18
189909,4.21,0.41
190009,3.06,-0.74
190109,3.13,-0.67
190209,4.72,0.92
190309,1.72,-2.08
190409,5.44,1.64
190509,6.46,2.66
190609,1.78,-2.02
190709,8.11,4.31
190809,.89,-2.91
190909,4.49,0.69
191009,3.72,-0.08
191109,3.89,0.09
191209,4.19,0.39
191309,2.69,-1.11
191409,1.28,-2.52
191509,2.01,-1.79
191609,5.17,1.37
191709,1.22,-2.58
191809,7.32,3.52
191909,4.3,0.50
192009,6.48,2.68
192109,2.33,-1.47
192209,2.43,-1.37
192309,2.65,-1.15
192409,6.95,3.15
192509,4.56,0.76
192609,2.87,-0.93
192709,2.37,-1.43
192809,3.63,-0.17
192909,2.57,-1.23
193009,1.66,-2.14
193109,4.37,0.57
193209,6.51,2.71
193309,4.42,0.62
193409,6.38,2.58
193509,5.34,1.54
193609,2.58,-1.22
193709,3.11,-0.69
193809,9.61,5.81
193909,3.06,-0.74
194009,4.3,0.50
194109,2.05,-1.75
194209,4.03,0.23
194309,1.99,-1.81
194409,6.38,2.58
194509,4.12,0.32
194609,4.09,0.29
194709,2.22,-1.58
194809,.95,-2.85
194909,4.6,0.80
195009,2.54,-1.26
195109,3.57,-0.23
195209,3.45,-0.35
195309,2.29,-1.51
195409,8.61,4.81
195509,1.78,-2.02
195609,5.01,1.21
195709,2.72,-1.08
195809,3.74,-0.06
195909,2.44,-1.36
196009,6.65,2.85
196109,3.06,-0.74
196209,3.33,-0.47
196309,2.47,-1.33
196409,1.12,-2.68
196509,4.17,0.37
196609,4.22,0.42
196709,3.02,-0.78
196809,2.85,-0.95
196909,3.07,-0.73
197009,4.22,0.42
197109,2.6,-1.20
197209,2.11,-1.69
197309,2.91,-0.89
197409,5.77,1.97
197509,5.78,1.98
197609,3.3,-0.50
197709,5.95,2.15
197809,1.43,-2.37
197909,3.78,-0.02
198009,3.88,0.08
198109,5.3,1.50
198209,2.76,-1.04
198309,1.97,-1.83
198409,1.54,-2.26
198509,4.74,0.94
198609,3.23,-0.57
198709,5.58,1.78
198809,2.16,-1.64
198909,4.39,0.59
199009,2.54,-1.26
199109,5.43,1.63
199209,3.66,-0.14
199309,4.68,0.88
199409,4.87,1.07
199509,2.78,-1.02
199609,3.81,0.01
199709,2.43,-1.37
199809,2.78,-1.02
199909,9.68,5.88
200009,3.08,-0.72
200109,4.28,0.48
200209,3.84,0.04
200309,5.34,1.54
200409,4.55,0.75
200509,3.47,-0.33
200609,2.51,-1.29
200709,3.37,-0.43
200809,6.51,2.71
200909,1.63,-2.17
201009,2.94,-0.86
201109,6.03,2.23
201209,5.06,1.26
201309,5.07,1.27
201409,1.63,-2.17
201509,5.4,1.60
