Maine, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,3.97,0.62
189604,1.65,-1.70
189704,2.65,-0.70
189804,3.46,0.11
189904,.96,-2.39
190004,1.91,-1.44
190104,5.55,2.20
190204,2.9,-0.45
190304,2.1,-1.25
190404,4.06,0.71
190504,1.69,-1.66
190604,2.99,-0.36
190704,3.95,0.60
190804,2.45,-0.90
190904,4.14,0.79
191004,4.02,0.67
191104,1.19,-2.16
191204,2.87,-0.48
191304,2.21,-1.14
191404,4.13,0.78
191504,3.05,-0.30
191604,3.11,-0.24
191704,2.87,-0.48
191804,2.2,-1.15
191904,3.08,-0.27
192004,6.34,2.99
192104,3.11,-0.24
192204,2.83,-0.52
192304,5.98,2.63
192404,4.72,1.37
192504,1.58,-1.77
192604,2.84,-0.51
192704,1.35,-2.00
192804,4,0.65
192904,4.73,1.38
193004,1.66,-1.69
193104,2.63,-0.72
193204,3.23,-0.12
193304,4.96,1.61
193404,4.81,1.46
193504,3.18,-0.17
193604,4.18,0.83
193704,2.6,-0.75
193804,2.82,-0.53
193904,3.95,0.60
194004,5.83,2.48
194104,1.01,-2.34
194204,2.55,-0.80
194304,3.09,-0.26
194404,2.37,-0.98
194504,4.79,1.44
194604,3.3,-0.05
194704,2.53,-0.82
194804,2.75,-0.60
194904,2.7,-0.65
195004,3.24,-0.11
195104,5.55,2.20
195204,2.7,-0.65
195304,4.44,1.09
195404,4.19,0.84
195504,2.05,-1.30
195604,3.26,-0.09
195704,2.44,-0.91
195804,4.11,0.76
195904,2.44,-0.91
196004,3.23,-0.12
196104,4.68,1.33
196204,4.18,0.83
196304,2.67,-0.68
196404,2.95,-0.40
196504,2.31,-1.04
196604,.83,-2.52
196704,2.07,-1.28
196804,2.84,-0.51
196904,3.05,-0.30
197004,3.79,0.44
197104,1.92,-1.43
197204,2.39,-0.96
197304,5.79,2.44
197404,4.88,1.53
197504,2.59,-0.76
197604,3.83,0.48
197704,2.72,-0.63
197804,3.11,-0.24
197904,4.79,1.44
198004,4.24,0.89
198104,3.31,-0.04
198204,3.66,0.31
198304,7.36,4.01
198404,2.96,-0.39
198504,1.54,-1.81
198604,2.73,-0.62
198704,4.02,0.67
198804,3.26,-0.09
198904,3.09,-0.26
199004,3.56,0.21
199104,3.69,0.34
199204,2.15,-1.20
199304,5.48,2.13
199404,4.08,0.73
199504,2.24,-1.11
199604,4.94,1.59
199704,2.82,-0.53
199804,3.09,-0.26
199904,.87,-2.48
200004,5.74,2.39
200104,1,-2.35
200204,4.42,1.07
200304,1.92,-1.43
200404,3.41,0.06
200504,7.3,3.95
200604,2.35,-1.00
200704,6.48,3.13
200804,4.24,0.89
200904,3.97,0.62
201004,2.82,-0.53
201104,4.75,1.40
201204,4.14,0.79
201304,1.98,-1.37
201404,3.44,0.09
201504,3.08,-0.27
