Texas, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.9,0.30
189602,2.06,0.46
189702,.44,-1.16
189802,1.28,-0.32
189902,.53,-1.07
190002,1,-0.60
190102,1.43,-0.17
190202,.76,-0.84
190302,4.08,2.48
190402,1.04,-0.56
190502,2.09,0.49
190602,1.38,-0.22
190702,.85,-0.75
190802,1.84,0.24
190902,.71,-0.89
191002,1.02,-0.58
191102,2.72,1.12
191202,1.79,0.19
191302,1.73,0.13
191402,1.19,-0.41
191502,1.74,0.14
191602,.08,-1.52
191702,.75,-0.85
191802,.81,-0.79
191902,1.52,-0.08
192002,.63,-0.97
192102,1.36,-0.24
192202,1.29,-0.31
192302,3.65,2.05
192402,1.95,0.35
192502,.35,-1.25
192602,.25,-1.35
192702,1.69,0.09
192802,2.11,0.51
192902,1.18,-0.42
193002,1.18,-0.42
193102,2.61,1.01
193202,2.91,1.31
193302,1.78,0.18
193402,1.3,-0.30
193502,1.92,0.32
193602,.57,-1.03
193702,.51,-1.09
193802,1.89,0.29
193902,1.54,-0.06
194002,2.01,0.41
194102,2.5,0.90
194202,.99,-0.61
194302,.37,-1.23
194402,2.35,0.75
194502,2.21,0.61
194602,1.72,0.12
194702,.44,-1.16
194802,2.18,0.58
194902,2.3,0.70
195002,2.02,0.42
195102,1.3,-0.30
195202,1.56,-0.04
195302,1.27,-0.33
195402,.29,-1.31
195502,1.77,0.17
195602,1.55,-0.05
195702,2.07,0.47
195802,2.27,0.67
195902,2.13,0.53
196002,1.83,0.23
196102,2.14,0.54
196202,.73,-0.87
196302,1.16,-0.44
196402,1.53,-0.07
196502,2.88,1.28
196602,1.88,0.28
196702,.81,-0.79
196802,1.64,0.04
196902,2.27,0.67
197002,2.19,0.59
197102,1.15,-0.45
197202,.52,-1.08
197302,2.23,0.63
197402,.53,-1.07
197502,2.09,0.49
197602,.44,-1.16
197702,1.3,-0.30
197802,1.74,0.14
197902,1.76,0.16
198002,1.04,-0.56
198102,1.1,-0.50
198202,1.69,0.09
198302,2.3,0.70
198402,1.26,-0.34
198502,1.98,0.38
198602,1.59,-0.01
198702,3.16,1.56
198802,.86,-0.74
198902,1.9,0.30
199002,2.53,0.93
199102,1.65,0.05
199202,3.98,2.38
199302,1.91,0.31
199402,1.51,-0.09
199502,1.02,-0.58
199602,.25,-1.35
199702,3.79,2.19
199802,2.64,1.04
199902,.23,-1.37
200002,1.01,-0.59
200102,2.03,0.43
200202,1.05,-0.55
200302,2.4,0.80
200402,2.81,1.21
200502,2.51,0.91
200602,1.14,-0.46
200702,.48,-1.12
200802,1.1,-0.50
200902,.62,-0.98
201002,2.59,0.99
201102,.65,-0.95
201202,2.29,0.69
201302,1.21,-0.39
201402,.73,-0.87
201502,1.1,-0.50
