Washington, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,3.29,1.04
189605,3.46,1.21
189705,1.8,-0.45
189805,2,-0.25
189905,2.85,0.60
190005,3.26,1.01
190105,2.34,0.09
190205,2.94,0.69
190305,1.95,-0.30
190405,.79,-1.46
190505,3.41,1.16
190605,3.83,1.58
190705,1.66,-0.59
190805,2.8,0.55
190905,2.13,-0.12
191005,1.87,-0.38
191105,4.07,1.82
191205,2.57,0.32
191305,2.42,0.17
191405,1.4,-0.85
191505,3.97,1.72
191605,2.32,0.07
191705,1.69,-0.56
191805,1.89,-0.36
191905,2.25,0.00
192005,1.56,-0.69
192105,1.79,-0.46
192205,1.55,-0.70
192305,2.23,-0.02
192405,.37,-1.88
192505,1.84,-0.41
192605,2.67,0.42
192705,2.99,0.74
192805,.9,-1.35
192905,1.64,-0.61
193005,2.27,0.02
193105,1.16,-1.09
193205,1.6,-0.65
193305,3.08,0.83
193405,2.13,-0.12
193505,.64,-1.61
193605,2.9,0.65
193705,1.39,-0.86
193805,1.15,-1.10
193905,1.72,-0.53
194005,1.79,-0.46
194105,4.22,1.97
194205,3.44,1.19
194305,1.98,-0.27
194405,1.89,-0.36
194505,3.23,0.98
194605,1.16,-1.09
194705,.66,-1.59
194805,5.95,3.70
194905,1.45,-0.80
195005,1.29,-0.96
195105,2.11,-0.14
195205,1.44,-0.81
195305,2.96,0.71
195405,1.54,-0.71
195505,1.87,-0.38
195605,1.29,-0.96
195705,2.69,0.44
195805,1.12,-1.13
195905,2.44,0.19
196005,4.2,1.95
196105,3.02,0.77
196205,2.95,0.70
196305,1.78,-0.47
196405,1.4,-0.85
196505,1.94,-0.31
196605,1.38,-0.87
196705,1.34,-0.91
196805,1.96,-0.29
196905,2.14,-0.11
197005,1.18,-1.07
197105,2.04,-0.21
197205,2.03,-0.22
197305,2.08,-0.17
197405,2.7,0.45
197505,2.11,-0.14
197605,2.01,-0.24
197705,3.31,1.06
197805,2.78,0.53
197905,1.68,-0.57
198005,2.61,0.36
198105,2.89,0.64
198205,1.05,-1.20
198305,1.76,-0.49
198405,4.31,2.06
198505,1.58,-0.67
198605,2.68,0.43
198705,2.73,0.48
198805,3.08,0.83
198905,2.74,0.49
199005,3.3,1.05
199105,2.85,0.60
199205,.61,-1.64
199305,3.04,0.79
199405,2.06,-0.19
199505,1.53,-0.72
199605,3.5,1.25
199705,2.75,0.50
199805,3.66,1.41
199905,2.5,0.25
200005,3.06,0.81
200105,1.92,-0.33
200205,2,-0.25
200305,1.48,-0.77
200405,3.06,0.81
200505,3.64,1.39
200605,2.37,0.12
200705,1.42,-0.83
200805,1.58,-0.67
200905,3.12,0.87
201005,4.28,2.03
201105,4.09,1.84
201205,2.31,0.06
201305,3.01,0.76
201405,2.44,0.19
201505,1.5,-0.75
