Illinois, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,5.02,2.69
189612,.55,-1.78
189712,2.42,0.09
189812,1.46,-0.87
189912,2.28,-0.05
190012,.88,-1.45
190112,2.81,0.48
190212,3.11,0.78
190312,1.8,-0.53
190412,1.88,-0.45
190512,1.96,-0.37
190612,3.01,0.68
190712,2.52,0.19
190812,1.16,-1.17
190912,3.03,0.70
191012,1.35,-0.98
191112,2.13,-0.20
191212,.86,-1.47
191312,1.05,-1.28
191412,2.36,0.03
191512,2.75,0.42
191612,2.36,0.03
191712,.85,-1.48
191812,3.42,1.09
191912,.72,-1.61
192012,2.79,0.46
192112,2.88,0.55
192212,2.49,0.16
192312,3.56,1.23
192412,3.51,1.18
192512,1.36,-0.97
192612,1.39,-0.94
192712,2.98,0.65
192812,2.31,-0.02
192912,2.24,-0.09
193012,.67,-1.66
193112,2.9,0.57
193212,3.79,1.46
193312,1.4,-0.93
193412,1.71,-0.62
193512,1.2,-1.13
193612,2.9,0.57
193712,2.1,-0.23
193812,1.69,-0.64
193912,1.11,-1.22
194012,2.06,-0.27
194112,1.6,-0.73
194212,2.78,0.45
194312,1.23,-1.10
194412,1.62,-0.71
194512,2.02,-0.31
194612,2.21,-0.12
194712,2.07,-0.26
194812,2.64,0.31
194912,4.62,2.29
195012,1.4,-0.93
195112,2.37,0.04
195212,2.07,-0.26
195312,1.72,-0.61
195412,2.59,0.26
195512,.45,-1.88
195612,2.42,0.09
195712,4.15,1.82
195812,.5,-1.83
195912,2.7,0.37
196012,1.54,-0.79
196112,2.35,0.02
196212,1.06,-1.27
196312,.87,-1.46
196412,1.74,-0.59
196512,2.88,0.55
196612,3.66,1.33
196712,4.84,2.51
196812,3.02,0.69
196912,1.81,-0.52
197012,1.43,-0.90
197112,5.51,3.18
197212,3.41,1.08
197312,3.99,1.66
197412,2.15,-0.18
197512,2.51,0.18
197612,.44,-1.89
197712,2.65,0.32
197812,3.17,0.84
197912,2.13,-0.20
198012,1.74,-0.59
198112,1.76,-0.57
198212,7.17,4.84
198312,3.46,1.13
198412,3.68,1.35
198512,2.31,-0.02
198612,1.65,-0.68
198712,5.11,2.78
198812,2.33,0.00
198912,.85,-1.48
199012,5.3,2.97
199112,2.09,-0.24
199212,2.68,0.35
199312,1.53,-0.80
199412,1.92,-0.41
199512,1.41,-0.92
199612,1.7,-0.63
199712,1.91,-0.42
199812,1.56,-0.77
199912,2.75,0.42
200012,1.94,-0.39
200112,2.6,0.27
200212,2.17,-0.16
200312,2.56,0.23
200412,1.8,-0.53
200512,1.16,-1.17
200612,3.4,1.07
200712,3.87,1.54
200812,4.25,1.92
200912,3.98,1.65
201012,1.77,-0.56
201112,3.35,1.02
201212,2.25,-0.08
201312,2.48,0.15
201412,1.9,-0.43
201512,6.66,4.33
