Utah, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.16,0.01
189605,1.18,0.03
189705,.59,-0.56
189805,2.97,1.82
189905,.68,-0.47
190005,.36,-0.79
190105,1.21,0.06
190205,.63,-0.52
190305,1.56,0.41
190405,1.75,0.60
190505,1.8,0.65
190605,1.93,0.78
190705,1.86,0.71
190805,1.95,0.80
190905,.66,-0.49
191005,.33,-0.82
191105,.4,-0.75
191205,.78,-0.37
191305,.4,-0.75
191405,.79,-0.36
191505,2,0.85
191605,.45,-0.70
191705,2.66,1.51
191805,.75,-0.40
191905,.85,-0.30
192005,1.23,0.08
192105,1.8,0.65
192205,1.18,0.03
192305,1.14,-0.01
192405,.85,-0.30
192505,.61,-0.54
192605,1.27,0.12
192705,.51,-0.64
192805,1.59,0.44
192905,.61,-0.54
193005,1.49,0.34
193105,.74,-0.41
193205,.71,-0.44
193305,1.58,0.43
193405,.65,-0.50
193505,1.85,0.70
193605,.49,-0.66
193705,1.08,-0.07
193805,1.62,0.47
193905,.68,-0.47
194005,.22,-0.93
194105,1.22,0.07
194205,.65,-0.50
194305,.61,-0.54
194405,.9,-0.25
194505,.85,-0.30
194605,1.31,0.16
194705,1.51,0.36
194805,.22,-0.93
194905,1.8,0.65
195005,.9,-0.25
195105,1.31,0.16
195205,.77,-0.38
195305,.86,-0.29
195405,.92,-0.23
195505,.69,-0.46
195605,1.06,-0.09
195705,2.77,1.62
195805,.75,-0.40
195905,.82,-0.33
196005,.56,-0.59
196105,.66,-0.49
196205,1.2,0.05
196305,.28,-0.87
196405,1.5,0.35
196505,1.75,0.60
196605,.83,-0.32
196705,1.8,0.65
196805,1.17,0.02
196905,.52,-0.63
197005,.4,-0.75
197105,1.42,0.27
197205,.19,-0.96
197305,1.09,-0.06
197405,.15,-1.00
197505,1.81,0.66
197605,1.12,-0.03
197705,2.12,0.97
197805,1.04,-0.11
197905,1.38,0.23
198005,2.46,1.31
198105,2.2,1.05
198205,1.06,-0.09
198305,1.58,0.43
198405,.54,-0.61
198505,1.29,0.14
198605,1.13,-0.02
198705,1.83,0.68
198805,1.15,0.00
198905,.86,-0.29
199005,.79,-0.36
199105,1.66,0.51
199205,1.72,0.57
199305,1.57,0.42
199405,.79,-0.36
199505,3.06,1.91
199605,1.36,0.21
199705,1.11,-0.04
199805,1.19,0.04
199905,1.31,0.16
200005,.93,-0.22
200105,.65,-0.50
200205,.38,-0.77
200305,1.08,-0.07
200405,.63,-0.52
200505,1.74,0.59
200605,.42,-0.73
200705,.68,-0.47
200805,1.07,-0.08
200905,1.23,0.08
201005,1.24,0.09
201105,2.81,1.66
201205,.28,-0.87
201305,.97,-0.18
201405,1.02,-0.13
201505,3.2,2.05
