California, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.53,-1.08
189612,3.73,0.12
189712,2.42,-1.19
189812,1.39,-2.22
189912,3.57,-0.04
190012,1.78,-1.83
190112,1.67,-1.94
190212,3.23,-0.38
190312,1.5,-2.11
190412,3.3,-0.31
190512,1.48,-2.13
190612,7.24,3.63
190712,4.72,1.11
190812,1.94,-1.67
190912,5.53,1.92
191012,1.78,-1.83
191112,1.81,-1.80
191212,1.43,-2.18
191312,5.44,1.83
191412,4,0.39
191512,4.39,0.78
191612,4.29,0.68
191712,1.19,-2.42
191812,2.09,-1.52
191912,3.28,-0.33
192012,4.92,1.31
192112,6.58,2.97
192212,5.96,2.35
192312,1.57,-2.04
192412,3.72,0.11
192512,1.7,-1.91
192612,2.67,-0.94
192712,2.91,-0.70
192812,3.24,-0.37
192912,4.38,0.77
193012,.55,-3.06
193112,7.65,4.04
193212,2.7,-0.91
193312,5.39,1.78
193412,2.97,-0.64
193512,2.69,-0.92
193612,4.53,0.92
193712,5.26,1.65
193812,2.73,-0.88
193912,3.01,-0.60
194012,8.41,4.80
194112,7.92,4.31
194212,3.62,0.01
194312,2.98,-0.63
194412,2.63,-0.98
194512,6.87,3.26
194612,2.77,-0.84
194712,1.44,-2.17
194812,3.72,0.11
194912,1.9,-1.71
195012,4.21,0.60
195112,7.23,3.62
195212,7.22,3.61
195312,1.15,-2.46
195412,3.67,0.06
195512,10.68,7.07
195612,.87,-2.74
195712,4.01,0.40
195812,1.16,-2.45
195912,1.71,-1.90
196012,2.13,-1.48
196112,2.48,-1.13
196212,2.19,-1.42
196312,.7,-2.91
196412,8.47,4.86
196512,4.03,0.42
196612,5.74,2.13
196712,2.82,-0.79
196812,5.13,1.52
196912,5.18,1.57
197012,5.67,2.06
197112,5.01,1.40
197212,2.97,-0.64
197312,4.06,0.45
197412,3.37,-0.24
197512,1.03,-2.58
197612,.55,-3.06
197712,5.91,2.30
197812,1.53,-2.08
197912,3.14,-0.47
198012,2.62,-0.99
198112,4.62,1.01
198212,4.92,1.31
198312,6.95,3.34
198412,2.87,-0.74
198512,2.09,-1.52
198612,1.49,-2.12
198712,5.04,1.43
198812,3.06,-0.55
198912,.12,-3.49
199012,.91,-2.70
199112,2.5,-1.11
199212,6.48,2.87
199312,2.52,-1.09
199412,2.81,-0.80
199512,5.78,2.17
199612,8.96,5.35
199712,2.96,-0.65
199812,1.65,-1.96
199912,.65,-2.96
200012,.77,-2.84
200112,5.25,1.64
200212,8.14,4.53
200312,5.77,2.16
200412,5.51,1.90
200512,7.81,4.20
200612,3.13,-0.48
200712,3.21,-0.40
200812,3.05,-0.56
200912,3.15,-0.46
201012,8.13,4.52
201112,.47,-3.14
201212,6.15,2.54
201312,.44,-3.17
201412,6.3,2.69
201512,4.69,1.08
