Virginia, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,5.38,2.03
189601,1.96,-1.39
189701,1.96,-1.39
189801,3.18,-0.17
189901,3.31,-0.04
190001,2.94,-0.41
190101,2.9,-0.45
190201,2.95,-0.40
190301,3.79,0.44
190401,2.26,-1.09
190501,2.86,-0.49
190601,3.72,0.37
190701,1.78,-1.57
190801,3.93,0.58
190901,2.36,-0.99
191001,3.71,0.36
191101,4.25,0.90
191201,2.56,-0.79
191301,3.23,-0.12
191401,3.4,0.05
191501,5.12,1.77
191601,2.13,-1.22
191701,3.33,-0.02
191801,5.14,1.79
191901,4.08,0.73
192001,2.7,-0.65
192101,3.36,0.01
192201,4.03,0.68
192301,3.68,0.33
192401,3.95,0.60
192501,4.81,1.46
192601,3.8,0.45
192701,1.33,-2.02
192801,2.07,-1.28
192901,2.41,-0.94
193001,2.62,-0.73
193101,1.54,-1.81
193201,4.64,1.29
193301,3.46,0.11
193401,1.6,-1.75
193501,4.69,1.34
193601,6.64,3.29
193701,8.3,4.95
193801,2.72,-0.63
193901,3.2,-0.15
194001,2.56,-0.79
194101,2.18,-1.17
194201,2.56,-0.79
194301,2.93,-0.42
194401,2.64,-0.71
194501,2.46,-0.89
194601,3.01,-0.34
194701,5.19,1.84
194801,3.44,0.09
194901,3.63,0.28
195001,2.94,-0.41
195101,1.72,-1.63
195201,4.77,1.42
195301,3.41,0.06
195401,4.4,1.05
195501,1.24,-2.11
195601,1.62,-1.73
195701,3.77,0.42
195801,3.42,0.07
195901,2.05,-1.30
196001,2.45,-0.90
196101,2.52,-0.83
196201,3.98,0.63
196301,1.87,-1.48
196401,4.02,0.67
196501,2.91,-0.44
196601,3.99,0.64
196701,1.9,-1.45
196801,2.96,-0.39
196901,2.29,-1.06
197001,1.59,-1.76
197101,2.81,-0.54
197201,3.02,-0.33
197301,2.6,-0.75
197401,4.22,0.87
197501,4.12,0.77
197601,4.04,0.69
197701,1.96,-1.39
197801,6.94,3.59
197901,6.18,2.83
198001,4.16,0.81
198101,.59,-2.76
198201,3.93,0.58
198301,1.6,-1.75
198401,2.49,-0.86
198501,2.95,-0.40
198601,1.75,-1.60
198701,5.08,1.73
198801,2.53,-0.82
198901,2.1,-1.25
199001,3.47,0.12
199101,3.72,0.37
199201,2.65,-0.70
199301,3.77,0.42
199401,4.2,0.85
199501,5.05,1.70
199601,5.93,2.58
199701,2.66,-0.69
199801,6.89,3.54
199901,4.99,1.64
200001,3.25,-0.10
200101,2.26,-1.09
200201,2.99,-0.36
200301,2.19,-1.16
200401,1.95,-1.40
200501,3.09,-0.26
200601,3.1,-0.25
200701,3.19,-0.16
200801,1.42,-1.93
200901,2.92,-0.43
201001,4.18,0.83
201101,1.58,-1.77
201201,2.26,-1.09
201301,5.95,2.60
201401,2.69,-0.66
201501,2.59,-0.76
