Michigan, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.17,-1.43
189604,3.02,0.42
189704,3.14,0.54
189804,1.61,-0.99
189904,1.57,-1.03
190004,1.8,-0.80
190104,1.27,-1.33
190204,1.64,-0.96
190304,2.77,0.17
190404,2.05,-0.55
190504,1.86,-0.74
190604,1.63,-0.97
190704,2.52,-0.08
190804,2.37,-0.23
190904,4.81,2.21
191004,2.86,0.26
191104,1.94,-0.66
191204,2.19,-0.41
191304,2.4,-0.20
191404,2.74,0.14
191504,1.12,-1.48
191604,2.32,-0.28
191704,2.54,-0.06
191804,1.85,-0.75
191904,3.28,0.68
192004,2.84,0.24
192104,3.59,0.99
192204,3.34,0.74
192304,1.74,-0.86
192404,2.31,-0.29
192504,1.8,-0.80
192604,1.91,-0.69
192704,2.24,-0.36
192804,2.96,0.36
192904,5.28,2.68
193004,1.7,-0.90
193104,1.41,-1.19
193204,1.62,-0.98
193304,3.16,0.56
193404,2.03,-0.57
193504,1.36,-1.24
193604,1.96,-0.64
193704,3.61,1.01
193804,1.75,-0.85
193904,2.88,0.28
194004,2.01,-0.59
194104,2.11,-0.49
194204,1.28,-1.32
194304,2.32,-0.28
194404,2.14,-0.46
194504,3.47,0.87
194604,.87,-1.73
194704,4.65,2.05
194804,2.94,0.34
194904,1.58,-1.02
195004,3.94,1.34
195104,3.44,0.84
195204,2.34,-0.26
195304,3.05,0.45
195404,4.17,1.57
195504,2.26,-0.34
195604,3.25,0.65
195704,3.26,0.66
195804,1.78,-0.82
195904,3.42,0.82
196004,3.53,0.93
196104,2.98,0.38
196204,1.78,-0.82
196304,2.18,-0.42
196404,3.33,0.73
196504,2.65,0.05
196604,2.75,0.15
196704,4.17,1.57
196804,2.56,-0.04
196904,3.34,0.74
197004,2.34,-0.26
197104,1.26,-1.34
197204,2.44,-0.16
197304,2.53,-0.07
197404,3.09,0.49
197504,2.8,0.20
197604,2.56,-0.04
197704,2.74,0.14
197804,2.02,-0.58
197904,3.04,0.44
198004,3.26,0.66
198104,4.22,1.62
198204,2.23,-0.37
198304,3.05,0.45
198404,2.49,-0.11
198504,3.13,0.53
198604,2.08,-0.52
198704,1.75,-0.85
198804,2.48,-0.12
198904,1.6,-1.00
199004,2.01,-0.59
199104,3.91,1.31
199204,3.07,0.47
199304,3.84,1.24
199404,2.96,0.36
199504,3.14,0.54
199604,3.45,0.85
199704,1.14,-1.46
199804,2.27,-0.33
199904,3.29,0.69
200004,2.41,-0.19
200104,3.12,0.52
200204,3.57,0.97
200304,2.79,0.19
200404,2.06,-0.54
200504,1.36,-1.24
200604,2.1,-0.50
200704,3,0.40
200804,3.32,0.72
200904,3.94,1.34
201004,2.09,-0.51
201104,5.44,2.84
201204,1.89,-0.71
201304,5.72,3.12
201404,3.82,1.22
201504,2.46,-0.14
