Colorado, Precipitation, August
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189508,1.7,-0.33
189608,1.41,-0.62
189708,2.33,0.30
189808,1.45,-0.58
189908,1.74,-0.29
190008,.73,-1.30
190108,2.51,0.48
190208,2.06,0.03
190308,1.53,-0.50
190408,2.37,0.34
190508,1.28,-0.75
190608,1.77,-0.26
190708,2.25,0.22
190808,2.5,0.47
190908,2.8,0.77
191008,1.86,-0.17
191108,1.74,-0.29
191208,2.03,0.00
191308,1.2,-0.83
191408,2.05,0.02
191508,2.5,0.47
191608,3.18,1.15
191708,1.82,-0.21
191808,1.63,-0.40
191908,1.41,-0.62
192008,2.32,0.29
192108,3.03,1.00
192208,1.89,-0.14
192308,3.4,1.37
192408,.7,-1.33
192508,2.59,0.56
192608,1.34,-0.69
192708,2.63,0.60
192808,1.41,-0.62
192908,2.9,0.87
193008,2.94,0.91
193108,1.41,-0.62
193208,1.99,-0.04
193308,2.5,0.47
193408,1.65,-0.38
193508,1.72,-0.31
193608,2.62,0.59
193708,1.53,-0.50
193808,1.61,-0.42
193908,1.11,-0.92
194008,1.5,-0.53
194108,2.2,0.17
194208,1.62,-0.41
194308,2.64,0.61
194408,.85,-1.18
194508,3.19,1.16
194608,2.62,0.59
194708,2.44,0.41
194808,1.82,-0.21
194908,1.43,-0.60
195008,1.18,-0.85
195108,2.35,0.32
195208,2.29,0.26
195308,2.08,0.05
195408,1.7,-0.33
195508,2.67,0.64
195608,1.52,-0.51
195708,2.65,0.62
195808,1.52,-0.51
195908,2.16,0.13
196008,.66,-1.37
196108,2.38,0.35
196208,.75,-1.28
196308,3.41,1.38
196408,1.81,-0.22
196508,2.42,0.39
196608,1.96,-0.07
196708,2.2,0.17
196808,2.52,0.49
196908,1.96,-0.07
197008,1.79,-0.24
197108,1.63,-0.40
197208,1.86,-0.17
197308,1.14,-0.89
197408,1.01,-1.02
197508,1.21,-0.82
197608,1.79,-0.24
197708,2.35,0.32
197808,1.37,-0.66
197908,2.34,0.31
198008,1.51,-0.52
198108,2.24,0.21
198208,2.31,0.28
198308,1.99,-0.04
198408,2.74,0.71
198508,.85,-1.18
198608,2.13,0.10
198708,2.41,0.38
198808,1.72,-0.31
198908,1.94,-0.09
199008,1.76,-0.27
199108,2.44,0.41
199208,2.89,0.86
199308,2.84,0.81
199408,2.28,0.25
199508,1.45,-0.58
199608,1.9,-0.13
199708,3.45,1.42
199808,1.85,-0.18
199908,3.27,1.24
200008,2.01,-0.02
200108,1.97,-0.06
200208,1.49,-0.54
200308,1.85,-0.18
200408,1.85,-0.18
200508,2.23,0.20
200608,2.66,0.63
200708,2.41,0.38
200808,3.14,1.11
200908,1.18,-0.85
201008,2.34,0.31
201108,1.6,-0.43
201208,1.07,-0.96
201308,2.24,0.21
201408,2.59,0.56
201508,1.67,-0.36
