Delaware, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.72,0.08
189606,5.17,1.53
189706,2.93,-0.71
189806,2.37,-1.27
189906,2.29,-1.35
190006,4.48,0.84
190106,2.24,-1.40
190206,7.01,3.37
190306,3.92,0.28
190406,3.49,-0.15
190506,3.61,-0.03
190606,6.12,2.48
190706,5.36,1.72
190806,2.16,-1.48
190906,5.1,1.46
191006,6.43,2.79
191106,3.64,0.00
191206,2.44,-1.20
191306,2.96,-0.68
191406,3.3,-0.34
191506,4.63,0.99
191606,4.08,0.44
191706,5.04,1.40
191806,2.23,-1.41
191906,2.39,-1.25
192006,5.83,2.19
192106,1.88,-1.76
192206,5.11,1.47
192306,3.15,-0.49
192406,4.88,1.24
192506,1.81,-1.83
192606,2.73,-0.91
192706,3.54,-0.10
192806,5.14,1.50
192906,3.9,0.26
193006,2.8,-0.84
193106,3.66,0.02
193206,4.1,0.46
193306,2.7,-0.94
193406,2.39,-1.25
193506,5.39,1.75
193606,3.75,0.11
193706,5.2,1.56
193806,4.93,1.29
193906,3.37,-0.27
194006,1.77,-1.87
194106,4.55,0.91
194206,3.06,-0.58
194306,3.16,-0.48
194406,2.61,-1.03
194506,5.11,1.47
194606,4.14,0.50
194706,3.29,-0.35
194806,5.15,1.51
194906,.93,-2.71
195006,2.83,-0.81
195106,5.12,1.48
195206,2.9,-0.74
195306,2.96,-0.68
195406,1.05,-2.59
195506,6.12,2.48
195606,4.02,0.38
195706,3.55,-0.09
195806,4.39,0.75
195906,2.64,-1.00
196006,2.1,-1.54
196106,4.19,0.55
196206,3.99,0.35
196306,4.11,0.47
196406,1.35,-2.29
196506,2.45,-1.19
196606,3.03,-0.61
196706,3.48,-0.16
196806,3.6,-0.04
196906,3.09,-0.55
197006,5.62,1.98
197106,1.8,-1.84
197206,8.39,4.75
197306,3.75,0.11
197406,4.26,0.62
197506,4.67,1.03
197606,1.79,-1.85
197706,3.43,-0.21
197806,2.49,-1.15
197906,4.73,1.09
198006,3.73,0.09
198106,3.94,0.30
198206,4.68,1.04
198306,4.56,0.92
198406,2.96,-0.68
198506,2.81,-0.83
198606,2.33,-1.31
198706,2.03,-1.61
198806,.88,-2.76
198906,6.65,3.01
199006,1.98,-1.66
199106,3.4,-0.24
199206,2.77,-0.87
199306,2.62,-1.02
199406,2.55,-1.09
199506,2.57,-1.07
199606,5.88,2.24
199706,2.66,-0.98
199806,3.58,-0.06
199906,2.11,-1.53
200006,4.91,1.27
200106,5.1,1.46
200206,2.93,-0.71
200306,6.42,2.78
200406,3.45,-0.19
200506,4.3,0.66
200606,9.64,6.00
200706,3.2,-0.44
200806,3.4,-0.24
200906,5.6,1.96
201006,2.13,-1.51
201106,1.86,-1.78
201206,2.99,-0.65
201306,9.57,5.93
201406,2.6,-1.04
201506,9.03,5.39
