Montana, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.2,-0.26
189609,2.3,0.84
189709,1.12,-0.34
189809,1.06,-0.40
189909,.86,-0.60
190009,1.88,0.42
190109,2.18,0.72
190209,.57,-0.89
190309,1.53,0.07
190409,.28,-1.18
190509,1.04,-0.42
190609,1.13,-0.33
190709,1.18,-0.28
190809,1.76,0.30
190909,2.14,0.68
191009,2.33,0.87
191109,2.81,1.35
191209,1.9,0.44
191309,1.25,-0.21
191409,1.57,0.11
191509,2.35,0.89
191609,1.7,0.24
191709,1.72,0.26
191809,1.73,0.27
191909,1.02,-0.44
192009,.96,-0.50
192109,1.36,-0.10
192209,.63,-0.83
192309,1.71,0.25
192409,.99,-0.47
192509,2.79,1.33
192609,2.59,1.13
192709,1.87,0.41
192809,.44,-1.02
192909,1.54,0.08
193009,1.75,0.29
193109,1.93,0.47
193209,.37,-1.09
193309,.88,-0.58
193409,1.3,-0.16
193509,.31,-1.15
193609,1,-0.46
193709,1.66,0.20
193809,1.03,-0.43
193909,1.03,-0.43
194009,2.06,0.60
194109,3.4,1.94
194209,1.32,-0.14
194309,.42,-1.04
194409,1.19,-0.27
194509,1.99,0.53
194609,2.66,1.20
194709,2.03,0.57
194809,.55,-0.91
194909,1.22,-0.24
195009,1.77,0.31
195109,1.69,0.23
195209,.62,-0.84
195309,.69,-0.77
195409,1.72,0.26
195509,.78,-0.68
195609,.66,-0.80
195709,1.08,-0.38
195809,.83,-0.63
195909,2.42,0.96
196009,.41,-1.05
196109,2.8,1.34
196209,.93,-0.53
196309,1.53,0.07
196409,.68,-0.78
196509,2.38,0.92
196609,.82,-0.64
196709,1.89,0.43
196809,2.33,0.87
196909,.75,-0.71
197009,1.68,0.22
197109,1.37,-0.09
197209,1.26,-0.20
197309,2.27,0.81
197409,.81,-0.65
197509,.69,-0.77
197609,1.16,-0.30
197709,2.43,0.97
197809,3.21,1.75
197909,.37,-1.09
198009,1.5,0.04
198109,.75,-0.71
198209,2.11,0.65
198309,1.64,0.18
198409,1.61,0.15
198509,3.09,1.63
198609,3.94,2.48
198709,.73,-0.73
198809,1.67,0.21
198909,.84,-0.62
199009,.22,-1.24
199109,1.73,0.27
199209,1.11,-0.35
199309,1.03,-0.43
199409,.65,-0.81
199509,1.25,-0.21
199609,1.82,0.36
199709,1,-0.46
199809,1.02,-0.44
199909,1.07,-0.39
200009,1.54,0.08
200109,.92,-0.54
200209,1.37,-0.09
200309,1.08,-0.38
200409,1.53,0.07
200509,1.3,-0.16
200609,1.92,0.46
200709,1.46,0.00
200809,1.62,0.16
200909,.55,-0.91
201009,1.87,0.41
201109,.47,-0.99
201209,.17,-1.29
201309,2.53,1.07
201409,1.2,-0.26
201509,1.29,-0.17
