Pennsylvania, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.93,-1.66
189609,4.65,1.06
189709,2.34,-1.25
189809,1.65,-1.94
189909,4.43,0.84
190009,1.56,-2.03
190109,3.42,-0.17
190209,4.3,0.71
190309,2.13,-1.46
190409,3.12,-0.47
190509,3.2,-0.39
190609,2.7,-0.89
190709,6.37,2.78
190809,1.45,-2.14
190909,2.33,-1.26
191009,4.69,1.10
191109,5.24,1.65
191209,5.84,2.25
191309,3.12,-0.47
191409,1.03,-2.56
191509,2.58,-1.01
191609,4.08,0.49
191709,2.36,-1.23
191809,4.06,0.47
191909,2.06,-1.53
192009,4.02,0.43
192109,4.75,1.16
192209,1.73,-1.86
192309,3.49,-0.10
192409,6.5,2.91
192509,3.06,-0.53
192609,5.95,2.36
192709,1.86,-1.73
192809,2.26,-1.33
192909,3.72,0.13
193009,2.41,-1.18
193109,3.3,-0.29
193209,1.54,-2.05
193309,4.7,1.11
193409,6.57,2.98
193509,3.32,-0.27
193609,2.14,-1.45
193709,2.01,-1.58
193809,4.86,1.27
193909,3.3,-0.29
194009,3.52,-0.07
194109,1.39,-2.20
194209,4.61,1.02
194309,.77,-2.82
194409,4,0.41
194509,6.59,3.00
194609,3.34,-0.25
194709,2.43,-1.16
194809,1.56,-2.03
194909,3.13,-0.46
195009,3.78,0.19
195109,2.83,-0.76
195209,3.83,0.24
195309,3.3,-0.29
195409,2.82,-0.77
195509,2.48,-1.11
195609,3.83,0.24
195709,3.23,-0.36
195809,4.42,0.83
195909,1.78,-1.81
196009,4.86,1.27
196109,1.9,-1.69
196209,4.6,1.01
196309,2.7,-0.89
196409,1.79,-1.80
196509,3.5,-0.09
196609,4.49,0.90
196709,3.16,-0.43
196809,3.92,0.33
196909,2.35,-1.24
197009,3.13,-0.46
197109,4.6,1.01
197209,2.98,-0.61
197309,4.56,0.97
197409,5.14,1.55
197509,7.95,4.36
197609,4.1,0.51
197709,5.28,1.69
197809,2.91,-0.68
197909,5.92,2.33
198009,2.17,-1.42
198109,3.75,0.16
198209,2.95,-0.64
198309,2.36,-1.23
198409,1.74,-1.85
198509,3.35,-0.24
198609,2.82,-0.77
198709,6.29,2.70
198809,3.19,-0.40
198909,4.19,0.60
199009,4.12,0.53
199109,3.09,-0.50
199209,4.16,0.57
199309,6.09,2.50
199409,3.23,-0.36
199509,2.3,-1.29
199609,7.2,3.61
199709,3.75,0.16
199809,2.13,-1.46
199909,6.65,3.06
200009,3.94,0.35
200109,3.98,0.39
200209,4.33,0.74
200309,7.13,3.54
200409,8.87,5.28
200509,1.82,-1.77
200609,5.06,1.47
200709,2,-1.59
200809,4.16,0.57
200909,2.78,-0.81
201009,3.41,-0.18
201109,10.1,6.51
201209,5.11,1.52
201309,2.37,-1.22
201409,1.88,-1.71
201509,4.35,0.76
