Kentucky, Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.21,-2.03
189609,3.62,0.38
189709,.3,-2.94
189809,4.29,1.05
189909,1.71,-1.53
190009,2.11,-1.13
190109,3.73,0.49
190209,4.05,0.81
190309,.86,-2.38
190409,2.45,-0.79
190509,2.94,-0.30
190609,6.09,2.85
190709,3.15,-0.09
190809,1.2,-2.04
190909,2.79,-0.45
191009,4.45,1.21
191109,3.94,0.70
191209,2.76,-0.48
191309,2.63,-0.61
191409,2.87,-0.37
191509,3.31,0.07
191609,3.6,0.36
191709,2.58,-0.66
191809,2.82,-0.42
191909,1.87,-1.37
192009,3.59,0.35
192109,5.25,2.01
192209,2.37,-0.87
192309,2.73,-0.51
192409,5.07,1.83
192509,3.14,-0.10
192609,3.56,0.32
192709,3.06,-0.18
192809,.99,-2.25
192909,4.47,1.23
193009,2.69,-0.55
193109,2.69,-0.55
193209,3.96,0.72
193309,4.71,1.47
193409,5.01,1.77
193509,2.7,-0.54
193609,3.67,0.43
193709,1.95,-1.29
193809,3.48,0.24
193909,1.23,-2.01
194009,1.87,-1.37
194109,1.26,-1.98
194209,3.09,-0.15
194309,2.69,-0.55
194409,4.14,0.90
194509,3.62,0.38
194609,2.62,-0.62
194709,3,-0.24
194809,2.04,-1.20
194909,1.84,-1.40
195009,5.4,2.16
195109,4.37,1.13
195209,2.3,-0.94
195309,1.11,-2.13
195409,3.9,0.66
195509,3.19,-0.05
195609,2.16,-1.08
195709,4.47,1.23
195809,3.22,-0.02
195909,2.06,-1.18
196009,3.23,-0.01
196109,1.56,-1.68
196209,4.46,1.22
196309,1.27,-1.97
196409,4.63,1.39
196509,5.56,2.32
196609,3.96,0.72
196709,2.69,-0.55
196809,2.69,-0.55
196909,1.84,-1.40
197009,4.54,1.30
197109,4.28,1.04
197209,4.12,0.88
197309,2.29,-0.95
197409,5.52,2.28
197509,5.73,2.49
197609,4.01,0.77
197709,3.62,0.38
197809,1.24,-2.00
197909,8.28,5.04
198009,2.81,-0.43
198109,3.1,-0.14
198209,4.3,1.06
198309,1.12,-2.12
198409,2.79,-0.45
198509,1.94,-1.30
198609,4.42,1.18
198709,2.3,-0.94
198809,4.7,1.46
198909,4.62,1.38
199009,3.11,-0.13
199109,2.99,-0.25
199209,3.56,0.32
199309,3.93,0.69
199409,2.38,-0.86
199509,2.62,-0.62
199609,6.36,3.12
199709,2.36,-0.88
199809,1.08,-2.16
199909,1.33,-1.91
200009,3.49,0.25
200109,2.59,-0.65
200209,6.15,2.91
200309,5.75,2.51
200409,3.95,0.71
200509,1.3,-1.94
200609,8.19,4.95
200709,2.1,-1.14
200809,.9,-2.34
200909,5.49,2.25
201009,1.81,-1.43
201109,5.89,2.65
201209,5.88,2.64
201309,3.66,0.42
201409,2.19,-1.05
201509,2.89,-0.35
