Idaho, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.93,-1.53
189602,1.52,-0.94
189702,3.48,1.02
189802,2.68,0.22
189902,3.03,0.57
190002,2.36,-0.10
190102,3.26,0.80
190202,3.77,1.31
190302,.55,-1.91
190402,5.12,2.66
190502,.97,-1.49
190602,2.65,0.19
190702,3.19,0.73
190802,1.6,-0.86
190902,3.34,0.88
191002,3.55,1.09
191102,1.39,-1.07
191202,2.47,0.01
191302,1.04,-1.42
191402,2.14,-0.32
191502,2.19,-0.27
191602,3.86,1.40
191702,3.35,0.89
191802,2.49,0.03
191902,4.03,1.57
192002,.81,-1.65
192102,2.26,-0.20
192202,2.49,0.03
192302,1.15,-1.31
192402,2.33,-0.13
192502,3.28,0.82
192602,3.37,0.91
192702,4.21,1.75
192802,.78,-1.68
192902,1.53,-0.93
193002,2.99,0.53
193102,1.41,-1.05
193202,2.14,-0.32
193302,2.53,0.07
193402,1.51,-0.95
193502,1.05,-1.41
193602,4.07,1.61
193702,3.28,0.82
193802,3.07,0.61
193902,2.5,0.04
194002,4.81,2.35
194102,1.78,-0.68
194202,2.26,-0.20
194302,1.98,-0.48
194402,2.24,-0.22
194502,3.08,0.62
194602,2.24,-0.22
194702,1.46,-1.00
194802,2.73,0.27
194902,3.83,1.37
195002,2.56,0.10
195102,3.3,0.84
195202,2.39,-0.07
195302,2.4,-0.06
195402,2.03,-0.43
195502,2.04,-0.42
195602,2.08,-0.38
195702,2.98,0.52
195802,3.17,0.71
195902,2.34,-0.12
196002,2.83,0.37
196102,3.4,0.94
196202,2.8,0.34
196302,3.04,0.58
196402,.8,-1.66
196502,1.46,-1.00
196602,1.56,-0.90
196702,1.29,-1.17
196802,3.26,0.80
196902,2.16,-0.30
197002,1.43,-1.03
197102,1.86,-0.60
197202,3.21,0.75
197302,1.15,-1.31
197402,2.18,-0.28
197502,3.47,1.01
197602,2.92,0.46
197702,.81,-1.65
197802,2.86,0.40
197902,3.37,0.91
198002,2.41,-0.05
198102,2.41,-0.05
198202,3.35,0.89
198302,2.95,0.49
198402,2.11,-0.35
198502,1.93,-0.53
198602,5.74,3.28
198702,1.62,-0.84
198802,1.35,-1.11
198902,1.46,-1.00
199002,1.94,-0.52
199102,1.06,-1.40
199202,1.79,-0.67
199302,1.78,-0.68
199402,2.57,0.11
199502,1.75,-0.71
199602,3.17,0.71
199702,1.59,-0.87
199802,1.98,-0.48
199902,4.49,2.03
200002,3.05,0.59
200102,1.18,-1.28
200202,1.33,-1.13
200302,2.01,-0.45
200402,2.19,-0.27
200502,.71,-1.75
200602,1.79,-0.67
200702,2.45,-0.01
200802,2.23,-0.23
200902,1.46,-1.00
201002,1.06,-1.40
201102,1.93,-0.53
201202,1.78,-0.68
201302,1.07,-1.39
201402,3.68,1.22
201502,1.85,-0.61
