Indiana, Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,.75,-1.48
189602,2.03,-0.20
189702,2.82,0.59
189802,1.81,-0.42
189902,2.22,-0.01
190002,3.65,1.42
190102,1.62,-0.61
190202,.92,-1.31
190302,4.2,1.97
190402,2.37,0.14
190502,1.86,-0.37
190602,1.26,-0.97
190702,.47,-1.76
190802,5.56,3.33
190902,5.63,3.40
191002,2.92,0.69
191102,1.79,-0.44
191202,2.52,0.29
191302,1.46,-0.77
191402,2.97,0.74
191502,1.61,-0.62
191602,1.21,-1.02
191702,1.11,-1.12
191802,1.8,-0.43
191902,1.58,-0.65
192002,.85,-1.38
192102,1.56,-0.67
192202,1.56,-0.67
192302,2.02,-0.21
192402,1.61,-0.62
192502,1.74,-0.49
192602,2.82,0.59
192702,1.61,-0.62
192802,2.73,0.50
192902,1.81,-0.42
193002,2.43,0.20
193102,1.59,-0.64
193202,1.68,-0.55
193302,1.79,-0.44
193402,.83,-1.40
193502,.92,-1.31
193602,2.55,0.32
193702,1.78,-0.45
193802,2.84,0.61
193902,4.02,1.79
194002,2.38,0.15
194102,.71,-1.52
194202,3.34,1.11
194302,1.43,-0.80
194402,2.83,0.60
194502,3.12,0.89
194602,3.03,0.80
194702,.31,-1.92
194802,2.67,0.44
194902,2.98,0.75
195002,5.25,3.02
195102,3.49,1.26
195202,2.42,0.19
195302,1.39,-0.84
195402,2.45,0.22
195502,3.17,0.94
195602,4.2,1.97
195702,2.12,-0.11
195802,.77,-1.46
195902,3.27,1.04
196002,3.1,0.87
196102,2.76,0.53
196202,3.04,0.81
196302,.77,-1.46
196402,1.44,-0.79
196502,3.42,1.19
196602,2.41,0.18
196702,1.67,-0.56
196802,1.56,-0.67
196902,.8,-1.43
197002,1.35,-0.88
197102,4.05,1.82
197202,1.32,-0.91
197302,1.19,-1.04
197402,2.04,-0.19
197502,3.46,1.23
197602,2.82,0.59
197702,1.96,-0.27
197802,.48,-1.75
197902,2.3,0.07
198002,1.53,-0.70
198102,2.53,0.30
198202,1.8,-0.43
198302,.97,-1.26
198402,1.84,-0.39
198502,3.6,1.37
198602,3.09,0.86
198702,.88,-1.35
198802,3.11,0.88
198902,2.65,0.42
199002,5.28,3.05
199102,1.88,-0.35
199202,1.24,-0.99
199302,2.02,-0.21
199402,1.4,-0.83
199502,1.18,-1.05
199602,1.2,-1.03
199702,3.28,1.05
199802,1.82,-0.41
199902,3.41,1.18
200002,3.46,1.23
200102,2.86,0.63
200202,2.32,0.09
200302,2.74,0.51
200402,.83,-1.40
200502,2.25,0.02
200602,1.63,-0.60
200702,2.43,0.20
200802,4.81,2.58
200902,2.8,0.57
201002,1.48,-0.75
201102,4.21,1.98
201202,1.54,-0.69
201302,2.21,-0.02
201402,2.64,0.41
201502,1.41,-0.82
