Arkansas, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,5.04,1.00
189601,3.96,-0.08
189701,6.59,2.55
189801,8.09,4.05
189901,6.05,2.01
190001,2.66,-1.38
190101,2.22,-1.82
190201,4.41,0.37
190301,2.65,-1.39
190401,3.6,-0.44
190501,4.63,0.59
190601,5.24,1.20
190701,5.75,1.71
190801,3.86,-0.18
190901,1.82,-2.22
191001,2.6,-1.44
191101,1,-3.04
191201,3.1,-0.94
191301,8.3,4.26
191401,1.62,-2.42
191501,4.3,0.26
191601,9.59,5.55
191701,3.81,-0.23
191801,4.75,0.71
191901,2.98,-1.06
192001,6.42,2.38
192101,1.99,-2.05
192201,2.76,-1.28
192301,5.65,1.61
192401,3.32,-0.72
192501,2.72,-1.32
192601,4.55,0.51
192701,5.13,1.09
192801,1.96,-2.08
192901,4.96,0.92
193001,9.32,5.28
193101,1.25,-2.79
193201,10.1,6.06
193301,3.61,-0.43
193401,3.05,-0.99
193501,5.95,1.91
193601,1.23,-2.81
193701,12.52,8.48
193801,6.39,2.35
193901,6.44,2.40
194001,1.55,-2.49
194101,3.46,-0.58
194201,3.21,-0.83
194301,1.16,-2.88
194401,2.68,-1.36
194501,2.5,-1.54
194601,7.82,3.78
194701,2.77,-1.27
194801,3.52,-0.52
194901,10.11,6.07
195001,10,5.96
195101,5.78,1.74
195201,3.96,-0.08
195301,3.81,-0.23
195401,6.17,2.13
195501,1.72,-2.32
195601,3.41,-0.63
195701,6.18,2.14
195801,3.07,-0.97
195901,2.38,-1.66
196001,3.7,-0.34
196101,1.25,-2.79
196201,5.02,0.98
196301,1.01,-3.03
196401,1.34,-2.70
196501,4.02,-0.02
196601,4.3,0.26
196701,1.56,-2.48
196801,4.64,0.60
196901,5.84,1.80
197001,1.04,-3.00
197101,2.5,-1.54
197201,3.15,-0.89
197301,4.74,0.70
197401,5.22,1.18
197501,3.59,-0.45
197601,2.37,-1.67
197701,2.86,-1.18
197801,4.72,0.68
197901,4.61,0.57
198001,2.89,-1.15
198101,1.11,-2.93
198201,5.85,1.81
198301,1.13,-2.91
198401,1.67,-2.37
198501,3.01,-1.03
198601,.45,-3.59
198701,2.42,-1.62
198801,2.6,-1.44
198901,4.57,0.53
199001,6.27,2.23
199101,4.59,0.55
199201,2.42,-1.62
199301,4.77,0.73
199401,5.44,1.40
199501,5.08,1.04
199601,2.81,-1.23
199701,2.93,-1.11
199801,6.33,2.29
199901,6.89,2.85
200001,2.32,-1.72
200101,3.48,-0.56
200201,4,-0.04
200301,.67,-3.37
200401,3.26,-0.78
200501,5.32,1.28
200601,4.61,0.57
200701,6.92,2.88
200801,1.73,-2.31
200901,2.74,-1.30
201001,3.92,-0.12
201101,1.6,-2.44
201201,2.92,-1.12
201301,6.03,1.99
201401,1.98,-2.06
201501,3.49,-0.55
