Michigan, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.57,-0.52
189605,3.27,0.18
189705,3.04,-0.05
189805,2.64,-0.45
189905,3.78,0.69
190005,2.43,-0.66
190105,2.43,-0.66
190205,3.51,0.42
190305,3.34,0.25
190405,3.94,0.85
190505,4.38,1.29
190605,2.65,-0.44
190705,2.46,-0.63
190805,4.64,1.55
190905,2.33,-0.76
191005,2.97,-0.12
191105,3.53,0.44
191205,5.69,2.60
191305,2.57,-0.52
191405,3.05,-0.04
191505,2.91,-0.18
191605,4.04,0.95
191705,2.77,-0.32
191805,4.08,0.99
191905,3.31,0.22
192005,1.4,-1.69
192105,1.95,-1.14
192205,3.02,-0.07
192305,2.95,-0.14
192405,3.58,0.49
192505,1.08,-2.01
192605,2.4,-0.69
192705,4.79,1.70
192805,2.4,-0.69
192905,3.84,0.75
193005,3.17,0.08
193105,3.11,0.02
193205,3.94,0.85
193305,3.97,0.88
193405,1.26,-1.83
193505,2.47,-0.62
193605,2.33,-0.76
193705,2.33,-0.76
193805,3.75,0.66
193905,2.48,-0.61
194005,3.88,0.79
194105,2.82,-0.27
194205,4.37,1.28
194305,4.88,1.79
194405,3.17,0.08
194505,5.23,2.14
194605,3.44,0.35
194705,4.84,1.75
194805,2.55,-0.54
194905,2.81,-0.28
195005,1.86,-1.23
195105,2.49,-0.60
195205,3,-0.09
195305,3.07,-0.02
195405,2.36,-0.73
195505,2.8,-0.29
195605,4.24,1.15
195705,3.57,0.48
195805,1.61,-1.48
195905,3.21,0.12
196005,4.55,1.46
196105,1.9,-1.19
196205,2.95,-0.14
196305,3.1,0.01
196405,3.2,0.11
196505,3.02,-0.07
196605,1.67,-1.42
196705,2.04,-1.05
196805,3.59,0.50
196905,3.13,0.04
197005,3.8,0.71
197105,2.4,-0.69
197205,2.46,-0.63
197305,4.74,1.65
197405,3.75,0.66
197505,3.17,0.08
197605,3.51,0.42
197705,1.17,-1.92
197805,3.16,0.07
197905,2.49,-0.60
198005,2.2,-0.89
198105,2.78,-0.31
198205,2.62,-0.47
198305,5.24,2.15
198405,3.31,0.22
198505,2.97,-0.12
198605,2.26,-0.83
198705,2.32,-0.77
198805,1.1,-1.99
198905,3.86,0.77
199005,3.95,0.86
199105,3.83,0.74
199205,1.38,-1.71
199305,2.81,-0.28
199405,1.95,-1.14
199505,2.78,-0.31
199605,2.77,-0.32
199705,3.69,0.60
199805,2.11,-0.98
199905,3.13,0.04
200005,4.64,1.55
200105,4.71,1.62
200205,3.83,0.74
200305,3.99,0.90
200405,6.64,3.55
200505,2.05,-1.04
200605,4.63,1.54
200705,2.31,-0.78
200805,2.38,-0.71
200905,2.95,-0.14
201005,3.52,0.43
201105,4.26,1.17
201205,3,-0.09
201305,3.59,0.50
201405,3.53,0.44
201505,4.14,1.05
