New Mexico, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,.18,-0.55
189603,.27,-0.46
189703,.96,0.23
189803,.54,-0.19
189903,.4,-0.33
190003,.65,-0.08
190103,.34,-0.39
190203,.48,-0.25
190303,.68,-0.05
190403,.32,-0.41
190503,2.21,1.48
190603,.88,0.15
190703,.17,-0.56
190803,.34,-0.39
190903,1.23,0.50
191003,.23,-0.50
191103,.86,0.13
191203,1.07,0.34
191303,.55,-0.18
191403,.37,-0.36
191503,1.24,0.51
191603,1.04,0.31
191703,.16,-0.57
191803,.69,-0.04
191903,2.18,1.45
192003,.63,-0.10
192103,.58,-0.15
192203,.57,-0.16
192303,.77,0.04
192403,1.22,0.49
192503,.37,-0.36
192603,2.03,1.30
192703,.65,-0.08
192803,.37,-0.36
192903,.85,0.12
193003,.85,0.12
193103,.92,0.19
193203,.79,0.06
193303,.14,-0.59
193403,.5,-0.23
193503,.4,-0.33
193603,.3,-0.43
193703,1.22,0.49
193803,.84,0.11
193903,.89,0.16
194003,.5,-0.23
194103,2.2,1.47
194203,.45,-0.28
194303,.57,-0.16
194403,.4,-0.33
194503,.67,-0.06
194603,.69,-0.04
194703,.41,-0.32
194803,.83,0.10
194903,.47,-0.26
195003,.17,-0.56
195103,.59,-0.14
195203,.7,-0.03
195303,.75,0.02
195403,.73,0.00
195503,.21,-0.52
195603,.06,-0.67
195703,1.1,0.37
195803,2.13,1.40
195903,.21,-0.52
196003,.43,-0.30
196103,1.01,0.28
196203,.43,-0.30
196303,.31,-0.42
196403,.51,-0.22
196503,.55,-0.18
196603,.17,-0.56
196703,.28,-0.45
196803,1.24,0.51
196903,.77,0.04
197003,.97,0.24
197103,.14,-0.59
197203,.07,-0.66
197303,1.67,0.94
197403,.4,-0.33
197503,.89,0.16
197603,.31,-0.42
197703,.6,-0.13
197803,.89,0.16
197903,.48,-0.25
198003,.6,-0.13
198103,1.18,0.45
198203,.68,-0.05
198303,1.16,0.43
198403,.74,0.01
198503,1.52,0.79
198603,.59,-0.14
198703,.54,-0.19
198803,.23,-0.50
198903,.41,-0.32
199003,.78,0.05
199103,.88,0.15
199203,.88,0.15
199303,.76,0.03
199403,.99,0.26
199503,.7,-0.03
199603,.17,-0.56
199703,.22,-0.51
199803,1.46,0.73
199903,.86,0.13
200003,1.62,0.89
200103,1.06,0.33
200203,.43,-0.30
200303,.67,-0.06
200403,.87,0.14
200503,1.13,0.40
200603,.55,-0.18
200703,1.03,0.30
200803,.19,-0.54
200903,.49,-0.24
201003,1,0.27
201103,.15,-0.58
201203,.27,-0.46
201303,.22,-0.51
201403,.47,-0.26
201503,.71,-0.02
