Louisiana, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,5.22,0.06
189605,2.2,-2.96
189705,2.76,-2.40
189805,1.5,-3.66
189905,1.04,-4.12
190005,4.75,-0.41
190105,2.11,-3.05
190205,4.11,-1.05
190305,2.67,-2.49
190405,3.25,-1.91
190505,5.52,0.36
190605,2.33,-2.83
190705,15.09,9.93
190805,7.14,1.98
190905,5.9,0.74
191005,6.14,0.98
191105,2.68,-2.48
191205,5.93,0.77
191305,4.9,-0.26
191405,2.75,-2.41
191505,5.16,0.00
191605,8.22,3.06
191705,1.42,-3.74
191805,1.88,-3.28
191905,8.59,3.43
192005,5.05,-0.11
192105,2.84,-2.32
192205,6.44,1.28
192305,7.72,2.56
192405,4.39,-0.77
192505,2.59,-2.57
192605,4.78,-0.38
192705,5.15,-0.01
192805,3.99,-1.17
192905,6.45,1.29
193005,6.72,1.56
193105,3.14,-2.02
193205,5.02,-0.14
193305,5.05,-0.11
193405,4.69,-0.47
193505,7.72,2.56
193605,4.74,-0.42
193705,2.97,-2.19
193805,2.48,-2.68
193905,6.32,1.16
194005,2.07,-3.09
194105,7.87,2.71
194205,4.63,-0.53
194305,3.42,-1.74
194405,7.71,2.55
194505,4.24,-0.92
194605,11.05,5.89
194705,5.2,0.04
194805,3.37,-1.79
194905,2.28,-2.88
195005,6.29,1.13
195105,1.75,-3.41
195205,5.69,0.53
195305,12.52,7.36
195405,7.04,1.88
195505,5.76,0.60
195605,3.71,-1.45
195705,3.83,-1.33
195805,5.52,0.36
195905,6.05,0.89
196005,2.59,-2.57
196105,3.81,-1.35
196205,2.68,-2.48
196305,2.07,-3.09
196405,3.31,-1.85
196505,3.68,-1.48
196605,5.11,-0.05
196705,7.49,2.33
196805,6.16,1.00
196905,5.79,0.63
197005,4.95,-0.21
197105,5.56,0.40
197205,5.56,0.40
197305,4.7,-0.46
197405,5.81,0.65
197505,10,4.84
197605,5.63,0.47
197705,2.38,-2.78
197805,6.29,1.13
197905,6.35,1.19
198005,9.04,3.88
198105,5.68,0.52
198205,3.08,-2.08
198305,8.81,3.65
198405,5.25,0.09
198505,2.82,-2.34
198605,5.23,0.07
198705,5.47,0.31
198805,1.54,-3.62
198905,9.05,3.89
199005,5.69,0.53
199105,11.55,6.39
199205,3.16,-2.00
199305,4.65,-0.51
199405,6.55,1.39
199505,6.43,1.27
199605,2.25,-2.91
199705,6.27,1.11
199805,.45,-4.71
199905,4.38,-0.78
200005,4.38,-0.78
200105,1.94,-3.22
200205,2.41,-2.75
200305,2.37,-2.79
200405,10.02,4.86
200505,3.28,-1.88
200605,2.53,-2.63
200705,4.51,-0.65
200805,5.79,0.63
200905,4.7,-0.46
201005,3.24,-1.92
201105,1.51,-3.65
201205,2.17,-2.99
201305,5.43,0.27
201405,7.46,2.30
201505,8.23,3.07
