Missouri, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,6.12,1.50
189606,4.04,-0.58
189706,5.95,1.33
189806,5.76,1.14
189906,3.81,-0.81
190006,5.23,0.61
190106,1.99,-2.63
190206,6.75,2.13
190306,3.28,-1.34
190406,6.48,1.86
190506,3.12,-1.50
190606,4.99,0.37
190706,5.52,0.90
190806,5.77,1.15
190906,5.35,0.73
191006,3.82,-0.80
191106,1.8,-2.82
191206,4.77,0.15
191306,2.62,-2.00
191406,2.19,-2.43
191506,6.62,2.00
191606,5.81,1.19
191706,3.96,-0.66
191806,3.29,-1.33
191906,5.77,1.15
192006,2.19,-2.43
192106,5.71,1.09
192206,1.61,-3.01
192306,5.46,0.84
192406,7.34,2.72
192506,5.78,1.16
192606,3.68,-0.94
192706,5.78,1.16
192806,10.93,6.31
192906,5.68,1.06
193006,3.65,-0.97
193106,2.65,-1.97
193206,4.85,0.23
193306,1.4,-3.22
193406,2.79,-1.83
193506,9.24,4.62
193606,1.48,-3.14
193706,4.87,0.25
193806,4.72,0.10
193906,5.73,1.11
194006,4.5,-0.12
194106,4.32,-0.30
194206,7.89,3.27
194306,6.58,1.96
194406,2.68,-1.94
194506,8.33,3.71
194606,2.92,-1.70
194706,8.51,3.89
194806,7.63,3.01
194906,6.79,2.17
195006,4.36,-0.26
195106,8.99,4.37
195206,2.26,-2.36
195306,2.1,-2.52
195406,3.3,-1.32
195506,4.76,0.14
195606,3.38,-1.24
195706,6.59,1.97
195806,5.47,0.85
195906,2.32,-2.30
196006,3.96,-0.66
196106,3.34,-1.28
196206,3.94,-0.68
196306,3.25,-1.37
196406,5.15,0.53
196506,5.6,0.98
196606,3.5,-1.12
196706,6.75,2.13
196806,3,-1.62
196906,6.3,1.68
197006,5.72,1.10
197106,3.05,-1.57
197206,1.99,-2.63
197306,4,-0.62
197406,3.9,-0.72
197506,4.18,-0.44
197606,3.44,-1.18
197706,5.71,1.09
197806,3.23,-1.39
197906,3.91,-0.71
198006,2.67,-1.95
198106,7.62,3.00
198206,5.16,0.54
198306,3.44,-1.18
198406,4.01,-0.61
198506,6.77,2.15
198606,3.35,-1.27
198706,3.36,-1.26
198806,1.44,-3.18
198906,4.37,-0.25
199006,4.89,0.27
199106,2.21,-2.41
199206,2.93,-1.69
199306,6.35,1.73
199406,3.73,-0.89
199506,5.4,0.78
199606,3.94,-0.68
199706,4.02,-0.60
199806,7.27,2.65
199906,4.78,0.16
200006,6.94,2.32
200106,5.91,1.29
200206,2.95,-1.67
200306,4.72,0.10
200406,3.47,-1.15
200506,3.9,-0.72
200606,3.12,-1.50
200706,5.11,0.49
200806,6.98,2.36
200906,5.77,1.15
201006,4.79,0.17
201106,4.08,-0.54
201206,1.9,-2.72
201306,4.46,-0.16
201406,6.1,1.48
201506,7.36,2.74
