Massachusetts, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.75,-1.18
189603,6.23,2.30
189703,3.57,-0.36
189803,2.12,-1.81
189903,7.05,3.12
190003,5.59,1.66
190103,6.26,2.33
190203,5.81,1.88
190303,6.38,2.45
190403,3.03,-0.90
190503,3.19,-0.74
190603,5.72,1.79
190703,2.08,-1.85
190803,3.19,-0.74
190903,3.69,-0.24
191003,1.45,-2.48
191103,3.71,-0.22
191203,6.13,2.20
191303,5.29,1.36
191403,4.43,0.50
191503,.09,-3.84
191603,3.57,-0.36
191703,4.29,0.36
191803,2.69,-1.24
191903,5.2,1.27
192003,4.4,0.47
192103,3.22,-0.71
192203,5.36,1.43
192303,3.29,-0.64
192403,2.16,-1.77
192503,5.36,1.43
192603,2.96,-0.97
192703,1.65,-2.28
192803,2.13,-1.80
192903,3.6,-0.33
193003,3.48,-0.45
193103,4.95,1.02
193203,4.71,0.78
193303,5.65,1.72
193403,3.69,-0.24
193503,1.84,-2.09
193603,8.08,4.15
193703,3.63,-0.30
193803,2.43,-1.50
193903,4.66,0.73
194003,4.45,0.52
194103,2.23,-1.70
194203,6.95,3.02
194303,3.33,-0.60
194403,4.44,0.51
194503,2.15,-1.78
194603,1.63,-2.30
194703,3.25,-0.68
194803,3.53,-0.40
194903,2.47,-1.46
195003,3.31,-0.62
195103,4.82,0.89
195203,3.47,-0.46
195303,8.47,4.54
195403,3.66,-0.27
195503,4.28,0.35
195603,5.77,1.84
195703,2.66,-1.27
195803,3.49,-0.44
195903,4.97,1.04
196003,3.03,-0.90
196103,3.54,-0.39
196203,1.7,-2.23
196303,3.88,-0.05
196403,3.11,-0.82
196503,1.87,-2.06
196603,2.5,-1.43
196703,4.04,0.11
196803,6.55,2.62
196903,2.88,-1.05
197003,3.79,-0.14
197103,3.03,-0.90
197203,5.94,2.01
197303,3.19,-0.74
197403,4.38,0.45
197503,3.44,-0.49
197603,3.05,-0.88
197703,6.13,2.20
197803,2.85,-1.08
197903,3.49,-0.44
198003,6.64,2.71
198103,.76,-3.17
198203,2.71,-1.22
198303,7.9,3.97
198403,5.66,1.73
198503,2.79,-1.14
198603,3.6,-0.33
198703,3.33,-0.60
198803,3.09,-0.84
198903,3.1,-0.83
199003,2.56,-1.37
199103,4.76,0.83
199203,3.89,-0.04
199303,6.59,2.66
199403,6.39,2.46
199503,2.49,-1.44
199603,2.95,-0.98
199703,4.37,0.44
199803,5.09,1.16
199903,4.89,0.96
200003,4.42,0.49
200103,8.75,4.82
200203,4.24,0.31
200303,4.42,0.49
200403,2.47,-1.46
200503,4.97,1.04
200603,.66,-3.27
200703,5.16,1.23
200803,5.52,1.59
200903,3.02,-0.91
201003,10.54,6.61
201103,3.89,-0.04
201203,1.66,-2.27
201303,3.11,-0.82
201403,4.51,0.58
201503,2.84,-1.09
