Indiana, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.68,-2.45
189605,4.77,0.64
189705,3.11,-1.02
189805,4.45,0.32
189905,3.95,-0.18
190005,4.28,0.15
190105,2.61,-1.52
190205,4.43,0.30
190305,3.27,-0.86
190405,3.26,-0.87
190505,5.76,1.63
190605,2.35,-1.78
190705,3.51,-0.62
190805,6.07,1.94
190905,4.58,0.45
191005,3.8,-0.33
191105,2.53,-1.60
191205,4.39,0.26
191305,2.88,-1.25
191405,2.6,-1.53
191505,5.78,1.65
191605,4.51,0.38
191705,4.85,0.72
191805,4.7,0.57
191905,4.63,0.50
192005,3.53,-0.60
192105,2.32,-1.81
192205,3.61,-0.52
192305,5.11,0.98
192405,4.12,-0.01
192505,1.27,-2.86
192605,2.81,-1.32
192705,7.08,2.95
192805,2.89,-1.24
192905,7.08,2.95
193005,1.79,-2.34
193105,2.92,-1.21
193205,1.36,-2.77
193305,8.1,3.97
193405,1.13,-3.00
193505,6.79,2.66
193605,2.06,-2.07
193705,3.58,-0.55
193805,5.42,1.29
193905,1.49,-2.64
194005,4.27,0.14
194105,2.21,-1.92
194205,3.94,-0.19
194305,8.62,4.49
194405,4.31,0.18
194505,4.61,0.48
194605,5.82,1.69
194705,5.12,0.99
194805,3.91,-0.22
194905,3.33,-0.80
195005,3.06,-1.07
195105,3.34,-0.79
195205,4.23,0.10
195305,3.92,-0.21
195405,2.78,-1.35
195505,3.77,-0.36
195605,5.42,1.29
195705,5.72,1.59
195805,3.7,-0.43
195905,4.34,0.21
196005,4.35,0.22
196105,5.35,1.22
196205,4.48,0.35
196305,2.85,-1.28
196405,1.61,-2.52
196505,2.46,-1.67
196605,3.33,-0.80
196705,4.79,0.66
196805,6.98,2.85
196905,3.29,-0.84
197005,3.49,-0.64
197105,4.11,-0.02
197205,3.36,-0.77
197305,3.57,-0.56
197405,6.37,2.24
197505,3.66,-0.47
197605,3.44,-0.69
197705,2.45,-1.68
197805,4.17,0.04
197905,3.19,-0.94
198005,3.25,-0.88
198105,7.32,3.19
198205,4.6,0.47
198305,6.58,2.45
198405,4.93,0.80
198505,3.95,-0.18
198605,4.93,0.80
198705,3.38,-0.75
198805,1.54,-2.59
198905,5.23,1.10
199005,7.49,3.36
199105,4.03,-0.10
199205,2.46,-1.67
199305,3.55,-0.58
199405,2.68,-1.45
199505,7.26,3.13
199605,7.65,3.52
199705,5.71,1.58
199805,4.59,0.46
199905,3.12,-1.01
200005,4.53,0.40
200105,4.32,0.19
200205,7.1,2.97
200305,6.56,2.43
200405,7.17,3.04
200505,2.57,-1.56
200605,5.25,1.12
200705,1.75,-2.38
200805,5.68,1.55
200905,5.67,1.54
201005,5.49,1.36
201105,6.51,2.38
201205,2.75,-1.38
201305,3.71,-0.42
201405,4.23,0.10
201505,3.98,-0.15
