Colorado, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,.96,-0.88
189604,1.15,-0.69
189704,1.24,-0.60
189804,1.52,-0.32
189904,.81,-1.03
190004,5.45,3.61
190104,2.37,0.53
190204,.76,-1.08
190304,1.8,-0.04
190404,1.15,-0.69
190504,3.97,2.13
190604,3.7,1.86
190704,2.05,0.21
190804,1.09,-0.75
190904,1.7,-0.14
191004,1.4,-0.44
191104,1.5,-0.34
191204,1.53,-0.31
191304,1.31,-0.53
191404,2.76,0.92
191504,3.66,1.82
191604,1.87,0.03
191704,2.31,0.47
191804,1.67,-0.17
191904,2.31,0.47
192004,3.13,1.29
192104,2.4,0.56
192204,2.42,0.58
192304,1.6,-0.24
192404,1.47,-0.37
192504,.73,-1.11
192604,2.37,0.53
192704,1.5,-0.34
192804,.97,-0.87
192904,1.8,-0.04
193004,1.2,-0.64
193104,1.55,-0.29
193204,2.25,0.41
193304,2.71,0.87
193404,1.16,-0.68
193504,2.58,0.74
193604,.86,-0.98
193704,1.14,-0.70
193804,2.23,0.39
193904,.98,-0.86
194004,1.84,0.00
194104,3.11,1.27
194204,4.77,2.93
194304,1.04,-0.80
194404,4.02,2.18
194504,2.7,0.86
194604,1.83,-0.01
194704,1.96,0.12
194804,1.4,-0.44
194904,1.43,-0.41
195004,1.49,-0.35
195104,1.89,0.05
195204,2.12,0.28
195304,2.06,0.22
195404,.6,-1.24
195504,1.06,-0.78
195604,1.48,-0.36
195704,3.62,1.78
195804,1.73,-0.11
195904,1.56,-0.28
196004,1.32,-0.52
196104,1.51,-0.33
196204,1.34,-0.50
196304,.7,-1.14
196404,1.7,-0.14
196504,1.57,-0.27
196604,1.14,-0.70
196704,1.21,-0.63
196804,1.83,-0.01
196904,1.27,-0.57
197004,1.58,-0.26
197104,1.94,0.10
197204,1.05,-0.79
197304,2.07,0.23
197404,1.46,-0.38
197504,1.52,-0.32
197604,1.67,-0.17
197704,2.02,0.18
197804,1.47,-0.37
197904,1.14,-0.70
198004,2.36,0.52
198104,.95,-0.89
198204,.84,-1.00
198304,2.11,0.27
198404,2.44,0.60
198504,2.46,0.62
198604,2.34,0.50
198704,.86,-0.98
198804,1.37,-0.47
198904,.78,-1.06
199004,2.08,0.24
199104,1.27,-0.57
199204,.79,-1.05
199304,1.77,-0.07
199404,2.42,0.58
199504,2.64,0.80
199604,1.26,-0.58
199704,2.45,0.61
199804,1.77,-0.07
199904,4.38,2.54
200004,1.32,-0.52
200104,1.65,-0.19
200204,.57,-1.27
200304,1.57,-0.27
200404,3.15,1.31
200504,1.97,0.13
200604,.91,-0.93
200704,2.08,0.24
200804,1.14,-0.70
200904,2.36,0.52
201004,2.13,0.29
201104,2.1,0.26
201204,1.38,-0.46
201304,1.67,-0.17
201404,1.35,-0.49
201504,1.88,0.04
