Kansas, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.56,-0.92
189604,3.64,1.16
189704,3.83,1.35
189804,2.72,0.24
189904,1.29,-1.19
190004,4.38,1.90
190104,3.66,1.18
190204,1.08,-1.40
190304,2.6,0.12
190404,3.04,0.56
190504,2.82,0.34
190604,2.91,0.43
190704,1.36,-1.12
190804,1.7,-0.78
190904,1.17,-1.31
191004,1.18,-1.30
191104,1.75,-0.73
191204,2.52,0.04
191304,1.86,-0.62
191404,1.8,-0.68
191504,3.68,1.20
191604,2.46,-0.02
191704,2.76,0.28
191804,3.03,0.55
191904,3.86,1.38
192004,2.61,0.13
192104,3.04,0.56
192204,4.74,2.26
192304,2.53,0.05
192404,2.21,-0.27
192504,3.38,0.90
192604,1.32,-1.16
192704,4.7,2.22
192804,2.24,-0.24
192904,3.26,0.78
193004,2.79,0.31
193104,2.43,-0.05
193204,2.14,-0.34
193304,2.35,-0.13
193404,1.2,-1.28
193504,1.06,-1.42
193604,1.11,-1.37
193704,.94,-1.54
193804,2.43,-0.05
193904,1.79,-0.69
194004,2.76,0.28
194104,3.21,0.73
194204,4.55,2.07
194304,1.86,-0.62
194404,7.02,4.54
194504,5.36,2.88
194604,1.49,-0.99
194704,4.58,2.10
194804,1.21,-1.27
194904,2.11,-0.37
195004,1.03,-1.45
195104,2.49,0.01
195204,3.34,0.86
195304,1.75,-0.73
195404,1.92,-0.56
195504,1.89,-0.59
195604,1.19,-1.29
195704,3.52,1.04
195804,1.79,-0.69
195904,1.52,-0.96
196004,2.2,-0.28
196104,2.04,-0.44
196204,1.07,-1.41
196304,.76,-1.72
196404,2.61,0.13
196504,1.88,-0.60
196604,1.6,-0.88
196704,3.01,0.53
196804,2.21,-0.27
196904,3.28,0.80
197004,3.38,0.90
197104,1.85,-0.63
197204,2.05,-0.43
197304,2.78,0.30
197404,2.66,0.18
197504,2.09,-0.39
197604,4.82,2.34
197704,3.07,0.59
197804,1.97,-0.51
197904,1.82,-0.66
198004,1.71,-0.77
198104,1.64,-0.84
198204,1.34,-1.14
198304,3.42,0.94
198404,5.02,2.54
198504,3.13,0.65
198604,2.72,0.24
198704,1.68,-0.80
198804,3.33,0.85
198904,.41,-2.07
199004,2.12,-0.36
199104,2.62,0.14
199204,1.36,-1.12
199304,2.18,-0.30
199404,4.62,2.14
199504,2.79,0.31
199604,1.35,-1.13
199704,2.83,0.35
199804,2.28,-0.20
199904,5.18,2.70
200004,1.35,-1.13
200104,1.81,-0.67
200204,2.34,-0.14
200304,3.23,0.75
200404,2.5,0.02
200504,2.02,-0.46
200604,2.43,-0.05
200704,2.98,0.50
200804,2.81,0.33
200904,4.8,2.32
201004,2.62,0.14
201104,1.86,-0.62
201204,3.08,0.60
201304,2.44,-0.04
201404,1.59,-0.89
201504,2.76,0.28
