Missouri, Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.5,-0.71
189603,2.2,-1.01
189703,7,3.79
189803,7.66,4.45
189903,2.87,-0.34
190003,1.48,-1.73
190103,3.77,0.56
190203,3.62,0.41
190303,3.7,0.49
190403,4.39,1.18
190503,3.14,-0.07
190603,3.97,0.76
190703,2.75,-0.46
190803,2.99,-0.22
190903,3.03,-0.18
191003,.74,-2.47
191103,1.77,-1.44
191203,4.67,1.46
191303,4.55,1.34
191403,2.64,-0.57
191503,1.47,-1.74
191603,2.42,-0.79
191703,2.52,-0.69
191803,.96,-2.25
191903,2.34,-0.87
192003,5.12,1.91
192103,4.93,1.72
192203,6.28,3.07
192303,4.04,0.83
192403,2.53,-0.68
192503,1.94,-1.27
192603,2.82,-0.39
192703,5.8,2.59
192803,1.55,-1.66
192903,3.24,0.03
193003,1.36,-1.85
193103,3.1,-0.11
193203,1.86,-1.35
193303,3.32,0.11
193403,2.36,-0.85
193503,5.3,2.09
193603,1.11,-2.10
193703,1.65,-1.56
193803,4.7,1.49
193903,3.02,-0.19
194003,2.47,-0.74
194103,.77,-2.44
194203,1.98,-1.23
194303,2.5,-0.71
194403,3.78,0.57
194503,7.11,3.90
194603,2.88,-0.33
194703,2.97,-0.24
194803,4.69,1.48
194903,3.45,0.24
195003,2.04,-1.17
195103,3.35,0.14
195203,3.88,0.67
195303,4.41,1.20
195403,2.08,-1.13
195503,2.83,-0.38
195603,.79,-2.42
195703,2.9,-0.31
195803,4.06,0.85
195903,2.84,-0.37
196003,2.17,-1.04
196103,5.52,2.31
196203,3.05,-0.16
196303,4.18,0.97
196403,4.61,1.40
196503,2.65,-0.56
196603,1.24,-1.97
196703,2.18,-1.03
196803,2.88,-0.33
196903,2.37,-0.84
197003,2.72,-0.49
197103,1.13,-2.08
197203,2.16,-1.05
197303,8.68,5.47
197403,3.68,0.47
197503,4.3,1.09
197603,3.83,0.62
197703,5.2,1.99
197803,4.04,0.83
197903,4.06,0.85
198003,3.8,0.59
198103,1.9,-1.31
198203,2.85,-0.36
198303,2.82,-0.39
198403,4.93,1.72
198503,4.85,1.64
198603,1.65,-1.56
198703,3.22,0.01
198803,3.91,0.70
198903,3.19,-0.02
199003,5.06,1.85
199103,2.76,-0.45
199203,2.91,-0.30
199303,2.69,-0.52
199403,2.04,-1.17
199503,1.93,-1.28
199603,2.78,-0.43
199703,3.03,-0.18
199803,5.83,2.62
199903,2.75,-0.46
200003,2.55,-0.66
200103,1.71,-1.50
200203,3.51,0.30
200303,2.3,-0.91
200403,4.98,1.77
200503,1.62,-1.59
200603,3.84,0.63
200703,2.69,-0.52
200803,6.81,3.60
200903,3.97,0.76
201003,3.35,0.14
201103,3.47,0.26
201203,4.17,0.96
201303,3.48,0.27
201403,1.7,-1.51
201503,3.24,0.03
