Alabama, Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,7.52,2.34
189601,4.33,-0.85
189701,3.73,-1.45
189801,3.92,-1.26
189901,6.18,1.00
190001,3.37,-1.81
190101,4.97,-0.21
190201,3.69,-1.49
190301,3.62,-1.56
190401,4.24,-0.94
190501,5.62,0.44
190601,4.82,-0.36
190701,2.21,-2.97
190801,4.19,-0.99
190901,2.05,-3.13
191001,3.53,-1.65
191101,4.49,-0.69
191201,5.93,0.75
191301,6.25,1.07
191401,2.14,-3.04
191501,6.02,0.84
191601,4.02,-1.16
191701,6.63,1.45
191801,7.28,2.10
191901,5.67,0.49
192001,6.54,1.36
192101,3.22,-1.96
192201,6.93,1.75
192301,4.27,-0.91
192401,6.7,1.52
192501,10.08,4.90
192601,7.96,2.78
192701,1.27,-3.91
192801,1.52,-3.66
192901,5.82,0.64
193001,4.33,-0.85
193101,3.2,-1.98
193201,7.34,2.16
193301,2.98,-2.20
193401,3.9,-1.28
193501,2.76,-2.42
193601,11.49,6.31
193701,9.1,3.92
193801,3.47,-1.71
193901,4.78,-0.40
194001,4.35,-0.83
194101,2.72,-2.46
194201,3.46,-1.72
194301,4.23,-0.95
194401,3.61,-1.57
194501,4.07,-1.11
194601,8.37,3.19
194701,9.97,4.79
194801,4.49,-0.69
194901,7.06,1.88
195001,4.92,-0.26
195101,3.96,-1.22
195201,3.96,-1.22
195301,5.47,0.29
195401,4.2,-0.98
195501,4.43,-0.75
195601,2.68,-2.50
195701,4.59,-0.59
195801,3.31,-1.87
195901,4.53,-0.65
196001,5.88,0.70
196101,3.31,-1.87
196201,7.03,1.85
196301,6.25,1.07
196401,6.8,1.62
196501,4.21,-0.97
196601,5.96,0.78
196701,3.73,-1.45
196801,4.62,-0.56
196901,3.59,-1.59
197001,3.19,-1.99
197101,4.08,-1.10
197201,8.52,3.34
197301,5.9,0.72
197401,8.2,3.02
197501,6.65,1.47
197601,4.46,-0.72
197701,4.95,-0.23
197801,7.09,1.91
197901,7.68,2.50
198001,5.5,0.32
198101,1.33,-3.85
198201,6.5,1.32
198301,4.34,-0.84
198401,4.05,-1.13
198501,3.9,-1.28
198601,2.13,-3.05
198701,6.09,0.91
198801,5.38,0.20
198901,4.49,-0.69
199001,8.44,3.26
199101,7.33,2.15
199201,6.12,0.94
199301,6.21,1.03
199401,5.31,0.13
199501,4.83,-0.35
199601,7.4,2.22
199701,6.47,1.29
199801,8.14,2.96
199901,7.94,2.76
200001,4.69,-0.49
200101,4.69,-0.49
200201,5.11,-0.07
200301,2.33,-2.85
200401,3.27,-1.91
200501,2.86,-2.32
200601,5.23,0.05
200701,4.34,-0.84
200801,4.09,-1.09
200901,4.42,-0.76
201001,6.21,1.03
201101,4.03,-1.15
201201,5.44,0.26
201301,6.27,1.09
201401,2.7,-2.48
201501,4.34,-0.84
