Tennessee, Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.93,-1.51
189605,3.8,-0.64
189705,2.79,-1.65
189805,3,-1.44
189905,3.5,-0.94
190005,2.54,-1.90
190105,3.69,-0.75
190205,2.86,-1.58
190305,4.69,0.25
190405,3.74,-0.70
190505,5.83,1.39
190605,3.23,-1.21
190705,6.12,1.68
190805,3.83,-0.61
190905,6,1.56
191005,5.16,0.72
191105,1.82,-2.62
191205,3.99,-0.45
191305,3.86,-0.58
191405,2.11,-2.33
191505,5.61,1.17
191605,5.13,0.69
191705,3.34,-1.10
191805,3.97,-0.47
191905,6.42,1.98
192005,4.26,-0.18
192105,2.35,-2.09
192205,4.8,0.36
192305,6.56,2.12
192405,5.56,1.12
192505,1.95,-2.49
192605,2.68,-1.76
192705,5.01,0.57
192805,4.56,0.12
192905,7.3,2.86
193005,5.58,1.14
193105,2.7,-1.74
193205,2.04,-2.40
193305,6.95,2.51
193405,2.64,-1.80
193505,4.69,0.25
193605,1.27,-3.17
193705,4.68,0.24
193805,5.77,1.33
193905,3.56,-0.88
194005,3.21,-1.23
194105,1.05,-3.39
194205,2.96,-1.48
194305,3.88,-0.56
194405,3.07,-1.37
194505,5.46,1.02
194605,5.36,0.92
194705,4.91,0.47
194805,2.91,-1.53
194905,3.89,-0.55
195005,6.09,1.65
195105,1.42,-3.02
195205,3.3,-1.14
195305,6.15,1.71
195405,3.75,-0.69
195505,5.05,0.61
195605,3.09,-1.35
195705,5.36,0.92
195805,4.47,0.03
195905,4.24,-0.20
196005,3.16,-1.28
196105,4.45,0.01
196205,2.26,-2.18
196305,3.97,-0.47
196405,3.24,-1.20
196505,3.71,-0.73
196605,4.6,0.16
196705,7.5,3.06
196805,5.28,0.84
196905,2.98,-1.46
197005,2.83,-1.61
197105,4.42,-0.02
197205,4.31,-0.13
197305,7.5,3.06
197405,6.85,2.41
197505,5.24,0.80
197605,5.77,1.33
197705,2.58,-1.86
197805,5.96,1.52
197905,7.11,2.67
198005,4.48,0.04
198105,4.38,-0.06
198205,3.66,-0.78
198305,10.09,5.65
198405,9.27,4.83
198505,3.52,-0.92
198605,4.77,0.33
198705,3.21,-1.23
198805,2.45,-1.99
198905,5.04,0.60
199005,5.33,0.89
199105,6.56,2.12
199205,3.18,-1.26
199305,4.85,0.41
199405,3.86,-0.58
199505,6.07,1.63
199605,4.94,0.50
199705,5.33,0.89
199805,4.72,0.28
199905,4.23,-0.21
200005,4.59,0.15
200105,4.42,-0.02
200205,5.55,1.11
200305,9.71,5.27
200405,5.28,0.84
200505,1.62,-2.82
200605,4.13,-0.31
200705,1.8,-2.64
200805,4.99,0.55
200905,8.36,3.92
201005,9.01,4.57
201105,5.02,0.58
201205,3.25,-1.19
201305,5.66,1.22
201405,2.91,-1.53
201505,3.69,-0.75
