Louisiana, Precipitation, April
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.41,-2.43
189604,3.83,-1.01
189704,4.5,-0.34
189804,3.16,-1.68
189904,2.95,-1.89
190004,9.57,4.73
190104,4.74,-0.10
190204,3.23,-1.61
190304,1.15,-3.69
190404,3.2,-1.64
190504,9.16,4.32
190604,2.92,-1.92
190704,6.03,1.19
190804,4.52,-0.32
190904,4.75,-0.09
191004,2.31,-2.53
191104,7.61,2.77
191204,6.83,1.99
191304,5.92,1.08
191404,5.9,1.06
191504,1.81,-3.03
191604,3.33,-1.51
191704,4.8,-0.04
191804,7.25,2.41
191904,5.12,0.28
192004,5.35,0.51
192104,7.2,2.36
192204,4.8,-0.04
192304,7.2,2.36
192404,4.15,-0.69
192504,.97,-3.87
192604,5.96,1.12
192704,5.92,1.08
192804,7.11,2.27
192904,3.49,-1.35
193004,1.24,-3.60
193104,2.25,-2.59
193204,3.29,-1.55
193304,6.65,1.81
193404,3.08,-1.76
193504,5.89,1.05
193604,3.82,-1.02
193704,3.32,-1.52
193804,7.2,2.36
193904,2.32,-2.52
194004,9.11,4.27
194104,3.46,-1.38
194204,5.37,0.53
194304,2.55,-2.29
194404,5.17,0.33
194504,5.76,0.92
194604,3.18,-1.66
194704,6.81,1.97
194804,3.74,-1.10
194904,6.44,1.60
195004,5.28,0.44
195104,2.94,-1.90
195204,6.8,1.96
195304,7.82,2.98
195404,3.15,-1.69
195504,6.64,1.80
195604,3.39,-1.45
195704,8.07,3.23
195804,5.71,0.87
195904,4.95,0.11
196004,3.26,-1.58
196104,2.73,-2.11
196204,5,0.16
196304,2.01,-2.83
196404,6.61,1.77
196504,.81,-4.03
196604,7.52,2.68
196704,5.05,0.21
196804,6.25,1.41
196904,6.74,1.90
197004,2.7,-2.14
197104,1.37,-3.47
197204,2.25,-2.59
197304,9.3,4.46
197404,5.98,1.14
197504,5.57,0.73
197604,1.23,-3.61
197704,6.31,1.47
197804,2.34,-2.50
197904,8.92,4.08
198004,9.23,4.39
198104,1.43,-3.41
198204,5.92,1.08
198304,7.01,2.17
198404,3.02,-1.82
198504,2.3,-2.54
198604,3.06,-1.78
198704,.96,-3.88
198804,4.39,-0.45
198904,1.86,-2.98
199004,3.34,-1.50
199104,13.15,8.31
199204,3.95,-0.89
199304,7.4,2.56
199404,4.62,-0.22
199504,8.43,3.59
199604,5.03,0.19
199704,7.79,2.95
199804,3.74,-1.10
199904,2.63,-2.21
200004,4.69,-0.15
200104,1.87,-2.97
200204,3.72,-1.12
200304,3.43,-1.41
200404,4.45,-0.39
200504,3.33,-1.51
200604,4.23,-0.61
200704,4.27,-0.57
200804,3.27,-1.57
200904,4.55,-0.29
201004,1.28,-3.56
201104,2.5,-2.34
201204,4.79,-0.05
201304,6.7,1.86
201404,4.49,-0.35
201504,8.19,3.35
