New Hampshire, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.61,-0.33
189606,2.44,-1.50
189706,5.65,1.71
189806,3.92,-0.02
189906,2.88,-1.06
190006,2.86,-1.08
190106,2.32,-1.62
190206,4.64,0.70
190306,7.19,3.25
190406,2.88,-1.06
190506,5.1,1.16
190606,5.92,1.98
190706,3.71,-0.23
190806,1.71,-2.23
190906,3.29,-0.65
191006,3.33,-0.61
191106,3.07,-0.87
191206,1.42,-2.52
191306,1.11,-2.83
191406,2.78,-1.16
191506,2.32,-1.62
191606,6.62,2.68
191706,7.08,3.14
191806,3.65,-0.29
191906,2.46,-1.48
192006,3.65,-0.29
192106,3.05,-0.89
192206,10.46,6.52
192306,2.52,-1.42
192406,2.46,-1.48
192506,5.02,1.08
192606,3.1,-0.84
192706,2.53,-1.41
192806,4.36,0.42
192906,3.76,-0.18
193006,4.28,0.34
193106,5.42,1.48
193206,2.34,-1.60
193306,2.23,-1.71
193406,4.12,0.18
193506,6.53,2.59
193606,2.57,-1.37
193706,5.16,1.22
193806,4.39,0.45
193906,3.81,-0.13
194006,3.95,0.01
194106,2.99,-0.95
194206,5.15,1.21
194306,4.46,0.52
194406,6.95,3.01
194506,5.62,1.68
194606,2.98,-0.96
194706,5.52,1.58
194806,3.86,-0.08
194906,2.54,-1.40
195006,3.82,-0.12
195106,2.88,-1.06
195206,5.19,1.25
195306,1.7,-2.24
195406,5.28,1.34
195506,4.61,0.67
195606,2.67,-1.27
195706,3.63,-0.31
195806,2.29,-1.65
195906,4.99,1.05
196006,4.14,0.20
196106,3.39,-0.55
196206,2.8,-1.14
196306,2.03,-1.91
196406,1.89,-2.05
196506,3.55,-0.39
196606,3.35,-0.59
196706,3.64,-0.30
196806,6.27,2.33
196906,4.24,0.30
197006,3.1,-0.84
197106,2.48,-1.46
197206,5.43,1.49
197306,7.03,3.09
197406,3.08,-0.86
197506,4.06,0.12
197606,2.98,-0.96
197706,4.98,1.04
197806,5.46,1.52
197906,1.41,-2.53
198006,3.26,-0.68
198106,3.9,-0.04
198206,7.21,3.27
198306,2.29,-1.65
198406,3.94,0.00
198506,3.46,-0.48
198606,5.01,1.07
198706,6.02,2.08
198806,1.9,-2.04
198906,5.61,1.67
199006,4.36,0.42
199106,2.7,-1.24
199206,3.96,0.02
199306,3.38,-0.56
199406,3.34,-0.60
199506,1.68,-2.26
199606,3.74,-0.20
199706,2.38,-1.56
199806,10.14,6.20
199906,2.76,-1.18
200006,3.84,-0.10
200106,4.84,0.90
200206,6.03,2.09
200306,2.9,-1.04
200406,2.59,-1.35
200506,5.36,1.42
200606,9.2,5.26
200706,3.43,-0.51
200806,6.29,2.35
200906,6.24,2.30
201006,4.62,0.68
201106,4.44,0.50
201206,5.39,1.45
201306,7.04,3.10
201406,3.91,-0.03
201506,7.38,3.44
