Maryland, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.25,-1.04
189612,.8,-2.49
189712,3.7,0.41
189812,3.56,0.27
189912,1.69,-1.60
190012,2.43,-0.86
190112,6.57,3.28
190212,5.39,2.10
190312,2.46,-0.83
190412,3.57,0.28
190512,4.39,1.10
190612,3.71,0.42
190712,3.89,0.60
190812,3.32,0.03
190912,3.55,0.26
191012,2.46,-0.83
191112,3.63,0.34
191212,3.88,0.59
191312,2.42,-0.87
191412,4.65,1.36
191512,3.15,-0.14
191612,3.72,0.43
191712,1.66,-1.63
191812,4.18,0.89
191912,2.84,-0.45
192012,3.32,0.03
192112,2.48,-0.81
192212,3.99,0.70
192312,3.32,0.03
192412,2.4,-0.89
192512,2.06,-1.23
192612,3.26,-0.03
192712,3.75,0.46
192812,1.59,-1.70
192912,2.38,-0.91
193012,2.51,-0.78
193112,2.41,-0.88
193212,3.31,0.02
193312,2.95,-0.34
193412,2.61,-0.68
193512,2.42,-0.87
193612,5.48,2.19
193712,1.28,-2.01
193812,2.86,-0.43
193912,1.96,-1.33
194012,2.46,-0.83
194112,3.53,0.24
194212,3.84,0.55
194312,1.48,-1.81
194412,3.39,0.10
194512,5.36,2.07
194612,2.26,-1.03
194712,1.7,-1.59
194812,5.43,2.14
194912,2.31,-0.98
195012,3.26,-0.03
195112,4.72,1.43
195212,3.31,0.02
195312,3.4,0.11
195412,3.18,-0.11
195512,.5,-2.79
195612,3.46,0.17
195712,5.74,2.45
195812,1.83,-1.46
195912,3.43,0.14
196012,2.6,-0.69
196112,3.71,0.42
196212,3.15,-0.14
196312,2.16,-1.13
196412,3.67,0.38
196512,.76,-2.53
196612,3.06,-0.23
196712,5.23,1.94
196812,2.38,-0.91
196912,6.94,3.65
197012,3.55,0.26
197112,1.63,-1.66
197212,5.52,2.23
197312,5.75,2.46
197412,5.16,1.87
197512,3.04,-0.25
197612,2.24,-1.05
197712,5.71,2.42
197812,4.53,1.24
197912,1.49,-1.80
198012,.84,-2.45
198112,3.31,0.02
198212,2.31,-0.98
198312,6.28,2.99
198412,1.88,-1.41
198512,1.19,-2.10
198612,5.75,2.46
198712,2.71,-0.58
198812,1.04,-2.25
198912,1.57,-1.72
199012,4.91,1.62
199112,4.66,1.37
199212,4.45,1.16
199312,4.2,0.91
199412,2.09,-1.20
199512,2.38,-0.91
199612,6.32,3.03
199712,2.48,-0.81
199812,2.11,-1.18
199912,2.66,-0.63
200012,2.82,-0.47
200112,1.85,-1.44
200212,4.27,0.98
200312,4.9,1.61
200412,2.9,-0.39
200512,3.26,-0.03
200612,1.98,-1.31
200712,4.21,0.92
200812,4.76,1.47
200912,6.92,3.63
201012,2.27,-1.02
201112,3.65,0.36
201212,3.86,0.57
201312,5.08,1.79
201412,3.53,0.24
201512,4.57,1.28
