South Carolina, Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,3.17,-0.44
189612,3.67,0.06
189712,2.42,-1.19
189812,2.6,-1.01
189912,2.55,-1.06
190012,5.77,2.16
190112,5.22,1.61
190212,4.48,0.87
190312,2.08,-1.53
190412,2.72,-0.89
190512,7.24,3.63
190612,3.08,-0.53
190712,6.08,2.47
190812,3.05,-0.56
190912,2.83,-0.78
191012,2.27,-1.34
191112,4.85,1.24
191212,3.18,-0.43
191312,4.24,0.63
191412,4.89,1.28
191512,3.29,-0.32
191612,2.34,-1.27
191712,1.62,-1.99
191812,5.26,1.65
191912,3,-0.61
192012,4.03,0.42
192112,1.47,-2.14
192212,5.04,1.43
192312,4.01,0.40
192412,5.15,1.54
192512,3.76,0.15
192612,2.9,-0.71
192712,6.07,2.46
192812,1.99,-1.62
192912,4.3,0.69
193012,3.86,0.25
193112,5.96,2.35
193212,5.14,1.53
193312,1.04,-2.57
193412,2.54,-1.07
193512,2.76,-0.85
193612,5.12,1.51
193712,2.5,-1.11
193812,2.65,-0.96
193912,2.66,-0.95
194012,2.72,-0.89
194112,7.17,3.56
194212,4.14,0.53
194312,4.06,0.45
194412,1.4,-2.21
194512,7.1,3.49
194612,1.12,-2.49
194712,4.91,1.30
194812,4.52,0.91
194912,1.81,-1.80
195012,4.01,0.40
195112,4.39,0.78
195212,3.21,-0.40
195312,6.99,3.38
195412,2.81,-0.80
195512,.83,-2.78
195612,2.31,-1.30
195712,2.86,-0.75
195812,3.23,-0.38
195912,3.11,-0.50
196012,2.07,-1.54
196112,4.25,0.64
196212,2.52,-1.09
196312,2.98,-0.63
196412,4.5,0.89
196512,.93,-2.68
196612,3.26,-0.35
196712,3.94,0.33
196812,3.22,-0.39
196912,3.85,0.24
197012,3.42,-0.19
197112,2.67,-0.94
197212,5.43,1.82
197312,5.55,1.94
197412,4.93,1.32
197512,4.2,0.59
197612,5.55,1.94
197712,4.62,1.01
197812,2.84,-0.77
197912,2.12,-1.49
198012,1.73,-1.88
198112,6.61,3.00
198212,5,1.39
198312,6.77,3.16
198412,1.51,-2.10
198512,1.97,-1.64
198612,3.96,0.35
198712,2.24,-1.37
198812,.88,-2.73
198912,4.4,0.79
199012,2.57,-1.04
199112,2.65,-0.96
199212,3.48,-0.13
199312,2.86,-0.75
199412,5.61,2.00
199512,2.18,-1.43
199612,3.06,-0.55
199712,5.41,1.80
199812,3.59,-0.02
199912,2.29,-1.32
200012,1.87,-1.74
200112,1.47,-2.14
200212,4.63,1.02
200312,2.57,-1.04
200412,2.2,-1.41
200512,4.19,0.58
200612,3.71,0.10
200712,5.12,1.51
200812,2.96,-0.65
200912,8.05,4.44
201012,1.99,-1.62
201112,1.95,-1.66
201212,4.54,0.93
201312,5.26,1.65
201412,3.94,0.33
201512,6.67,3.06
