Arizona, Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,.09,-0.20
189606,.15,-0.14
189706,.07,-0.22
189806,.69,0.40
189906,.65,0.36
190006,.08,-0.21
190106,.06,-0.23
190206,.08,-0.21
190306,.68,0.39
190406,.08,-0.21
190506,.28,-0.01
190606,.01,-0.28
190706,.23,-0.06
190806,.08,-0.21
190906,.12,-0.17
191006,.37,0.08
191106,.59,0.30
191206,.49,0.20
191306,.11,-0.18
191406,.65,0.36
191506,.33,0.04
191606,0,-0.29
191706,.02,-0.27
191806,.73,0.44
191906,.18,-0.11
192006,.53,0.24
192106,.33,0.04
192206,.48,0.19
192306,.01,-0.28
192406,.09,-0.20
192506,.83,0.54
192606,.14,-0.15
192706,.85,0.56
192806,.02,-0.27
192906,.05,-0.24
193006,.37,0.08
193106,.61,0.32
193206,.35,0.06
193306,.4,0.11
193406,.21,-0.08
193506,.07,-0.22
193606,.21,-0.08
193706,.44,0.15
193806,.74,0.45
193906,.03,-0.26
194006,.61,0.32
194106,.27,-0.02
194206,.01,-0.28
194306,.28,-0.01
194406,.05,-0.24
194506,.06,-0.23
194606,.05,-0.24
194706,.13,-0.16
194806,.32,0.03
194906,.73,0.44
195006,.32,0.03
195106,0,-0.29
195206,.64,0.35
195306,.18,-0.11
195406,.52,0.23
195506,.73,0.44
195606,.31,0.02
195706,.52,0.23
195806,.39,0.10
195906,.36,0.07
196006,.18,-0.11
196106,.17,-0.12
196206,.33,0.04
196306,.03,-0.26
196406,.19,-0.10
196506,.39,0.10
196606,.34,0.05
196706,.55,0.26
196806,.24,-0.05
196906,.12,-0.17
197006,.18,-0.11
197106,.03,-0.26
197206,1.01,0.72
197306,.53,0.24
197406,.02,-0.27
197506,.03,-0.26
197606,.08,-0.21
197706,.34,0.05
197806,.13,-0.16
197906,.35,0.06
198006,.1,-0.19
198106,.44,0.15
198206,.05,-0.24
198306,.06,-0.23
198406,.47,0.18
198506,.13,-0.16
198606,.41,0.12
198706,.35,0.06
198806,.55,0.26
198906,.03,-0.26
199006,.28,-0.01
199106,.31,0.02
199206,.21,-0.08
199306,.14,-0.15
199406,.23,-0.06
199506,.13,-0.16
199606,.26,-0.03
199706,.25,-0.04
199806,.07,-0.22
199906,.36,0.07
200006,.73,0.44
200106,.24,-0.05
200206,.01,-0.28
200306,.05,-0.24
200406,.09,-0.20
200506,.21,-0.08
200606,.34,0.05
200706,.12,-0.17
200806,.15,-0.14
200906,.34,0.05
201006,.08,-0.21
201106,.02,-0.27
201206,.08,-0.21
201306,.03,-0.26
201406,.01,-0.28
201506,.8,0.51
